@relation data_sosial_lulus
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"L","EKO","G4","SRJN","GRD","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G4","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G3","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LLW_1"
"L","EKO","G4","SRJN","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LLW_2"
"L","EKO","G3","SMTA","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G3","SRJN","PNS","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G2","SMP","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G4","SD","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LTW"
"L","EKO","G3","SMTA","LL","PSN","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","EKO","G4","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_2"
"P","EKO","G2","SD","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G4","SRJN","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G1","SMP","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","EKO","G4","SMTA","PDG","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"L","EKO","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","EKO","G5","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_SM","IPS2_SM","LLW_2"
"L","EKO","G4","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LTW"
"L","EKO","G4","SD","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LTW"
"P","EKO","G3","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","EKO","G1","SD","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"P","EKO","G5","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","SMTA","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"L","EKO","G3","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"L","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LLW_2"
"L","EKO","G4","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G3","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G2","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"P","EKO","G4","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G1","SMTA","PSN","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G2","SRJN","LL","PS","SKS1_SB","SKS2_K","IPS1_KM","IPS2_KM","LLW_1"
"P","EKO","G4","SD","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G5","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_KM","LLW_1"
"P","EKO","G3","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LTW"
"L","EKO","G4","SRJN","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_2"
"L","EKO","G3","SD","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_2"
"P","EKO","G2","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G5","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G2","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LTW"
"L","EKO","G3","SMTA","LL","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LTW"
"P","EKO","G2","SMP","BPN","BPN","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LTW"
"P","EKO","G4","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"P","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G3","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G7","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LTW"
"L","EKO","G2","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LLW_1"
"P","EKO","G4","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G2","SRJN","PSN","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G5","SRJN","GRD","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G6","SMP","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G3","SMTA","PSN","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G3","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G5","SMTA","PS","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","EKO","G2","SMTA","BPN","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G4","SMTA","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","EKO","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G2","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","EKO","G3","SRJN","PNS","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G7","SRJN","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"L","EKO","G3","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G3","SRJN","LL","PSN","SKS1_SB","SKS2_K","IPS1_KM","IPS2_KM","LLW_1"
"L","EKO","G3","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G2","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G3","SMTA","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G2","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G1","SMP","LL","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","EKO","G2","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_2"
"L","EKO","G3","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LTW"
"P","EKO","G4","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G5","SRJN","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","EKO","G5","SRJN","PNS","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","LLW_2"
"P","EKO","G4","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G4","SRJN","PNS","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","EKO","G4","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G4","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"L","EKO","G4","SRJN","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G5","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LTW"
"L","EKO","G4","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G5","SRJN","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G4","SMTA","PS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G7","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"L","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
"P","EKO","G4","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","EKO","G2","SD","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","EKO","G4","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G3","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"L","EKO","G1","SD","LL","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"L","EKO","G3","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G4","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G4","SRJN","LL","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","LLW_1"
"L","EKO","G2","SRJN","PDG","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"P","EKO","G4","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G4","SMTA","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LLW_1"
"P","EKO","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LC"
"P","EKO","G3","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G5","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G4","SMTA","PS","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","EKO","G7","SMTA","PS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G7","SRJN","PDG","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"L","EKO","G5","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G4","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G4","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"L","EKO","G4","SMTA","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"P","EKO","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","EKO","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","EKO","G2","SD","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","EKO","G4","SMP","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G4","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","SMP","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","LLW_2"
"P","EKO","G3","SMTA","PDG","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G3","SMTA","PS","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LTW"
"P","EKO","G4","SMTA","PS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G4","SMTA","PDG","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G6","SRJN","PS","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"L","EKO","G4","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G3","SMTA","PDG","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","EKO","G6","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G3","SMTA","PDG","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G3","SD","LL","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G4","SRJN","PS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LC"
"P","EKO","G4","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","EKO","G4","SMTA","PDG","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G2","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","EKO","G2","SMTA","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","SD","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LC"
"P","EKO","G4","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","EKO","G4","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"L","EKO","G6","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G3","SMTA","PDG","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G5","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G1","SD","LL","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"L","EKO","G6","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_M","LLW_1"
"L","EKO","G4","SMTA","PNS","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G4","SRJN","PSN","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","EKO","G4","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G6","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LC"
"P","EKO","G4","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G4","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LLW_1"
"P","EKO","G4","SRJN","PNS","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G3","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G5","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LTW"
"L","EKO","G2","SMTA","PS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G5","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"L","EKO","G2","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","EKO","G4","SMTA","LL","GRD","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"L","EKO","G4","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G4","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G3","SMTA","PDG","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G4","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G2","SMP","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"L","EKO","G3","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_M","IPS2_CUM","LTW"
"P","EKO","G4","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_KM","IPS2_CUM","LTW"
"P","EKO","G3","SMTA","GRD","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G5","LL","PSN","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","EKO","G4","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_M","IPS2_CUM","LTW"
"P","EKO","G2","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G4","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G6","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_CUM","LC"
"P","EKO","G5","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","EKO","G3","SRJN","PNS","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"L","EKO","G4","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"P","EKO","G4","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G4","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G2","SMTA","PDG","PSN","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LC"
"P","EKO","G5","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G1","LL","BPN","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G2","SRJN","PS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LLW_1"
"L","EKO","G4","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G2","SD","PDG","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G3","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"L","EKO","G5","SRJN","PS","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G4","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G3","SMP","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_CUM","LTW"
"P","EKO","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_KM","IPS2_CUM","LTW"
"P","EKO","G4","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"L","EKO","G4","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G2","SMP","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G4","SMTA","PDG","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G3","SRJN","GRD","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","LTW"
"P","EKO","G2","LL","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G7","SRJN","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LTW"
"P","EKO","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G3","SD","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G3","SMTA","GRD","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G3","SMTA","LL","PDG","SKS1_SB","SKS2_B","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G4","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G3","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LC"
"P","EKO","G2","SD","LL","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LTW"
"P","EKO","G2","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LLW_1"
"P","EKO","G6","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_KM","IPS2_SM","LTW"
"P","EKO","G4","SRJN","GRD","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","LTW"
"P","EKO","G2","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"P","EKO","G3","SD","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","EKO","G4","SMTA","PDG","PSN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G4","SRJN","PS","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","EKO","G2","SMTA","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G4","SRJN","PDG","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LTW"
"P","EKO","G3","SMP","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G7","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","LTW"
"P","EKO","G5","LL","PSN","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"L","EKO","G4","SRJN","GRD","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_CUM","LLW_1"
"P","EKO","G4","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LC"
"P","EKO","G4","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","LC"
