@relation data_uji_mipa_lulus_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","MTK","G3","LL","PS","BPN","LLW_1"
"P","BIO","G4","SRJN","GRD","PNS","LLW_1"
"P","BIO","G3","SMTA","PS","GRD","LLW_1"
"P","MTK","G2","SMP","PDG","LL","LLW_1"
"P","MTK","G7","SRJN","LL","PS","LLW_1"
"P","BIO","G4","SMTA","LL","PNS","LLW_1"
"P","MTK","G3","SRJN","PNS","PNS","LLW_1"
"P","MTK","G3","SD","LL","PDG","LLW_1"
"P","MTK","G2","SMTA","LL","PDG","LLW_1"
"P","BIO","G2","SMTA","PDG","PDG","LLW_1"
"P","IF","G4","LL","LL","PS","LLW_1"
"L","FISIKA","G3","SRJN","PDG","PDG","LLW_1"
"P","IF","G4","SRJN","GRD","GRD","LLW_1"
"L","IF","G4","SMTA","LL","PSN","LLW_1"
"P","IF","G2","LL","LL","PS","LLW_1"
"P","BIO","G2","SMTA","PS","BPN","LLW_1"
"P","IF","G3","SMTA","LL","GRD","LLW_1"
"P","FISIKA","G4","SMTA","PDG","GRD","LLW_1"
"P","MTK","G2","SD","BPN","BPN","LLW_1"
"L","IF","G4","SRJN","GRD","LL","LLW_1"
"P","MTK","G4","SRJN","GRD","PNS","LLW_1"
"P","MTK","G5","SMTA","LL","BPN","LLW_1"
"P","MTK","G4","SMTA","BPN","GRD","LLW_1"
"P","IF","G6","SRJN","GRD","PNS","LLW_1"
"L","IF","G3","SMTA","LL","BPN","LLW_1"
"P","FISIKA","G3","SMTA","LL","PS","LLW_1"
"P","MTK","G1","SMP","PS","PS","LLW_1"
"P","IF","G3","SMTA","LL","PS","LLW_1"
"P","MTK","G5","SRJN","PS","PDG","LLW_1"
"P","MTK","G4","SRJN","GRD","PSN","LLW_1"
"P","BIO","G3","SMTA","LL","LL","LLW_1"
"L","BIO","G3","SMTA","PS","PNS","LLW_1"
"L","FISIKA","G4","SRJN","PDG","PDG","LLW_1"
"P","MTK","G2","SD","BPN","BPN","LLW_1"
"L","IF","G2","SMTA","LL","PSN","LLW_1"
"P","BIO","G2","SMTA","LL","PS","LLW_1"
"P","BIO","G3","SRJN","GRD","LL","LLW_1"
"P","IF","G2","SMTA","LL","PS","LLW_1"
"L","IF","G4","SRJN","GRD","GRD","LLW_1"
"L","FISIKA","G2","SMTA","LL","GRD","LLW_1"
"L","BIO","G2","SMP","LL","GRD","LLW_1"
"L","IF","G4","SRJN","GRD","GRD","LLW_1"
"P","FISIKA","G2","SD","BPN","BPN","LLW_1"
"P","IF","G3","SRJN","PSN","PSN","LLW_1"
"P","FISIKA","G3","SMTA","GRD","BPN","LLW_1"
"P","MTK","G2","SD","PDG","PDG","LLW_1"
"P","MTK","G2","SRJN","GRD","PS","LLW_1"
"P","MTK","G1","SD","BPN","BPN","LLW_1"
"L","MTK","G2","SD","PS","PS","LLW_1"
"L","FISIKA","G3","SMP","LL","PS","LLW_1"
"P","FISIKA","G2","SD","LL","PS","LLW_1"
"P","BIO","G3","LL","LL","PNS","LLW_1"
"P","BIO","G3","SRJN","GRD","BPN","LLW_1"
"P","MTK","G3","SMTA","LL","PNS","LLW_1"
"P","BIO","G3","SD","LL","PDG","LLW_1"
"P","IF","G4","SRJN","GRD","GRD","LLW_1"
"P","BIO","G3","SD","PDG","PDG","LLW_1"
"P","FISIKA","G4","SMTA","LL","GRD","LLW_1"
"P","MTK","G3","SMTA","PDG","PNS","LLW_1"
"P","BIO","G5","SRJN","GRD","PS","LLW_1"
"L","FISIKA","G3","SD","BPN","GRD","LLW_1"
"P","IF","G3","SMTA","PDG","PSN","LLW_1"
"P","MTK","G3","SMTA","PDG","PDG","LLW_1"
"L","BIO","G3","SMTA","PS","PS","LLW_1"
"P","FISIKA","G1","SMP","BPN","BPN","LLW_1"
"L","MTK","G4","SRJN","GRD","GRD","LLW_1"
"L","BIO","G4","SMTA","LL","GRD","LLW_1"
