,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
5521,P,HUK,G2,SMTA,GRD,BPN,LLW
5762,L,HUK,G4,SRJN,LL,ABRI,LLW
5840,P,HUK,G2,SMTA,LL,PS,LLW
3362,P,KOM,G4,SRJN,LL,GRD,LLW
831,L,AKU,G2,LL,PDG,BPN,LLW
5711,P,HUK,G7,SRJN,PDG,PDG,LLW
5686,P,HUK,G3,SMTA,LL,PSN,LLW
3196,L,KOM,G4,SMTA,PDG,PNS,LLW
845,P,AKU,G3,SRJN,LL,PSN,LLW
1799,L,EKO,G1,SD,PDG,PDG,LLW
5538,P,HUK,G4,SRJN,PSN,PNS,LLW
1055,P,AKU,G3,SMTA,LL,LL,LLW
1057,P,AKU,G4,SRJN,PS,PNS,LLW
1787,P,EKO,G3,LL,PDG,LL,LLW
3287,P,KOM,G2,SMTA,PNS,PDG,LLW
2031,P,EKO,G2,SD,PDG,PDG,LLW
835,L,AKU,G5,SMTA,LL,PS,LLW
5641,L,HUK,G4,SMTA,LL,PDG,LLW
5957,L,HUK,G4,SRJN,GRD,PNS,LLW
5821,P,HUK,G5,SRJN,PSN,PSN,LLW
1919,P,EKO,G6,SRJN,LL,PNS,LLW
1931,P,EKO,G3,SMP,PDG,PDG,LLW
825,L,AKU,G4,SMP,LL,PDG,LLW
5892,L,HUK,G7,SMTA,PDG,LL,LLW
3176,P,KOM,G4,SRJN,GRD,PNS,LLW
5574,L,HUK,G3,SMTA,LL,GRD,LLW
6249,L,HUK,G4,SRJN,PS,PNS,LLW
2008,P,EKO,G3,SRJN,LL,PNS,LLW
1179,L,AKU,G2,LL,LL,BPN,LLW
1806,P,EKO,G2,SMTA,LL,PDG,LLW
1801,L,EKO,G4,SRJN,PNS,PDG,LLW
5824,P,HUK,G3,SD,LL,PSN,LLW
3446,P,KOM,G3,SMTA,PDG,LL,LLW
1954,P,EKO,G7,SRJN,PDG,PDG,LLW
5426,L,HUK,G3,SRJN,GRD,GRD,LLW
2204,L,EKO,G3,SMP,PDG,PDG,LLW
3131,P,KOM,G2,SMTA,PDG,PDG,LLW
1984,L,EKO,G3,SMTA,LL,PSN,LLW
6213,L,HUK,G3,SRJN,PNS,PS,LLW
3156,L,KOM,G3,SRJN,GRD,LL,LLW
5845,L,HUK,G4,SMTA,LL,PNS,LLW
3155,P,KOM,G3,SMTA,PDG,PDG,LLW
6065,L,HUK,G4,SRJN,LL,ABRI,LLW
6304,P,HUK,G2,SMTA,LL,PS,LLW
3463,P,KOM,G3,SMTA,LL,PDG,LLW
5977,L,HUK,G4,SMTA,LL,PNS,LLW
5884,L,HUK,G4,SMTA,LL,PNS,LLW
830,L,AKU,G3,SMTA,PS,PS,LLW
5814,P,HUK,G3,SRJN,GRD,PNS,LLW
979,L,AKU,G4,SRJN,LL,LL,LLW
5478,P,HUK,G5,SRJN,GRD,PNS,LLW
6117,L,HUK,G5,SMTA,PDG,PDG,LLW
1030,L,AKU,G5,SRJN,GRD,PSN,LLW
3320,P,KOM,G3,SRJN,LL,PDG,LLW
3400,P,KOM,G1,SMP,LL,BPN,LLW
4545,L,HUK,G3,SMTA,PSN,GRD,LLW
3471,P,KOM,G4,SRJN,GRD,GRD,LLW
739,P,AKU,G3,SMTA,LL,PS,LLW
2148,L,EKO,G4,SMP,LL,PS,LLW
6351,L,HUK,G4,SRJN,PNS,PNS,LLW
711,L,AKU,G4,SRJN,LL,PNS,LLW
6043,L,HUK,G3,SMP,LL,GRD,LLW
6048,L,HUK,G4,SRJN,PDG,PDG,LLW
5162,P,HUK,G1,SRJN,GRD,PNS,LLW
5133,L,HUK,G3,SMTA,PNS,GRD,LLW
1107,L,AKU,G4,SRJN,GRD,PSN,LLW
5973,L,HUK,G4,SRJN,GRD,PNS,LLW
2077,L,EKO,G2,SMTA,LL,PDG,LLW
5657,L,HUK,G5,SRJN,PNS,ABRI,LLW
2049,L,EKO,G3,SMTA,LL,BPN,LLW
3423,P,KOM,G5,SMTA,LL,PSN,LLW
2033,L,EKO,G4,SRJN,PDG,PDG,LLW
3126,P,KOM,G4,SMTA,PDG,LL,LLW
5517,P,HUK,G2,SMTA,PDG,PDG,LLW
5665,P,HUK,G4,SRJN,PNS,PDG,LLW
5841,L,HUK,G3,SMTA,LL,PNS,LLW
3351,L,KOM,G4,SRJN,GRD,PNS,LLW
1812,P,EKO,G2,SMTA,PDG,PDG,LLW
2000,L,EKO,G4,SMTA,PDG,PNS,LLW
6039,P,HUK,G3,SD,PDG,PDG,LLW
1875,L,EKO,G3,SD,PDG,GRD,LLW
1836,L,EKO,G3,SRJN,LL,GRD,LLW
764,P,AKU,G3,SRJN,PSN,PNS,LLW
5486,P,HUK,G1,SMTA,LL,LL,LLW
2181,P,EKO,G1,SD,LL,PSN,LLW
1862,P,EKO,G4,SRJN,GRD,PS,LLW
3247,P,KOM,G4,SRJN,PNS,PS,LLW
5851,L,HUK,G3,SMTA,LL,PSN,LLW
1822,P,EKO,G2,SD,LL,PS,LLW
5793,L,HUK,G3,SMTA,GRD,GRD,LLW
696,P,AKU,G4,SMTA,LL,PNS,LLW
3133,P,KOM,G2,SMTA,LL,PS,LLW
5894,L,HUK,G4,SRJN,PDG,GRD,LLW
3112,L,KOM,G1,SMTA,LL,PS,LLW
848,P,AKU,G4,SRJN,PS,PS,LLW
5721,L,HUK,G2,SMTA,LL,PDG,LLW
3444,L,KOM,G7,SRJN,LL,PS,LLW
2952,P,KOM,G1,SMTA,LL,PSN,LLW
2139,L,EKO,G4,SMTA,PNS,PNS,LLW
3143,P,KOM,G3,SRJN,LL,GRD,LLW
6006,L,HUK,G3,SMTA,PS,PS,LLW
2037,L,EKO,G4,SRJN,GRD,GRD,LLW
5488,L,HUK,G7,SMTA,PDG,PDG,LLW
3119,P,KOM,G3,SMTA,LL,PSN,LLW
5946,P,HUK,G4,SD,PDG,PDG,LLW
3122,P,KOM,G3,SMTA,PDG,GRD,LLW
1773,L,EKO,G3,SMP,LL,PS,LLW
6010,P,HUK,G3,SMTA,LL,PNS,LLW
5621,L,HUK,G4,SRJN,PS,PNS,LLW
3135,P,KOM,G3,SRJN,PNS,GRD,LLW
3099,P,KOM,G3,SRJN,GRD,BPN,LLW
6221,L,HUK,G4,SMTA,LL,PDG,LLW
3108,L,KOM,G2,LL,PDG,PDG,LLW
3170,P,KOM,G3,SRJN,GRD,PSN,LLW
3092,P,KOM,G4,SRJN,GRD,PS,LLW
1805,P,EKO,G1,SMTA,LL,PSN,LLW
5370,L,HUK,G1,SRJN,LL,BPN,LLW
6292,L,HUK,G3,SRJN,GRD,BPN,LLW
1891,P,EKO,G2,SMTA,LL,PNS,LLW
3128,P,KOM,G2,SD,PDG,BPN,LLW
1110,L,AKU,G4,SMTA,PSN,PSN,LLW
1031,P,AKU,G3,SMP,BPN,BPN,LTW
3215,L,KOM,G7,SRJN,PNS,PSN,LTW
5449,L,HUK,G3,SMTA,LL,PNS,LTW
6389,P,HUK,G3,SMTA,PDG,PSN,LTW
6078,L,HUK,G4,SRJN,PNS,LL,LTW
5770,L,HUK,G3,SRJN,PNS,BPN,LTW
966,L,AKU,G3,SMTA,PDG,PDG,LTW
2044,P,EKO,G4,SMTA,GRD,LL,LTW
5479,L,HUK,G3,SD,PDG,PDG,LTW
880,P,AKU,G2,SD,PDG,LL,LTW
5386,P,HUK,G3,SMTA,PDG,LL,LTW
5589,L,HUK,G4,SRJN,GRD,ABRI,LTW
3214,P,KOM,G3,SRJN,PNS,PNS,LTW
2074,P,EKO,G3,SMTA,LL,PDG,LTW
1096,P,AKU,G3,SMP,PS,PDG,LTW
2296,L,EKO,G3,SMTA,LL,PDG,LTW
5922,P,HUK,G5,SMTA,PNS,PNS,LTW
6227,P,HUK,G4,SRJN,PNS,PS,LTW
6127,L,HUK,G4,SRJN,GRD,PNS,LTW
1957,L,EKO,G5,SRJN,PNS,PDG,LTW
6342,P,HUK,G2,SMTA,PDG,PDG,LTW
5419,L,HUK,G3,SRJN,LL,GRD,LTW
5870,L,HUK,G3,SMTA,PNS,PNS,LTW
3421,P,KOM,G3,SRJN,PS,LL,LTW
5935,P,HUK,G4,SMTA,LL,PS,LTW
6356,P,HUK,G5,SRJN,GRD,PS,LTW
2039,P,EKO,G5,SRJN,GRD,PNS,LTW
2110,L,EKO,G3,SRJN,GRD,LL,LTW
6107,P,HUK,G3,SRJN,GRD,GRD,LTW
1195,P,AKU,G4,SRJN,LL,GRD,LTW
