,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
2288,L,IF,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LLW
1212,P,MTK,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1188,P,MTK,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1041,L,MTK,G2,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1510,P,BIO,G3,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
1968,P,BIO,G2,SMTA,PDG,PDG,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
166,L,FISIKA,G3,SMP,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,LLW
2177,L,IF,G3,SD,PDG,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
2217,L,IF,G4,SRJN,GRD,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
260,P,FISIKA,G2,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
943,P,MTK,G3,SMTA,LL,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
1153,P,MTK,G3,SMTA,PDG,PDG,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LLW
1617,P,BIO,G3,SRJN,GRD,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
372,L,FISIKA,G5,SRJN,PS,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
1684,L,BIO,G3,SRJN,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1910,P,BIO,G3,LL,LL,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LLW
1042,L,MTK,G5,LL,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
980,P,MTK,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
894,L,MTK,G2,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2056,L,IF,G4,SD,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1049,L,MTK,G4,SMTA,GRD,GRD,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
1230,P,MTK,G4,SRJN,GRD,GRD,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
2209,L,IF,G3,SMTA,PDG,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
2189,P,IF,G5,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
1939,L,BIO,G3,SMTA,PS,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1020,L,MTK,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
