,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
1165,L,AKU,G4,SRJN,PDG,GRD,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
1167,P,AKU,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1173,P,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_M,IPK_SM-LLW
1174,L,AKU,G4,SRJN,LL,PNS,IPS1_SM,IPS2_CUM,IPK_CUM-LC
1175,L,AKU,G4,SRJN,GRD,BPN,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
1177,L,AKU,G4,SRJN,PS,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1182,P,AKU,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1184,L,AKU,G4,SRJN,PDG,PDG,IPS1_SM,IPS2_SM,IPK_KM-LLW
1185,P,AKU,G4,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1186,P,AKU,G5,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1187,P,AKU,G4,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1190,P,AKU,G4,SRJN,GRD,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
1193,L,AKU,G4,SMP,PDG,LL,IPS1_CUM,IPS2_CUM,IPK_SM-LTW
1202,L,AKU,G4,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
1203,P,AKU,G3,SRJN,GRD,PS,IPS1_CUM,IPS2_SM,IPK_SM-LTW
1210,P,AKU,G2,SD,LL,BPN,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1768,P,EKO,G3,SMTA,PSN,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
1776,P,EKO,G3,SMTA,GRD,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
1777,P,EKO,G2,SMP,LL,PS,IPS1_CUM,IPS2_SM,IPK_SM-LTW
1779,P,EKO,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,IPK_KM-LLW
1781,P,EKO,G5,SRJN,LL,LL,IPS1_SM,IPS2_SM,IPK_KM-LLW
1782,P,EKO,G1,SMP,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
1785,P,EKO,G2,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
1786,L,EKO,G4,SRJN,GRD,GRD,IPS1_M,IPS2_M,IPK_KM-LLW
1787,P,EKO,G3,LL,PDG,LL,IPS1_SM,IPS2_SM,IPK_KM-LLW
1789,P,EKO,G5,SRJN,PDG,PS,IPS1_KM,IPS2_M,IPK_KM-LLW
1790,L,EKO,G3,SRJN,GRD,GRD,IPS1_M,IPS2_M,IPK_SM-LTW
1791,L,EKO,G1,SMP,LL,BPN,IPS1_SM,IPS2_M,IPK_SM-LLW
1793,L,EKO,G3,SRJN,GRD,GRD,IPS1_M,IPS2_SM,IPK_KM-LLW
1797,L,EKO,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,IPK_M-LLW
1798,P,EKO,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_CUM-LTW
1799,L,EKO,G1,SD,PDG,PDG,IPS1_KM,IPS2_KM,IPK_KM-LLW
1800,P,EKO,G3,SRJN,PNS,PDG,IPS1_SM,IPS2_SM,IPK_KM-LLW
1805,P,EKO,G1,SMTA,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
