,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
137,P,FISIKA,G2,SD,BPN,PSN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
138,L,FISIKA,G2,LL,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
139,L,FISIKA,G2,SMP,PDG,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_CUM
140,P,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
141,L,FISIKA,G4,SRJN,GRD,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
142,L,FISIKA,G5,SRJN,GRD,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
143,P,FISIKA,G2,SMTA,PDG,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
144,P,FISIKA,G4,SMTA,LL,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_M
145,L,FISIKA,G4,SMTA,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
146,L,FISIKA,G1,SD,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
147,P,FISIKA,G1,SD,BPN,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
148,L,FISIKA,G4,SMTA,PDG,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
149,P,FISIKA,G4,SD,PDG,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
150,P,FISIKA,G4,SMTA,LL,PNS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
151,P,FISIKA,G2,LL,BPN,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_KM
152,P,FISIKA,G3,SMTA,PDG,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
153,P,FISIKA,G2,SD,BPN,LL,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
154,P,FISIKA,G5,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
155,P,FISIKA,G1,SMTA,BPN,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_KM
156,L,FISIKA,G2,SD,LL,LL,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
157,L,FISIKA,G2,SMTA,PDG,BPN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
158,P,FISIKA,G1,SMP,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
159,L,FISIKA,G2,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
160,L,FISIKA,G4,SMP,LL,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
161,P,FISIKA,G2,SMTA,PS,PS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
162,P,FISIKA,G2,LL,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
163,P,FISIKA,G2,SD,BPN,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
164,L,FISIKA,G3,SMTA,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_M
165,P,FISIKA,G2,SD,BPN,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_SM
166,L,FISIKA,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_M
167,L,FISIKA,G3,SMP,LL,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
168,L,FISIKA,G3,SRJN,PDG,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,IPK_CUM
169,P,FISIKA,G2,SD,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_M
170,P,FISIKA,G3,LL,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
171,P,FISIKA,G3,SRJN,PSN,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_M
172,L,FISIKA,G2,SMTA,LL,LL,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
173,L,FISIKA,G5,SRJN,PS,PS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_M
174,L,FISIKA,G4,SMTA,LL,ABRI,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
175,L,FISIKA,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
176,L,FISIKA,G4,SMP,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
177,L,FISIKA,G3,SMTA,LL,LL,IPS1_KM,IPS2_CUM,SKS1_B,SKS2_B,IPK_SM
178,L,FISIKA,G3,SMTA,BPN,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_M
179,L,FISIKA,G4,SRJN,GRD,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_SM
180,P,FISIKA,G4,SRJN,PS,PS,IPS1_M,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
181,P,FISIKA,G4,SRJN,GRD,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
182,P,FISIKA,G3,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
183,P,FISIKA,G3,LL,LL,PSN,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
184,L,FISIKA,G3,SMTA,PNS,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_M
185,P,FISIKA,G3,SMP,PNS,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_SM
186,L,FISIKA,G1,LL,BPN,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
187,P,FISIKA,G3,SMP,LL,PS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
188,L,FISIKA,G3,SD,BPN,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
189,P,FISIKA,G2,SMP,PDG,LL,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
190,P,FISIKA,G3,SMTA,PS,PS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,IPK_SM
191,L,FISIKA,G4,SMTA,LL,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
192,L,FISIKA,G5,SRJN,GRD,PNS,IPS1_M,IPS2_CUM,SKS1_B,SKS2_SB,IPK_SM
193,L,FISIKA,G2,SMP,LL,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
194,P,FISIKA,G3,SRJN,PNS,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
195,L,FISIKA,G3,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,IPK_KM
196,P,FISIKA,G2,SMP,BPN,BPN,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
