@relation data_uji_mipa_lulus
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1 real
@attribute SKS_S2 real
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","IF","G4","SMTA","PNS","PS",19.0,18.0,"IPS1_SM","IPS2_CUM","LLW_1"
"L","MTK","G2","SMTA","LL","PSN",21.0,18.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SMP","LL","PS",18.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","IF","G3","SRJN","GRD","PSN",20.0,20.0,"IPS1_SM","IPS2_CUM","LLW_1"
"P","FISIKA","G1","LL","PDG","PDG",18.0,17.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G1","SD","LL","LL",21.0,18.0,"IPS1_SM","IPS2_SM","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PDG",19.0,22.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","FISIKA","G2","SRJN","GRD","PNS",18.0,17.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G3","SMTA","LL","PS",20.0,19.0,"IPS1_KM","IPS2_M","LLW_1"
"P","BIO","G1","SD","PDG","PDG",21.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","BIO","G3","SMTA","PDG","PDG",21.0,23.0,"IPS1_SM","IPS2_M","LLW_1"
"L","FISIKA","G3","SMTA","LL","PNS",18.0,17.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","IF","G3","SRJN","GRD","PDG",20.0,20.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","BIO","G1","SMTA","LL","PDG",21.0,23.0,"IPS1_M","IPS2_SM","LLW_1"
"P","FISIKA","G4","SMTA","LL","PS",19.0,19.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G3","SMTA","LL","PNS",19.0,17.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","IF","G4","SMTA","LL","GRD",20.0,20.0,"IPS1_SM","IPS2_SM","LLW_1"
"L","BIO","G3","SRJN","GRD","PDG",21.0,21.0,"IPS1_SM","IPS2_KM","LLW_1"
"P","MTK","G4","SRJN","GRD","PDG",21.0,18.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G2","SD","BPN","BPN",19.0,20.0,"IPS1_M","IPS2_KM","LLW_1"
"P","BIO","G4","SRJN","GRD","GRD",21.0,21.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","FISIKA","G3","SMTA","LL","LL",20.0,22.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","IF","G4","SRJN","GRD","GRD",20.0,20.0,"IPS1_SM","IPS2_SM","LLW_1"
"P","MTK","G3","LL","LL","PDG",21.0,19.0,"IPS1_KM","IPS2_SM","LLW_1"
"L","MTK","G4","SD","PDG","PNS",21.0,18.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","FISIKA","G2","SD","LL","BPN",18.0,19.0,"IPS1_M","IPS2_M","LLW_1"
"L","FISIKA","G1","SMP","BPN","PDG",18.0,19.0,"IPS1_KM","IPS2_M","LLW_1"
"L","BIO","G3","SRJN","PDG","PNS",21.0,21.0,"IPS1_KM","IPS2_KM","LLW_1"
"L","IF","G3","SMTA","LL","PSN",20.0,20.0,"IPS1_M","IPS2_SM","LLW_1"
"P","FISIKA","G2","SD","BPN","PSN",18.0,19.0,"IPS1_M","IPS2_KM","LLW_1"
"P","MTK","G2","SD","BPN","BPN",21.0,18.0,"IPS1_SM","IPS2_KM","LLW_1"
"L","MTK","G3","SMTA","PDG","PDG",21.0,22.0,"IPS1_M","IPS2_M","LLW_1"
"P","MTK","G3","SMP","LL","GRD",21.0,18.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G4","SMTA","LL","PS",20.0,20.0,"IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G4","SRJN","PSN","GRD",21.0,19.0,"IPS1_KM","IPS2_M","LLW_1"
"P","BIO","G3","SMTA","LL","GRD",21.0,21.0,"IPS1_SM","IPS2_CUM","LTW"
"P","BIO","G4","SD","PDG","PS",21.0,21.0,"IPS1_M","IPS2_KM","LTW"
"P","BIO","G2","SD","PDG","BPN",21.0,23.0,"IPS1_SM","IPS2_CUM","LTW"
"L","BIO","G2","SMTA","LL","PNS",21.0,21.0,"IPS1_KM","IPS2_KM","LTW"
"P","BIO","G2","SMTA","BPN","BPN",21.0,23.0,"IPS1_CUM","IPS2_SM","LTW"
"P","BIO","G4","SRJN","PNS","PNS",22.0,21.0,"IPS1_SM","IPS2_M","LTW"
"P","MTK","G3","SMTA","LL","PDG",21.0,18.0,"IPS1_KM","IPS2_M","LTW"
"L","FISIKA","G4","SMTA","LL","PNS",20.0,21.0,"IPS1_KM","IPS2_SM","LTW"
"L","MTK","G2","LL","LL","PSN",16.0,17.0,"IPS1_SM","IPS2_SM","LTW"
"P","FISIKA","G2","SD","BPN","PDG",20.0,22.0,"IPS1_SM","IPS2_SM","LTW"
"P","FISIKA","G1","SMP","LL","LL",22.0,19.0,"IPS1_M","IPS2_KM","LTW"
"P","IF","G4","SRJN","LL","GRD",20.0,20.0,"IPS1_CUM","IPS2_SM","LTW"
"P","BIO","G3","SMTA","GRD","GRD",21.0,21.0,"IPS1_SM","IPS2_M","LTW"
"L","IF","G5","SRJN","GRD","GRD",19.0,20.0,"IPS1_SM","IPS2_SM","LTW"
"P","BIO","G3","SMTA","GRD","GRD",18.0,21.0,"IPS1_M","IPS2_SM","LTW"
"P","BIO","G2","SD","BPN","BPN",22.0,21.0,"IPS1_SM","IPS2_KM","LTW"
"P","BIO","G3","SD","PDG","PDG",21.0,21.0,"IPS1_SM","IPS2_CUM","LTW"
"P","BIO","G2","LL","BPN","BPN",21.0,23.0,"IPS1_SM","IPS2_SM","LTW"
"P","BIO","G2","SMP","BPN","LL",21.0,21.0,"IPS1_KM","IPS2_SM","LTW"
"P","FISIKA","G3","SRJN","GRD","GRD",18.0,19.0,"IPS1_M","IPS2_SM","LTW"
"P","FISIKA","G4","SMTA","PDG","GRD",18.0,19.0,"IPS1_M","IPS2_M","LTW"
"P","BIO","G4","SD","LL","PS",21.0,21.0,"IPS1_KM","IPS2_KM","LTW"
"P","BIO","G2","SMTA","LL","PDG",18.0,21.0,"IPS1_SM","IPS2_SM","LTW"
"P","BIO","G3","SRJN","GRD","PSN",21.0,21.0,"IPS1_M","IPS2_M","LTW"
"P","BIO","G1","SMTA","GRD","GRD",21.0,21.0,"IPS1_KM","IPS2_KM","LTW"
"L","BIO","G1","SMTA","BPN","BPN",21.0,21.0,"IPS1_M","IPS2_M","LTW"
"L","BIO","G2","LL","PS","PS",21.0,21.0,"IPS1_KM","IPS2_KM","LTW"
"P","MTK","G2","SD","LL","BPN",19.0,17.0,"IPS1_SM","IPS2_SM","LTW"
"P","FISIKA","G3","SD","LL","BPN",18.0,19.0,"IPS1_KM","IPS2_KM","LTW"
"P","FISIKA","G3","SD","LL","PNS",22.0,20.0,"IPS1_KM","IPS2_M","LTW"
"P","BIO","G2","SMP","LL","PDG",21.0,21.0,"IPS1_CUM","IPS2_SM","LTW"
"L","IF","G4","SRJN","LL","GRD",19.0,18.0,"IPS1_SM","IPS2_SM","LTW"
"P","IF","G4","SMTA","LL","GRD",20.0,20.0,"IPS1_CUM","IPS2_SM","LTW"
"P","MTK","G2","SD","PDG","PDG",21.0,18.0,"IPS1_M","IPS2_SM","LTW"
"P","BIO","G3","SMTA","LL","PDG",21.0,21.0,"IPS1_M","IPS2_SM","LTW"
"L","IF","G3","SMTA","PDG","PNS",19.0,18.0,"IPS1_CUM","IPS2_KM","LTW"
"P","MTK","G2","SD","LL","PDG",21.0,19.0,"IPS1_M","IPS2_SM","LTW"
"P","FISIKA","G2","SRJN","GRD","GRD",19.0,22.0,"IPS1_M","IPS2_SM","LTW"
"P","BIO","G1","SD","BPN","BPN",21.0,21.0,"IPS1_SM","IPS2_SM","LTW"
