@relation data_sosial_lulus_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","AKU","G5","SRJN","PDG","PNS","LTW"
"L","AKU","G1","SMTA","PDG","LL","LTW"
"P","AKU","G4","SMTA","LL","PS","LLW_1"
"P","AKU","G3","SMTA","PDG","LL","LTW"
"P","AKU","G4","SD","BPN","BPN","LTW"
"P","AKU","G4","SRJN","PDG","GRD","LTW"
"P","AKU","G3","SMTA","LL","PNS","LTW"
"P","AKU","G4","SRJN","PDG","PS","LTW"
"P","AKU","G4","SMP","LL","PSN","LTW"
"L","AKU","G4","SMP","LL","PNS","LLW_1"
"L","AKU","G6","SRJN","PNS","PNS","LLW_1"
"L","AKU","G3","SRJN","PSN","PSN","LTW"
"L","AKU","G6","SRJN","GRD","GRD","LLW_1"
"L","AKU","G3","SMP","PDG","PDG","LLW_1"
"L","AKU","G4","SRJN","GRD","PNS","LLW_1"
"L","AKU","G4","SMTA","PNS","PNS","LLW_1"
"L","AKU","G4","SRJN","PNS","GRD","LLW_1"
"L","AKU","G1","SRJN","GRD","PS","LLW_1"
"L","AKU","G2","SRJN","LL","LL","LLW_1"
"P","AKU","G2","SMTA","LL","PS","LTW"
"L","AKU","G5","SRJN","PNS","GRD","LLW_1"
"P","AKU","G2","SMTA","PNS","PNS","LTW"
"P","AKU","G3","LL","LL","PSN","LLW_2"
"L","AKU","G2","SD","PDG","PDG","LLW_1"
"L","AKU","G4","SRJN","GRD","GRD","LTW"
"P","AKU","G5","SRJN","LL","PNS","LTW"
"L","AKU","G3","SMP","LL","GRD","LTW"
"P","AKU","G4","SMTA","LL","LL","LTW"
"L","AKU","G4","SRJN","PS","GRD","LTW"
"L","AKU","G2","SMTA","LL","PDG","LLW_1"
"P","AKU","G3","SMP","PS","PS","LLW_1"
"P","AKU","G4","SRJN","PS","GRD","LTW"
"P","AKU","G2","SRJN","PDG","PS","LLW_1"
"L","AKU","G4","SRJN","GRD","GRD","LTW"
"L","AKU","G2","SMTA","LL","BPN","LLW_2"
"L","AKU","G6","SMTA","PDG","PS","LLW_1"
"L","AKU","G7","SMTA","PDG","PNS","LLW_1"
"P","AKU","G4","SMP","LL","BPN","LTW"
"P","AKU","G3","SRJN","GRD","LL","LTW"
"P","AKU","G4","SRJN","LL","LL","LTW"
"P","AKU","G5","SRJN","PNS","GRD","LTW"
"L","AKU","G4","SRJN","GRD","GRD","LLW_1"
"P","AKU","G3","SMTA","LL","PNS","LTW"
"L","AKU","G5","SMTA","LL","PNS","LLW_1"
"L","AKU","G2","SMTA","LL","PSN","LLW_1"
"P","AKU","G3","SMTA","PDG","PDG","LTW"
"L","AKU","G6","SRJN","GRD","PS","LTW"
"L","AKU","G4","SRJN","GRD","PNS","LTW"
"L","AKU","G3","SRJN","LL","PS","LLW_1"
"P","AKU","G3","SD","BPN","BPN","LTW"
"L","AKU","G5","SRJN","GRD","PSN","LLW_1"
"P","AKU","G3","SMP","BPN","BPN","LTW"
"P","AKU","G4","SMTA","LL","GRD","LTW"
"P","AKU","G3","SRJN","PNS","PNS","LLW_1"
"L","AKU","G5","SMTA","LL","PNS","LLW_1"
"L","AKU","G3","SMP","LL","PSN","LLW_1"
"P","AKU","G2","SMP","LL","LL","LLW_1"
"P","AKU","G4","SRJN","LL","PNS","LTW"
"P","AKU","G4","SRJN","PNS","PNS","LTW"
"L","AKU","G3","SD","LL","LL","LLW_1"
"L","AKU","G3","LL","GRD","PSN","LLW_1"
"L","AKU","G3","SMTA","PSN","PNS","LLW_1"
"P","AKU","G3","SMP","LL","PDG","LTW"
"P","AKU","G4","SMP","PDG","PSN","LTW"
