,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
1618,L,HUK,G6,SRJN,LL,PNS,IPK_SM
1619,P,HUK,G4,SRJN,GRD,PDG,IPK_CUM
1620,P,HUK,G7,SRJN,LL,PNS,IPK_SM
1621,P,HUK,G4,SMTA,GRD,GRD,IPK_SM
1622,P,HUK,G5,SMTA,PDG,PNS,IPK_CUM
1623,L,HUK,G4,SRJN,PNS,PNS,IPK_SM
1624,P,HUK,G6,SRJN,PNS,GRD,IPK_CUM
1625,P,HUK,G4,SRJN,PSN,PSN,IPK_M
1626,P,HUK,G3,SMTA,LL,PDG,IPK_SM
1627,P,HUK,G4,SRJN,GRD,GRD,IPK_SM
1628,P,HUK,G5,SRJN,GRD,PS,IPK_SM
1629,L,HUK,G3,SMTA,PS,PDG,IPK_CUM
1630,L,HUK,G6,SRJN,PNS,PNS,IPK_SM
1631,L,HUK,G3,SRJN,LL,PNS,IPK_SM
1632,P,HUK,G2,SRJN,PS,LL,IPK_CUM
1633,P,HUK,G4,SMTA,LL,PS,IPK_SM
1634,L,HUK,G4,SMTA,PDG,GRD,IPK_SM
1635,P,HUK,G2,SMTA,LL,PS,IPK_SM
1636,L,HUK,G3,SMP,PDG,PDG,IPK_SM
1637,L,HUK,G4,SRJN,GRD,PSN,IPK_SM
1638,L,HUK,G5,SMTA,PNS,PNS,IPK_SM
1639,L,HUK,G6,SRJN,PDG,PDG,IPK_SM
1640,L,HUK,G3,SMTA,LL,PNS,IPK_SM
1641,L,HUK,G2,SRJN,LL,GRD,IPK_SM
1642,L,HUK,G7,SMTA,PDG,PDG,IPK_SM
1643,P,HUK,G6,SRJN,GRD,ABRI,IPK_CUM
1644,P,HUK,G3,SRJN,GRD,PSN,IPK_SM
1645,L,HUK,G5,SRJN,PDG,GRD,IPK_SM
1646,P,HUK,G5,SMTA,PDG,PDG,IPK_SM
1647,P,HUK,G4,SRJN,LL,PNS,IPK_SM
1648,P,HUK,G6,SMTA,PDG,PDG,IPK_SM
1649,P,HUK,G3,SRJN,PDG,PDG,IPK_CUM
1650,P,HUK,G4,SRJN,GRD,PSN,IPK_CUM
1651,P,HUK,G3,SMTA,PDG,PSN,IPK_SM
1652,P,HUK,G2,SRJN,PDG,PS,IPK_SM
