,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
165,L,AKU,G4,SMTA,PSN,PNS,LLW
166,P,AKU,G3,SRJN,PDG,PDG,LTW
167,L,AKU,G4,SRJN,GRD,LL,LTW
168,L,AKU,G4,SRJN,GRD,GRD,LTW
169,P,AKU,G3,SMTA,GRD,LL,LLW
170,P,AKU,G3,SMTA,PDG,GRD,LTW
171,L,AKU,G3,SMP,PSN,PSN,LTW
172,L,AKU,G3,SRJN,PDG,ABRI,LTW
173,P,AKU,G6,SRJN,PNS,PNS,LTW
174,P,AKU,G5,SRJN,PNS,ABRI,LTW
175,L,AKU,G4,SRJN,GRD,GRD,LTW
176,P,AKU,G4,SMTA,LL,PS,LLW
177,L,AKU,G4,SRJN,LL,PSN,LTW
178,L,AKU,G4,SRJN,LL,GRD,LLW
179,P,AKU,G4,SMTA,PS,PNS,LTW
180,P,AKU,G5,SRJN,LL,LL,LTW
181,P,AKU,G4,SMTA,LL,PDG,LTW
182,L,AKU,G3,SMTA,LL,PNS,LTW
183,P,AKU,G3,SMTA,LL,BPN,LTW
184,P,AKU,G2,SD,LL,BPN,LC
185,L,AKU,G4,SMTA,LL,PDG,LTW
186,L,AKU,G3,SRJN,PSN,PSN,LTW
187,P,AKU,G3,SMTA,LL,PSN,LLW
188,P,AKU,G5,SRJN,PDG,PNS,LTW
189,P,AKU,G4,SMTA,LL,PS,LLW
190,P,AKU,G3,SMTA,PDG,LL,LTW
191,P,AKU,G2,SD,LL,BPN,LLW
192,P,AKU,G4,SD,BPN,BPN,LTW
193,P,AKU,G4,SMP,LL,PSN,LTW
194,L,AKU,G4,SMP,LL,PNS,LLW
195,L,AKU,G6,SRJN,PNS,PNS,LLW
196,L,AKU,G6,SRJN,GRD,GRD,LLW
197,L,AKU,G4,SRJN,GRD,PNS,LLW
198,L,AKU,G4,SMTA,PNS,PNS,LLW
199,L,AKU,G4,SRJN,PNS,GRD,LLW
200,L,AKU,G1,SRJN,GRD,PS,LLW
201,L,AKU,G2,SRJN,LL,LL,LLW
202,P,AKU,G2,SMTA,LL,PS,LTW
203,P,AKU,G2,SMTA,PNS,PNS,LTW
204,P,AKU,G3,LL,LL,PSN,LLW
205,L,AKU,G2,SD,PDG,PDG,LLW
206,L,AKU,G4,SRJN,GRD,GRD,LTW
207,P,AKU,G5,SRJN,LL,PNS,LTW
208,L,AKU,G4,SRJN,LL,PS,LTW
209,L,AKU,G3,SMP,LL,GRD,LTW
210,L,AKU,G4,SRJN,PS,GRD,LTW
211,L,AKU,G2,SMTA,LL,PDG,LLW
212,L,AKU,G3,SRJN,LL,PS,LTW
213,P,AKU,G3,SMP,PS,PS,LLW
214,P,AKU,G4,SRJN,PS,GRD,LTW
215,P,AKU,G2,SRJN,PDG,PS,LLW
216,L,AKU,G4,SRJN,GRD,GRD,LTW
217,L,AKU,G2,LL,LL,PDG,LLW
218,L,AKU,G6,SMTA,PDG,PS,LLW
219,P,AKU,G2,SMTA,LL,BPN,LTW
220,P,AKU,G1,SD,BPN,BPN,LTW
221,P,AKU,G4,SMP,LL,BPN,LTW
222,L,AKU,G5,SRJN,GRD,PNS,LTW
223,L,AKU,G4,SRJN,GRD,PNS,LTW
224,L,AKU,G7,SRJN,LL,LL,LTW
225,L,AKU,G4,SRJN,GRD,GRD,LLW
226,P,AKU,G3,SMTA,LL,PNS,LTW
227,L,AKU,G5,SMTA,LL,PNS,LLW
228,L,AKU,G2,SMTA,LL,PSN,LLW
229,P,AKU,G3,SMTA,PDG,PDG,LTW
230,L,AKU,G6,SRJN,GRD,PS,LTW
231,P,AKU,G5,SRJN,PNS,GRD,LLW
232,P,AKU,G4,SMTA,LL,GRD,LTW
233,L,AKU,G4,SMTA,LL,PS,LLW
234,P,AKU,G3,SRJN,PNS,PNS,LLW
235,L,AKU,G3,SMP,LL,PSN,LLW
236,P,AKU,G2,SMP,LL,LL,LLW
237,P,AKU,G4,SRJN,LL,PNS,LTW
238,P,AKU,G4,SRJN,PNS,PNS,LTW
239,L,AKU,G3,SD,LL,LL,LLW
240,L,AKU,G3,LL,GRD,PSN,LLW
241,L,AKU,G3,SMTA,PSN,PNS,LLW
242,L,AKU,G3,SMTA,PS,PDG,LLW
243,P,AKU,G3,SMP,LL,PDG,LTW
244,P,AKU,G4,SMP,PDG,PSN,LTW
245,P,AKU,G1,SMTA,LL,LL,LLW
246,L,AKU,G4,SMTA,PDG,GRD,LLW
247,P,AKU,G3,SRJN,PDG,PDG,LTW
248,P,AKU,G2,LL,LL,BPN,LTW
249,P,AKU,G4,SRJN,GRD,LL,LC
250,L,AKU,G4,SRJN,LL,PSN,LLW
