@relation data_uji_mipa_sosial_ipk
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IP_S1 real
@attribute IP_S2 real
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"P","KOM","G3","SRJN","LL","PS",3.14,2.83,"IPK_SM"
"L","HUK","G3","SMTA","PDG","GRD",2.7,2.95,"IPK_SM"
"L","HUK","G3","SMTA","PNS","PNS",2.7,2.7,"IPK_SM"
"L","EKO","G7","SRJN","GRD","PS",2.95,2.92,"IPK_SM"
"L","HUK","G4","SMTA","LL","PNS",2.7,2.8,"IPK_SM"
"L","AKU","G4","SRJN","PS","PS",3.33,3.35,"IPK_SM"
"L","HUK","G1","SMTA","LL","PDG",2.9,2.9,"IPK_SM"
"P","AKU","G3","SMTA","GRD","LL",3.0,3.5,"IPK_SM"
"P","HUK","G3","SRJN","PNS","PNS",3.3,3.36,"IPK_SM"
"P","KOM","G4","SRJN","PNS","PDG",3.32,3.32,"IPK_SM"
"L","HUK","G2","SD","PDG","PDG",0.12,0.0,"IPK_SM"
"P","KOM","G4","SRJN","GRD","PNS",3.36,3.45,"IPK_SM"
"P","KOM","G3","SRJN","PSN","PSN",3.23,3.14,"IPK_SM"
"P","EKO","G2","SRJN","PNS","PNS",3.0,3.46,"IPK_SM"
"L","KOM","G7","SRJN","LL","PS",3.05,2.85,"IPK_SM"
"P","KOM","G2","SD","LL","PS",3.41,3.14,"IPK_SM"
"P","EKO","G6","SRJN","PNS","PS",2.96,2.92,"IPK_SM"
"P","KOM","G4","SRJN","LL","GRD",3.27,3.09,"IPK_SM"
"L","HUK","G3","SMTA","PDG","PS",2.4,2.75,"IPK_SM"
"L","KOM","G4","SRJN","PNS","PS",3.36,3.5,"IPK_SM"
"P","KOM","G4","SMTA","PS","LL",3.5,3.82,"IPK_SM"
"P","KOM","G4","SMTA","PDG","PDG",3.32,3.42,"IPK_SM"
"P","HUK","G2","SRJN","PDG","PS",2.9,2.65,"IPK_SM"
"L","HUK","G4","SMTA","LL","PDG",2.4,2.89,"IPK_SM"
"P","HUK","G4","SRJN","PDG","PDG",1.4,2.5,"IPK_SM"
"P","HUK","G4","SMTA","LL","LL",3.0,2.68,"IPK_SM"
"L","AKU","G3","SRJN","LL","PDG",3.48,3.0,"IPK_SM"
"P","AKU","G4","SMTA","LL","LL",3.58,3.46,"IPK_SM"
"L","KOM","G2","SRJN","PS","PS",2.95,3.05,"IPK_SM"
"L","HUK","G3","SRJN","PS","PNS",2.2,2.2,"IPK_SM"
"L","HUK","G4","SRJN","LL","PDG",2.9,2.85,"IPK_SM"
"P","HUK","G3","SMTA","LL","PNS",3.0,2.9,"IPK_SM"
"L","HUK","G3","SRJN","GRD","PNS",2.2,2.1,"IPK_SM"
"P","AKU","G3","SRJN","PNS","PNS",3.48,3.65,"IPK_SM"
"P","HUK","G4","SRJN","PNS","PNS",2.5,2.8,"IPK_SM"
"L","HUK","G5","SMTA","PNS","PNS",2.8,3.1,"IPK_SM"
"P","HUK","G4","SMTA","LL","PNS",2.8,2.7,"IPK_SM"
"P","KOM","G6","SD","LL","BPN",3.14,3.23,"IPK_SM"
"L","KOM","G4","SMTA","PDG","GRD",2.82,3.3,"IPK_SM"
"P","HUK","G2","SMTA","LL","BPN",2.6,3.4,"IPK_SM"
"L","HUK","G3","SRJN","LL","PDG",2.1,3.22,"IPK_SM"
"P","KOM","G4","SMTA","LL","PDG",3.09,3.41,"IPK_SM"
"P","KOM","G5","SRJN","PNS","PNS",2.82,3.0,"IPK_SM"
"P","HUK","G3","SMP","LL","ABRI",2.8,2.9,"IPK_SM"
"P","KOM","G3","SMTA","PS","PS",2.48,3.29,"IPK_SM"
"L","KOM","G2","SMTA","PDG","BPN",2.64,3.2,"IPK_SM"
"P","HUK","G4","SMTA","LL","ABRI",3.3,3.09,"IPK_SM"
"P","HUK","G5","SMTA","GRD","LL",2.8,3.0,"IPK_SM"
"P","KOM","G2","SMTA","PDG","PDG",3.32,3.12,"IPK_SM"
"L","HUK","G3","SMP","PDG","PDG",2.8,2.65,"IPK_SM"
"L","KOM","G3","SMTA","LL","LL",3.05,3.09,"IPK_SM"
"L","HUK","G3","SMTA","PDG","PDG",2.96,3.6,"IPK_SM"
"P","EKO","G2","SMTA","PDG","PDG",3.33,3.38,"IPK_SM"
"P","EKO","G4","SRJN","GRD","GRD",3.08,3.08,"IPK_SM"
"P","HUK","G5","SMTA","PNS","PNS",3.1,3.3,"IPK_SM"
"L","HUK","G4","SRJN","PNS","PNS",2.4,2.6,"IPK_SM"
"P","HUK","G2","SMP","LL","PS",3.1,2.79,"IPK_SM"
"P","EKO","G6","SRJN","GRD","PS",2.73,3.38,"IPK_SM"
"L","AKU","G5","SRJN","PS","LL",3.38,3.39,"IPK_SM"
"L","AKU","G7","SMTA","LL","GRD",2.95,3.1,"IPK_SM"
"L","EKO","G2","SMTA","LL","PDG",3.08,2.76,"IPK_SM"
"P","EKO","G4","SRJN","PNS","PS",3.09,3.25,"IPK_SM"
"L","AKU","G5","SRJN","GRD","PS",3.5,3.52,"IPK_SM"
"L","AKU","G4","SMTA","PDG","PSN",3.43,3.17,"IPK_SM"
"L","HUK","G4","SMTA","PDG","PDG",2.5,2.6,"IPK_SM"
"P","HUK","G2","SMTA","PSN","PNS",2.8,3.0,"IPK_SM"
"L","EKO","G4","SMTA","PDG","GRD",3.29,3.54,"IPK_SM"
"L","HUK","G3","SRJN","PSN","PNS",1.5,1.75,"IPK_SM"
"L","HUK","G4","SRJN","PNS","PSN",2.7,2.25,"IPK_SM"
"P","HUK","G3","SRJN","GRD","PNS",2.1,3.25,"IPK_SM"
"L","AKU","G3","SMTA","PS","PDG",3.08,3.0,"IPK_SM"
