,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
178,P,FISIKA,G3,SRJN,PSN,PSN,IPK_M
179,L,FISIKA,G2,SMTA,LL,LL,IPK_SM
180,L,FISIKA,G5,SRJN,PS,PS,IPK_M
181,L,FISIKA,G2,SMTA,PDG,PDG,IPK_SM
182,L,FISIKA,G4,SMP,LL,PDG,IPK_SM
183,L,FISIKA,G3,SMTA,LL,LL,IPK_SM
184,L,FISIKA,G3,SMTA,BPN,PDG,IPK_M
185,P,FISIKA,G4,SRJN,PS,PS,IPK_SM
186,P,FISIKA,G4,SRJN,GRD,PS,IPK_SM
187,L,FISIKA,G2,SMTA,GRD,LL,IPK_SM
188,L,FISIKA,G2,SD,PDG,PDG,IPK_M
189,L,FISIKA,G3,SMTA,PNS,BPN,IPK_M
190,P,FISIKA,G4,SD,BPN,BPN,IPK_SM
191,P,FISIKA,G3,SMP,LL,PS,IPK_SM
192,L,FISIKA,G3,SD,BPN,GRD,IPK_SM
193,P,FISIKA,G2,SMP,PDG,LL,IPK_SM
194,P,FISIKA,G3,SMTA,PS,PS,IPK_SM
195,P,FISIKA,G3,SD,LL,PDG,IPK_SM
196,L,FISIKA,G4,SMTA,LL,PNS,IPK_SM
197,L,FISIKA,G4,SRJN,PNS,ABRI,IPK_M
198,P,FISIKA,G4,SMTA,PDG,GRD,IPK_M
199,L,FISIKA,G5,SRJN,GRD,PNS,IPK_SM
200,L,FISIKA,G3,SMTA,LL,PS,IPK_KM
201,P,FISIKA,G2,SMP,BPN,BPN,IPK_CUM
202,L,FISIKA,G4,SRJN,LL,PNS,IPK_M
203,L,FISIKA,G3,SD,PDG,GRD,IPK_SM
204,P,FISIKA,G3,SMTA,LL,PDG,IPK_M
205,L,FISIKA,G4,SMTA,PDG,PNS,IPK_SM
206,P,FISIKA,G4,SMP,LL,PDG,IPK_M
207,P,FISIKA,G3,SMTA,PS,PDG,IPK_SM
208,P,FISIKA,G3,SMP,LL,PNS,IPK_SM
209,P,FISIKA,G2,SD,LL,PS,IPK_SM
210,P,FISIKA,G2,SMTA,LL,BPN,IPK_SM
211,P,FISIKA,G4,SRJN,LL,PS,IPK_SM
212,P,FISIKA,G3,SMTA,LL,PNS,IPK_CUM
213,L,FISIKA,G3,SMTA,LL,ABRI,IPK_SM
214,P,FISIKA,G3,SRJN,GRD,PSN,IPK_SM
215,P,FISIKA,G2,SD,LL,PSN,IPK_M
216,P,FISIKA,G3,SD,PDG,PDG,IPK_KM
217,P,FISIKA,G4,SRJN,GRD,PNS,IPK_M
218,P,FISIKA,G3,SMP,LL,PNS,IPK_CUM
219,P,FISIKA,G4,SMP,PDG,ABRI,IPK_SM
220,P,FISIKA,G3,SMTA,LL,PS,IPK_SM
221,L,FISIKA,G4,SMTA,PDG,GRD,IPK_M
222,L,FISIKA,G4,SRJN,GRD,PNS,IPK_SM
223,P,FISIKA,G1,LL,LL,PSN,IPK_SM
224,L,FISIKA,G3,SMTA,LL,PS,IPK_SM
225,P,FISIKA,G4,SMTA,LL,PS,IPK_M
226,P,FISIKA,G3,SMP,PDG,PDG,IPK_M
227,P,FISIKA,G3,SRJN,GRD,BPN,IPK_M
228,L,FISIKA,G2,SMTA,PDG,PDG,IPK_SM
229,L,FISIKA,G4,SMP,PDG,PDG,IPK_SM
230,P,FISIKA,G1,SRJN,GRD,LL,IPK_SM
231,P,FISIKA,G4,SMTA,LL,PDG,IPK_SM
232,P,FISIKA,G2,SD,LL,BPN,IPK_SM
233,L,FISIKA,G2,SD,BPN,PDG,IPK_M
234,P,FISIKA,G4,SRJN,GRD,GRD,IPK_CUM
235,P,FISIKA,G1,SMTA,LL,BPN,IPK_SM
236,L,FISIKA,G1,SD,LL,PDG,IPK_SM
237,P,FISIKA,G2,SMTA,PDG,PDG,IPK_CUM
238,L,FISIKA,G3,SD,BPN,PDG,IPK_CUM
239,L,FISIKA,G3,SMTA,PDG,PSN,IPK_SM
240,P,FISIKA,G4,SRJN,GRD,GRD,IPK_SM
