,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
70,L,AKU,G6,SMTA,LL,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LTW
71,L,AKU,G1,SMTA,LL,LL,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
72,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
73,L,AKU,G4,SRJN,PDG,PNS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
74,P,AKU,G3,SMTA,LL,GRD,IPS1_KM,IPS2_CUM,SKS1_SB,SKS2_K,LLW
75,P,AKU,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LTW
76,L,AKU,G4,SMTA,PSN,PSN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
77,P,AKU,G4,SMTA,PNS,PS,IPS1_KM,IPS2_M,SKS1_SB,SKS2_B,LLW
78,P,AKU,G3,SRJN,PDG,LL,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,LLW
79,L,AKU,G5,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
80,P,AKU,G3,SMTA,GRD,LL,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_B,LLW
81,L,AKU,G2,SMTA,LL,PS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_SB,LLW
82,L,AKU,G3,SRJN,LL,PSN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
83,P,AKU,G4,SMTA,PNS,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_B,LTW
84,L,AKU,G3,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
85,P,AKU,G3,SRJN,LL,PSN,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,LLW
86,P,AKU,G3,SRJN,LL,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_B,LTW
87,L,AKU,G3,SD,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
88,L,AKU,G3,LL,PDG,PDG,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
89,P,AKU,G3,SMTA,PSN,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
90,P,AKU,G3,SD,PDG,PS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
91,P,AKU,G4,SRJN,PNS,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LLW
92,P,AKU,G2,SRJN,PS,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
93,P,AKU,G3,SRJN,GRD,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
94,L,AKU,G4,SRJN,PSN,GRD,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
95,P,AKU,G3,SMTA,LL,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
96,L,AKU,G3,SD,LL,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,LLW
97,L,AKU,G3,SRJN,PNS,PS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
98,L,AKU,G4,SMTA,LL,PDG,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
99,L,AKU,G3,SMTA,LL,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
100,P,AKU,G3,SRJN,PDG,BPN,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
101,P,AKU,G2,SD,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
102,P,AKU,G4,SRJN,PNS,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LC
103,L,AKU,G4,SRJN,PSN,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
104,L,AKU,G7,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LLW
