@relation data_mipa_lulus_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","BIO","G3","SRJN","LL","PDG","LTW"
"P","BIO","G4","SMTA","LL","PDG","LLW_1"
"L","BIO","G3","SMTA","BPN","BPN","LLW_1"
"P","BIO","G3","SMTA","LL","PS","LLW_1"
"P","BIO","G3","SMP","PDG","PS","LLW_1"
"P","BIO","G2","SMP","LL","BPN","LLW_1"
"P","BIO","G4","SRJN","PS","PNS","LLW_1"
"L","BIO","G3","SMTA","PS","BPN","LLW_1"
"P","BIO","G4","SMTA","LL","GRD","LTW"
"P","BIO","G2","SMTA","PDG","PDG","LLW_1"
"P","BIO","G2","SMTA","LL","LL","LLW_1"
"P","BIO","G2","SMTA","LL","LL","LLW_1"
"P","BIO","G3","SMTA","PDG","PDG","LLW_1"
"L","BIO","G7","SRJN","LL","PNS","LTW"
"L","BIO","G3","SRJN","GRD","GRD","LLW_1"
"P","BIO","G3","SRJN","LL","PDG","LLW_1"
"P","BIO","G1","SMTA","PDG","LL","LTW"
"P","BIO","G4","SRJN","LL","GRD","LTW"
"P","BIO","G4","SMTA","BPN","LL","LLW_1"
"P","BIO","G3","SD","LL","PDG","LLW_1"
"P","BIO","G2","SMP","LL","BPN","LTW"
"P","BIO","G3","SMTA","LL","PDG","LLW_1"
"P","BIO","G4","SMTA","PDG","PSN","LLW_1"
"P","BIO","G3","SMP","PS","PS","LLW_1"
"P","BIO","G2","SD","PDG","PDG","LLW_1"
"P","BIO","G5","SRJN","LL","GRD","LLW_1"
"L","BIO","G2","SD","LL","PDG","LLW_1"
"L","BIO","G4","SMTA","LL","GRD","LLW_1"
"L","IF","G3","SRJN","LL","PS","LLW_1"
"L","IF","G2","SMTA","PDG","PDG","LTW"
"L","IF","G3","SMTA","LL","GRD","LLW_1"
"L","IF","G3","SMTA","GRD","LL","LLW_2"
"L","IF","G2","SMTA","LL","BPN","LLW_1"
"L","IF","G4","SD","LL","PNS","LLW_1"
"L","IF","G4","SD","LL","PS","LLW_2"
"L","IF","G2","SD","BPN","BPN","LLW_1"
"L","IF","G4","SRJN","PNS","PNS","LLW_1"
"P","IF","G4","SMP","LL","PDG","LLW_1"
"P","IF","G3","SRJN","PNS","LL","LLW_1"
"L","IF","G2","SD","LL","BPN","LLW_2"
"L","IF","G2","SD","LL","PNS","LLW_2"
"L","IF","G5","SD","LL","BPN","LLW_2"
"L","IF","G2","SMTA","LL","LL","LLW_2"
"P","IF","G3","SMTA","LL","PS","LLW_1"
"P","IF","G3","SD","PDG","BPN","LLW_1"
"L","IF","G3","SRJN","GRD","GRD","LLW_1"
"L","IF","G3","SRJN","GRD","PNS","LLW_2"
"P","IF","G3","SMTA","LL","GRD","LLW_1"
"P","IF","G3","SMTA","PS","PS","LLW_1"
"L","IF","G3","SRJN","GRD","LL","LLW_1"
"P","IF","G3","SRJN","LL","PNS","LTW"
"L","IF","G3","SD","PDG","PDG","LLW_2"
"P","IF","G2","SD","LL","PNS","LLW_1"
"P","IF","G3","SRJN","GRD","PSN","LLW_1"
"P","IF","G4","SRJN","GRD","PNS","LLW_1"
"P","IF","G1","SD","PS","BPN","LTW"
"P","IF","G3","SMTA","GRD","GRD","LTW"
"P","IF","G4","SRJN","GRD","GRD","LLW_1"
"P","IF","G3","SMTA","LL","GRD","LLW_1"
"L","IF","G4","SMTA","LL","PNS","LLW_2"
"P","IF","G4","SRJN","GRD","GRD","LLW_1"
"P","IF","G4","SRJN","PNS","PNS","LLW_1"
"L","IF","G4","SRJN","GRD","PSN","LLW_2"
"L","IF","G4","SRJN","GRD","PSN","LLW_1"
"P","IF","G4","SRJN","PDG","PNS","LTW"
"P","IF","G4","SRJN","LL","PNS","LLW_1"
"L","IF","G2","SMTA","LL","PSN","LLW_2"
"P","IF","G3","SRJN","LL","PNS","LLW_1"
"L","IF","G4","SRJN","PNS","GRD","LLW_1"
"L","IF","G3","SMTA","LL","GRD","LLW_2"
"L","IF","G3","SD","PDG","PNS","LLW_2"
"L","IF","G5","SMTA","LL","PDG","LLW_2"
"P","IF","G1","SRJN","PDG","PDG","LLW_1"
"L","IF","G3","SMP","PDG","GRD","LLW_2"
"L","IF","G4","LL","LL","PDG","LLW_2"
"L","IF","G4","SRJN","GRD","GRD","LLW_1"
"P","IF","G3","SMP","LL","PSN","LLW_1"
"L","IF","G4","SRJN","LL","PNS","LLW_1"
"P","IF","G2","SMTA","LL","PSN","LLW_1"
"L","IF","G7","SMTA","PDG","PDG","LLW_2"
"P","IF","G3","SD","PDG","PDG","LLW_1"
"L","IF","G1","SD","LL","PDG","LLW_2"
"P","IF","G3","SMTA","PDG","GRD","LLW_1"
"P","IF","G3","SMTA","LL","PS","LLW_2"
"P","IF","G4","SRJN","PNS","PNS","LTW"
"P","IF","G4","SMTA","PS","PNS","LLW_2"
"L","IF","G3","SMP","LL","PS","LLW_2"
"L","IF","G4","SRJN","PDG","PDG","LLW_2"
"L","IF","G3","SMTA","PS","PDG","LLW_1"
"L","IF","G4","SRJN","GRD","PS","LLW_1"
"P","IF","G4","SMTA","PDG","PDG","LTW"
"L","IF","G4","SMTA","PNS","GRD","LLW_2"
"L","IF","G6","SRJN","LL","PS","LLW_2"
"P","IF","G2","SD","LL","PNS","LLW_2"
"P","IF","G4","SMTA","PDG","GRD","LLW_2"
"L","IF","G3","SRJN","GRD","LL","LLW_1"
"L","IF","G4","SRJN","PDG","PNS","LLW_1"
"L","IF","G5","SMTA","LL","PNS","LLW_1"
"L","IF","G4","SMP","PDG","PDG","LLW_2"
"P","IF","G3","SMTA","LL","PNS","LLW_2"
"P","IF","G4","SRJN","LL","PDG","LLW_2"
"P","IF","G7","SRJN","GRD","PNS","LLW_1"
"L","IF","G4","SRJN","PNS","GRD","LLW_1"
"L","IF","G2","LL","PDG","BPN","LLW_1"
"P","IF","G3","SRJN","GRD","PNS","LLW_1"
"L","IF","G4","SMTA","LL","PDG","LLW_2"
"L","IF","G2","SRJN","LL","LL","LLW_1"
"P","IF","G2","SD","BPN","BPN","LLW_1"
"L","IF","G4","SMTA","PDG","PSN","LLW_1"
"P","IF","G1","LL","LL","BPN","LLW_2"
"P","IF","G4","SRJN","PNS","GRD","LTW"
"L","IF","G2","SD","PDG","LL","LLW_2"
"P","IF","G4","SRJN","GRD","PNS","LLW_1"
"L","IF","G2","SMTA","LL","PDG","LLW_1"
"L","IF","G4","SMTA","LL","PDG","LLW_2"
"P","IF","G1","SMTA","PDG","PDG","LLW_1"
"P","IF","G3","SMTA","PDG","PSN","LTW"
"L","IF","G3","SD","PDG","PNS","LLW_2"
"L","IF","G4","SRJN","GRD","GRD","LLW_2"
"P","IF","G2","SMTA","LL","PDG","LLW_2"
"L","IF","G4","SMTA","PDG","PNS","LLW_2"
"L","IF","G4","SRJN","GRD","PDG","LLW_2"
"P","IF","G4","SRJN","PNS","PS","LLW_2"
"L","IF","G3","SRJN","GRD","GRD","LLW_2"
"L","IF","G4","SRJN","PNS","PNS","LLW_1"
"P","IF","G2","SD","BPN","BPN","LLW_2"
"L","IF","G1","SD","BPN","BPN","LLW_2"
"L","IF","G5","SMTA","PDG","PDG","LLW_2"
"P","IF","G2","SRJN","LL","PS","LLW_2"
"P","IF","G3","SMTA","PSN","PSN","LLW_2"
"L","IF","G3","SMTA","PDG","LL","LLW_2"
"P","IF","G4","SRJN","GRD","GRD","LLW_1"
"L","IF","G3","SMP","PNS","GRD","LLW_2"
"L","IF","G5","SRJN","GRD","GRD","LTW"
"L","IF","G2","SMTA","LL","PSN","LLW_1"
"L","IF","G4","SMTA","LL","PS","LLW_1"
"L","IF","G3","SD","LL","PSN","LLW_2"
"P","IF","G4","SMTA","GRD","PS","LLW_2"
"P","IF","G1","SD","LL","PDG","LTW"
"P","IF","G3","SMTA","PDG","PS","LLW_2"
"L","IF","G2","SMTA","PDG","PDG","LLW_2"
"L","IF","G4","SRJN","GRD","PS","LLW_2"
"P","IF","G4","SRJN","GRD","GRD","LLW_2"
"L","IF","G4","SMTA","LL","PS","LLW_2"
"L","IF","G2","SMTA","LL","GRD","LLW_2"
"L","IF","G4","SRJN","LL","GRD","LLW_1"
"P","IF","G4","SRJN","PNS","PNS","LLW_1"
"L","IF","G4","SRJN","GRD","GRD","LTW"
"L","IF","G2","SMP","BPN","PS","LLW_1"
"P","IF","G4","SRJN","GRD","GRD","LLW_1"
"P","IF","G4","SMTA","GRD","BPN","LLW_1"
"L","IF","G4","SMP","LL","PS","LLW_1"
"P","IF","G4","SMTA","LL","GRD","LLW_1"
"L","IF","G4","SMTA","PNS","PSN","LLW_1"
"L","IF","G2","SRJN","GRD","LL","LLW_1"
"P","IF","G2","SMP","BPN","BPN","LLW_1"
"P","IF","G4","SRJN","GRD","GRD","LLW_1"
"P","IF","G3","SMTA","PNS","PSN","LLW_1"
"P","IF","G2","SMTA","BPN","PDG","LLW_1"
"L","IF","G4","SRJN","GRD","LL","LTW"
"P","IF","G3","SMTA","LL","PS","LLW_2"
"L","IF","G4","SRJN","GRD","PNS","LLW_1"
"L","IF","G4","SMTA","PDG","GRD","LLW_1"
"P","IF","G1","SMTA","PS","LL","LTW"
"P","IF","G2","SMP","BPN","BPN","LLW_1"
"L","IF","G3","SMP","PDG","PNS","LLW_1"
"L","IF","G7","SRJN","LL","GRD","LLW_2"
"L","IF","G4","SMTA","LL","PNS","LLW_2"
"P","IF","G5","SRJN","GRD","GRD","LLW_1"
"P","IF","G2","SMP","LL","PS","LLW_1"
"L","IF","G5","SRJN","LL","PS","LLW_2"
"L","IF","G4","SRJN","GRD","GRD","LLW_1"
"P","IF","G3","SRJN","PDG","PDG","LLW_2"
"L","IF","G3","SMTA","LL","PSN","LLW_1"
"P","IF","G3","SRJN","LL","PNS","LLW_1"
"P","IF","G5","SRJN","PNS","PS","LTW"
"L","IF","G3","SMTA","LL","BPN","LLW_1"
"P","IF","G2","SMP","PDG","BPN","LLW_1"
"L","IF","G4","SRJN","PNS","PNS","LLW_2"
"L","IF","G4","SMTA","LL","GRD","LLW_1"
"P","IF","G5","SMTA","LL","PDG","LLW_1"
"P","IF","G4","SRJN","GRD","PNS","LTW"
"P","IF","G4","SMTA","LL","PS","LTW"
"P","IF","G2","SMTA","PDG","PDG","LLW_2"
"L","IF","G3","SMTA","LL","PSN","LLW_2"
"P","IF","G4","SRJN","GRD","GRD","LLW_1"
"P","IF","G4","SRJN","PNS","PS","LLW_1"
"P","IF","G4","SMTA","PDG","PDG","LLW_1"
"P","IF","G4","SRJN","GRD","PSN","LLW_2"
"P","IF","G4","SRJN","GRD","GRD","LLW_1"
"L","IF","G4","SRJN","PNS","PSN","LLW_1"
"L","IF","G5","SRJN","LL","PSN","LLW_1"
"P","IF","G4","SMTA","GRD","GRD","LLW_1"
"P","IF","G3","SRJN","LL","GRD","LTW"
"P","IF","G4","SRJN","GRD","PS","LTW"
"L","IF","G5","SRJN","GRD","PNS","LTW"
"L","IF","G3","SD","LL","BPN","LTW"
"L","IF","G4","SMTA","LL","LL","LC"
"P","IF","G1","SMTA","LL","BPN","LLW_1"
"L","IF","G5","SRJN","PNS","GRD","LTW"
"L","IF","G4","SMTA","PDG","LL","LLW_1"
"L","IF","G5","SMTA","PS","LL","LLW_1"
"L","IF","G4","SMTA","LL","PDG","LTW"
"L","IF","G3","SD","LL","PSN","LTW"
"P","IF","G4","SMTA","PDG","GRD","LLW_1"
"P","IF","G3","SRJN","GRD","LL","LLW_1"
"L","IF","G4","SRJN","LL","PS","LLW_1"
