@relation data_mipa_lulus_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","FISIKA","G4","SMP","BPN","GRD","LLW_1"
"P","FISIKA","G2","SMTA","PDG","PDG","LTW"
"P","FISIKA","G1","SMP","LL","BPN","LTW"
"L","FISIKA","G4","SRJN","GRD","LL","LTW"
"P","FISIKA","G4","SRJN","PDG","GRD","LTW"
"P","FISIKA","G1","SMTA","PDG","BPN","LTW"
"L","FISIKA","G2","LL","BPN","BPN","LLW_2"
"L","FISIKA","G3","SMTA","PSN","PSN","LLW_2"
"P","FISIKA","G4","SMTA","LL","PNS","LLW_1"
"L","FISIKA","G2","SMP","PDG","PS","LLW_1"
"P","FISIKA","G2","SD","LL","PS","LLW_1"
"L","FISIKA","G4","SMTA","LL","PDG","LLW_1"
"P","FISIKA","G2","SD","LL","BPN","LTW"
"P","FISIKA","G4","SRJN","GRD","GRD","LLW_1"
"L","FISIKA","G3","SMP","LL","PNS","LLW_2"
"P","FISIKA","G1","SD","BPN","BPN","LTW"
"P","FISIKA","G5","SRJN","LL","PNS","LTW"
"P","FISIKA","G1","SD","BPN","BPN","LTW"
"L","FISIKA","G3","LL","BPN","PNS","LLW_2"
"P","FISIKA","G1","SRJN","LL","PDG","LLW_2"
"L","FISIKA","G2","SMTA","PDG","PDG","LLW_1"
"P","FISIKA","G2","SMTA","LL","PS","LTW"
"L","FISIKA","G2","LL","BPN","BPN","LLW_2"
"P","FISIKA","G2","SD","PDG","PDG","LTW"
"L","FISIKA","G2","SMP","PDG","GRD","LTW"
"P","FISIKA","G3","SMTA","LL","GRD","LLW_1"
"L","FISIKA","G3","SD","PDG","PDG","LTW"
"L","FISIKA","G5","SRJN","GRD","PDG","LLW_2"
"P","FISIKA","G2","SMTA","PDG","PSN","LLW_1"
"P","FISIKA","G3","SRJN","GRD","PSN","LLW_1"
"P","FISIKA","G4","SMTA","LL","PNS","LLW_1"
"L","FISIKA","G4","SMTA","PDG","PS","LLW_2"
"L","FISIKA","G1","SD","PDG","PDG","LLW_1"
"P","FISIKA","G1","SD","BPN","BPN","LTW"
"L","FISIKA","G4","SMTA","PDG","PNS","LTW"
"P","FISIKA","G4","SD","PDG","GRD","LLW_1"
"P","FISIKA","G4","SMTA","LL","PNS","LLW_1"
"P","FISIKA","G2","LL","BPN","BPN","LLW_1"
"P","FISIKA","G3","SMTA","PDG","PNS","LLW_1"
"P","FISIKA","G2","SD","BPN","LL","LLW_1"
"P","FISIKA","G5","SMTA","PDG","PDG","LTW"
"P","FISIKA","G1","SMTA","BPN","BPN","LLW_2"
"L","FISIKA","G2","SD","LL","LL","LLW_1"
"L","FISIKA","G2","SMTA","PDG","BPN","LTW"
"L","FISIKA","G2","SD","BPN","BPN","LLW_1"
"P","FISIKA","G2","SMTA","PS","PS","LTW"
"P","FISIKA","G2","SD","LL","BPN","LTW"
"P","FISIKA","G2","LL","BPN","BPN","LLW_1"
"P","FISIKA","G2","SD","BPN","PDG","LLW_1"
"L","FISIKA","G3","SMTA","PDG","PDG","LTW"
"P","FISIKA","G2","SD","BPN","BPN","LLW_1"
"L","FISIKA","G3","SMTA","LL","GRD","LLW_2"
"L","FISIKA","G3","SRJN","PDG","GRD","LTW"
"P","FISIKA","G2","SD","LL","PDG","LLW_1"
"P","FISIKA","G3","LL","PDG","PDG","LLW_1"
"P","FISIKA","G3","SRJN","PSN","PSN","LLW_1"
"L","FISIKA","G5","SRJN","PS","PS","LLW_1"
"L","FISIKA","G4","SMTA","LL","LL","LTW"
"L","FISIKA","G2","SMTA","PDG","PDG","LTW"
"L","FISIKA","G4","SMP","LL","PDG","LLW_1"
"L","FISIKA","G3","SMTA","LL","LL","LTW"
"L","FISIKA","G3","SMTA","BPN","PDG","LLW_2"
"L","FISIKA","G4","SRJN","GRD","PSN","LTW"
"P","FISIKA","G4","SRJN","PS","PS","LTW"
"L","FISIKA","G2","SMTA","GRD","LL","LTW"
"P","FISIKA","G3","SMTA","LL","PDG","LLW_1"
"L","FISIKA","G3","SMTA","PNS","BPN","LTW"
"P","FISIKA","G4","SD","BPN","BPN","LTW"
"P","FISIKA","G3","SMP","PNS","BPN","LTW"
"L","FISIKA","G1","LL","BPN","BPN","LTW"
"P","FISIKA","G3","SMP","LL","PS","LLW_1"
"P","FISIKA","G2","SMP","PDG","LL","LLW_1"
"P","FISIKA","G3","SMTA","PS","PS","LTW"
"P","FISIKA","G3","SD","LL","PDG","LTW"
"L","FISIKA","G4","SRJN","PNS","LL","LLW_1"
"L","FISIKA","G5","SRJN","GRD","PNS","LTW"
"L","FISIKA","G2","SMP","LL","BPN","LTW"
"P","FISIKA","G3","SRJN","PNS","BPN","LTW"
"L","FISIKA","G3","SMTA","LL","PS","LLW_1"
"P","FISIKA","G2","SMP","BPN","BPN","LTW"
"L","FISIKA","G4","SRJN","LL","PNS","LLW_1"
"P","FISIKA","G3","SMTA","LL","PDG","LLW_2"
"L","FISIKA","G4","SMTA","PDG","PNS","LTW"
"P","FISIKA","G3","SMTA","PS","PDG","LTW"
"P","FISIKA","G3","SMP","LL","PNS","LTW"
"P","FISIKA","G2","SMTA","LL","BPN","LTW"
"P","FISIKA","G2","SD","PDG","PDG","LTW"
"P","FISIKA","G2","LL","BPN","BPN","LLW_1"
"P","FISIKA","G4","SRJN","LL","PS","LTW"
"P","FISIKA","G3","SMTA","LL","PNS","LTW"
"L","FISIKA","G3","SMTA","LL","PS","LLW_1"
"P","FISIKA","G3","SRJN","GRD","PSN","LLW_1"
"L","FISIKA","G4","SD","LL","PS","LLW_1"
"P","FISIKA","G2","SD","LL","PS","LTW"
"P","FISIKA","G2","SD","LL","PSN","LLW_1"
"P","FISIKA","G3","SD","PDG","PDG","LLW_1"
"P","FISIKA","G4","SRJN","GRD","PNS","LLW_1"
"P","FISIKA","G3","SMP","LL","PNS","LLW_1"
"P","FISIKA","G4","SMP","PDG","LL","LLW_1"
"P","FISIKA","G3","SMTA","LL","PS","LLW_1"
"L","FISIKA","G4","SMTA","PDG","GRD","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PNS","LLW_1"
"P","FISIKA","G1","LL","LL","PSN","LLW_2"
"P","FISIKA","G3","SMP","PDG","PDG","LLW_2"
"P","FISIKA","G3","SRJN","GRD","BPN","LLW_1"
"L","FISIKA","G4","SMP","PDG","PDG","LLW_2"
"P","FISIKA","G1","SRJN","GRD","LL","LTW"
"P","FISIKA","G3","LL","GRD","PNS","LLW_1"
"P","FISIKA","G4","SMTA","LL","PDG","LLW_1"
"P","FISIKA","G2","SD","LL","BPN","LLW_1"
"L","FISIKA","G4","SRJN","GRD","PNS","LLW_1"
"L","FISIKA","G2","SD","BPN","PDG","LLW_1"
"P","FISIKA","G4","SRJN","GRD","GRD","LTW"
"P","FISIKA","G1","SMTA","LL","BPN","LLW_1"
"L","FISIKA","G1","SD","LL","PDG","LLW_1"
"P","FISIKA","G2","SMTA","PDG","PDG","LTW"
"L","FISIKA","G3","SD","BPN","PDG","LTW"
"P","FISIKA","G4","SRJN","GRD","GRD","LTW"
"P","FISIKA","G3","SMTA","PDG","PNS","LLW_1"
"L","FISIKA","G1","SD","LL","BPN","LLW_1"
"P","FISIKA","G2","SD","BPN","PDG","LTW"
"P","FISIKA","G2","SMP","LL","PDG","LTW"
"L","FISIKA","G2","SMP","LL","BPN","LLW_1"
"P","FISIKA","G4","SRJN","PNS","PSN","LLW_1"
"L","FISIKA","G2","LL","LL","BPN","LC"
"P","FISIKA","G2","SRJN","LL","PS","LTW"
"P","FISIKA","G3","SMTA","PNS","PS","LLW_1"
"L","FISIKA","G2","SMTA","PDG","PDG","LTW"
"P","FISIKA","G5","SMTA","PS","PDG","LLW_1"
"P","FISIKA","G4","SRJN","GRD","PS","LLW_1"
"P","FISIKA","G3","SRJN","GRD","BPN","LTW"
"L","FISIKA","G2","SD","LL","BPN","LTW"
"P","FISIKA","G3","SMTA","PDG","PDG","LTW"
"P","FISIKA","G2","SMTA","PS","PSN","LLW_1"
"P","FISIKA","G4","SMTA","LL","GRD","LLW_1"
"P","FISIKA","G3","SMTA","PS","GRD","LLW_1"
"P","FISIKA","G4","SMTA","BPN","GRD","LTW"
"P","FISIKA","G3","SRJN","GRD","PSN","LLW_1"
"P","FISIKA","G4","SMTA","PNS","LL","LLW_1"
"P","FISIKA","G5","SRJN","PNS","GRD","LLW_1"
"P","FISIKA","G7","SRJN","GRD","PS","LTW"
"L","FISIKA","G4","SMTA","LL","GRD","LLW_1"
"P","FISIKA","G3","SMTA","LL","PDG","LLW_1"
"P","FISIKA","G2","SMTA","PS","PSN","LLW_1"
"P","FISIKA","G4","SRJN","GRD","PNS","LLW_1"
"L","FISIKA","G6","SMTA","LL","PNS","LLW_1"
"P","FISIKA","G3","SMTA","LL","PDG","LLW_1"
"L","FISIKA","G4","SD","BPN","PSN","LTW"
"P","FISIKA","G4","SMTA","PDG","PNS","LTW"
"P","FISIKA","G3","SMTA","LL","LL","LTW"
"P","FISIKA","G4","SMTA","LL","BPN","LLW_1"
"P","FISIKA","G2","SD","BPN","BPN","LC"
"P","FISIKA","G3","SD","PDG","PDG","LLW_1"
"P","FISIKA","G3","SMTA","LL","PS","LTW"
"L","FISIKA","G4","SRJN","PNS","PS","LLW_1"
"L","FISIKA","G5","SRJN","GRD","LL","LLW_1"
"P","FISIKA","G2","SMP","LL","BPN","LTW"
"L","FISIKA","G3","SMTA","PDG","PDG","LTW"
"L","FISIKA","G3","SD","LL","BPN","LTW"
"L","MTK","G3","SD","LL","GRD","LLW_2"
"P","MTK","G2","SMTA","PS","PS","LTW"
"P","MTK","G2","SMP","LL","PNS","LTW"
"P","MTK","G2","SMP","PDG","PDG","LLW_1"
"L","MTK","G1","LL","BPN","BPN","LTW"
"L","MTK","G2","SD","LL","PNS","LLW_1"
"P","MTK","G2","SD","LL","PS","LTW"
"P","MTK","G3","SRJN","GRD","GRD","LLW_2"
"P","MTK","G2","SMTA","LL","GRD","LLW_1"
"P","MTK","G3","SRJN","GRD","PDG","LLW_1"
"P","MTK","G2","SD","BPN","BPN","LLW_2"
"P","MTK","G3","SRJN","PDG","GRD","LLW_2"
"L","MTK","G3","SRJN","GRD","GRD","LTW"
"P","MTK","G3","SMTA","PS","GRD","LLW_2"
"L","MTK","G3","SMTA","GRD","GRD","LTW"
"P","MTK","G3","SRJN","GRD","PS","LLW_1"
"P","MTK","G2","SRJN","GRD","BPN","LLW_2"
"L","MTK","G2","SD","BPN","BPN","LLW_2"
"P","MTK","G3","SMP","PS","PNS","LTW"
"L","MTK","G3","SD","LL","GRD","LTW"
"P","MTK","G2","SRJN","GRD","GRD","LTW"
"P","MTK","G2","SMP","LL","PSN","LLW_2"
"L","MTK","G1","SD","PDG","PDG","LC"
"P","MTK","G3","SRJN","GRD","GRD","LLW_2"
"P","MTK","G3","SRJN","GRD","PNS","LTW"
"P","MTK","G3","SMTA","PNS","GRD","LLW_2"
"P","MTK","G3","SMP","LL","GRD","LLW_1"
"L","MTK","G3","SRJN","GRD","PS","LLW_2"
"L","MTK","G1","LL","PDG","BPN","LTW"
"L","MTK","G2","LL","BPN","BPN","LTW"
"L","MTK","G4","SRJN","GRD","GRD","LLW_1"
"P","MTK","G1","SD","LL","BPN","LLW_2"
"P","MTK","G3","LL","PDG","GRD","LLW_1"
"P","MTK","G3","SMTA","LL","PNS","LLW_1"
"P","MTK","G3","SMP","LL","PS","LLW_1"
"P","MTK","G3","SMTA","PDG","PNS","LLW_1"
"L","MTK","G3","SMP","LL","PS","LLW_1"
"P","MTK","G1","SD","LL","PSN","LTW"
"P","MTK","G2","LL","LL","PDG","LLW_1"
"P","MTK","G3","SMTA","LL","PNS","LLW_1"
"P","MTK","G2","SD","PS","PS","LLW_1"
"P","MTK","G3","SRJN","GRD","PSN","LLW_1"
"L","MTK","G2","SD","BPN","BPN","LLW_2"
"P","MTK","G1","SMP","BPN","BPN","LTW"
"L","MTK","G3","SD","LL","GRD","LLW_1"
"P","MTK","G2","SD","LL","PDG","LLW_1"
"P","MTK","G2","SMTA","LL","PDG","LTW"
"L","MTK","G2","SD","LL","BPN","LLW_1"
"L","MTK","G4","SMTA","GRD","GRD","LLW_2"
"P","MTK","G2","LL","BPN","PSN","LLW_2"
"P","MTK","G3","SMTA","LL","PDG","LLW_1"
"P","MTK","G2","SD","BPN","PNS","LLW_1"
"P","MTK","G6","SMTA","PNS","PNS","LLW_1"
"P","MTK","G1","SMTA","LL","LL","LLW_1"
"L","MTK","G3","SRJN","GRD","GRD","LLW_1"
"P","MTK","G4","SMTA","LL","LL","LLW_1"
"P","MTK","G1","SD","LL","PDG","LLW_2"
"P","MTK","G3","SMTA","PDG","PNS","LLW_1"
"P","MTK","G3","SRJN","GRD","PSN","LLW_1"
"P","MTK","G4","SMP","LL","PS","LTW"
"L","MTK","G3","SRJN","GRD","GRD","LLW_2"
"P","MTK","G2","SRJN","GRD","LL","LLW_2"
"P","MTK","G1","SMTA","PDG","PS","LLW_1"
"L","MTK","G4","SRJN","GRD","PNS","LLW_1"
"P","MTK","G3","SRJN","GRD","GRD","LLW_1"
"P","MTK","G1","SD","PDG","BPN","LLW_1"
"L","MTK","G3","LL","BPN","BPN","LLW_1"
"P","MTK","G2","SRJN","GRD","GRD","LLW_1"
"P","MTK","G2","SD","LL","LL","LLW_1"
"L","MTK","G3","SRJN","GRD","PNS","LLW_1"
"L","MTK","G2","SD","LL","PDG","LLW_2"
"P","MTK","G1","SMP","LL","LL","LLW_1"
"P","MTK","G2","SRJN","LL","PDG","LLW_1"
"P","MTK","G3","SMTA","LL","PNS","LLW_1"
"P","MTK","G3","SMTA","GRD","PDG","LLW_1"
"P","MTK","G4","SMTA","PNS","LL","LLW_1"
"P","MTK","G1","SMP","BPN","BPN","LLW_1"
"P","MTK","G1","SMTA","PDG","LL","LLW_1"
"P","MTK","G3","SD","LL","PNS","LLW_1"
"P","MTK","G2","SMTA","LL","PS","LLW_1"
"P","MTK","G3","SMTA","LL","PNS","LLW_1"
"P","MTK","G3","SRJN","LL","GRD","LLW_1"
"L","MTK","G7","SRJN","LL","PS","LLW_1"
"P","MTK","G3","SMTA","LL","PSN","LLW_1"
"P","MTK","G3","SMTA","LL","PDG","LLW_1"
"L","MTK","G4","SMTA","LL","PS","LLW_1"
"P","MTK","G2","SD","BPN","BPN","LTW"
"P","MTK","G3","LL","LL","PDG","LLW_1"
"P","MTK","G1","LL","LL","LL","LLW_1"
"P","MTK","G2","SMTA","LL","PS","LTW"
"P","MTK","G2","SMP","BPN","BPN","LLW_2"
"P","MTK","G3","SMP","PDG","PDG","LLW_1"
"L","MTK","G2","SMTA","PDG","PDG","LLW_2"
"L","MTK","G1","SRJN","LL","LL","LLW_1"
"L","MTK","G1","SD","BPN","PDG","LLW_1"
"P","MTK","G3","SRJN","GRD","GRD","LLW_1"
"P","MTK","G4","SMTA","PS","PDG","LLW_2"
"P","MTK","G1","SD","LL","BPN","LLW_1"
"P","MTK","G2","SD","PDG","LL","LLW_1"
"L","MTK","G4","SRJN","PNS","PNS","LLW_2"
"P","MTK","G3","SMP","LL","BPN","LLW_1"
"P","MTK","G1","LL","BPN","BPN","LLW_1"
"P","MTK","G4","SD","LL","PDG","LTW"
"L","MTK","G3","SRJN","GRD","PS","LLW_1"
"P","MTK","G3","SMTA","LL","GRD","LTW"
"P","MTK","G3","SMTA","LL","GRD","LLW_1"
"P","MTK","G3","SMTA","LL","LL","LTW"
"P","MTK","G3","SMTA","LL","GRD","LLW_2"
"P","MTK","G4","SRJN","PNS","PNS","LLW_1"
"L","MTK","G3","SMTA","LL","PSN","LLW_2"
"P","MTK","G3","SMTA","LL","PS","LLW_1"
"P","MTK","G3","SMTA","PDG","PDG","LTW"
"P","MTK","G3","SMTA","LL","PSN","LLW_2"
"P","MTK","G3","SRJN","PNS","PNS","LTW"
"P","MTK","G1","SMP","PDG","BPN","LLW_2"
"P","MTK","G1","SMTA","LL","PS","LTW"
"L","MTK","G1","SD","BPN","BPN","LLW_1"
"P","MTK","G2","SMTA","LL","PDG","LTW"
"L","MTK","G3","SMTA","LL","GRD","LTW"
"P","MTK","G2","SMTA","PDG","PDG","LTW"
"P","MTK","G2","SD","LL","PSN","LLW_1"
"L","MTK","G3","SD","PDG","BPN","LLW_1"
"P","MTK","G1","SMTA","LL","LL","LLW_1"
