@relation data_uji_sosial_lulus_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","AKU","G4","SRJN","GRD","LL","LTW"
"P","AKU","G3","SMTA","LL","PNS","LTW"
"P","EKO","G2","SD","BPN","BPN","LTW"
"P","EKO","G3","SD","PDG","PDG","LTW"
"P","AKU","G4","SRJN","GRD","PNS","LTW"
"L","HUK","G5","SMTA","PDG","PDG","LTW"
"P","HUK","G4","SMTA","PDG","PDG","LTW"
"P","HUK","G3","SMP","PDG","PSN","LTW"
"L","EKO","G4","SRJN","PNS","PNS","LTW"
"P","HUK","G4","SRJN","GRD","LL","LTW"
"P","AKU","G2","SMTA","LL","BPN","LTW"
"P","EKO","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G5","SRJN","GRD","PSN","LTW"
"P","HUK","G3","SRJN","GRD","PNS","LTW"
"L","EKO","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G3","SRJN","PNS","PDG","LTW"
"P","HUK","G2","LL","LL","PDG","LTW"
"P","HUK","G2","SMP","PDG","PDG","LTW"
"L","HUK","G3","SRJN","LL","PNS","LTW"
"P","AKU","G4","SRJN","PDG","PNS","LTW"
"P","EKO","G3","SMTA","PDG","PDG","LTW"
"L","HUK","G2","LL","LL","LL","LTW"
"P","AKU","G3","SRJN","GRD","PS","LTW"
"L","HUK","G5","SMTA","GRD","PNS","LTW"
"P","AKU","G7","SRJN","PS","PDG","LTW"
"P","HUK","G3","SRJN","GRD","PNS","LTW"
"P","AKU","G3","SMTA","LL","PS","LTW"
"P","AKU","G2","SMP","PDG","LL","LTW"
"P","EKO","G3","SMTA","PDG","PDG","LTW"
"L","AKU","G3","SRJN","LL","PS","LTW"
"L","AKU","G4","SMTA","PSN","PSN","LTW"
"L","HUK","G3","SD","PDG","PSN","LTW"
"L","AKU","G4","SMTA","LL","PS","LTW"
"P","HUK","G5","SRJN","PS","PNS","LTW"
"P","EKO","G2","SD","LL","BPN","LTW"
"L","EKO","G4","SRJN","GRD","PSN","LTW"
"P","AKU","G4","SMTA","PDG","PDG","LTW"
"L","HUK","G4","SRJN","PNS","PNS","LTW"
"P","KOM","G7","SRJN","PNS","PS","LTW"
"P","KOM","G5","SRJN","PNS","PS","LTW"
"P","AKU","G3","SMP","PS","PDG","LTW"
"P","HUK","G4","SRJN","GRD","PNS","LTW"
"P","AKU","G3","SMTA","PDG","PS","LTW"
"P","HUK","G4","SMTA","LL","PNS","LTW"
"P","AKU","G4","SMTA","PDG","PS","LTW"
"P","EKO","G2","SMTA","PS","LL","LTW"
"P","AKU","G4","SRJN","GRD","GRD","LTW"
"P","AKU","G3","SD","PDG","PS","LTW"
"L","AKU","G4","SRJN","LL","PS","LTW"
"P","HUK","G4","SMTA","LL","PSN","LTW"
"P","AKU","G4","SRJN","PNS","PDG","LTW"
"P","EKO","G7","SRJN","GRD","GRD","LTW"
"L","HUK","G4","SRJN","PNS","PS","LTW"
"P","AKU","G3","SMTA","LL","PDG","LTW"
"L","EKO","G1","SD","BPN","BPN","LTW"
"L","HUK","G4","SMP","LL","GRD","LTW"
"L","HUK","G4","SRJN","PNS","LL","LTW"
"L","AKU","G1","SD","LL","LL","LTW"
"P","AKU","G4","SMTA","LL","PDG","LTW"
"L","HUK","G2","SMTA","PSN","LL","LTW"
"L","HUK","G6","SRJN","GRD","GRD","LTW"
"P","HUK","G5","SMTA","PDG","PNS","LTW"
"L","AKU","G4","SMP","BPN","GRD","LTW"
"P","AKU","G4","SMTA","PDG","PDG","LTW"
"P","EKO","G4","SMTA","PDG","GRD","LTW"
"L","EKO","G4","SMTA","LL","PDG","LTW"
"L","HUK","G4","SRJN","GRD","LL","LTW"
"P","HUK","G4","SRJN","GRD","LL","LTW"
"P","HUK","G3","SMTA","PDG","PDG","LTW"
"P","AKU","G7","SRJN","PS","PS","LTW"
"L","AKU","G3","SMTA","PDG","PDG","LTW"
"L","HUK","G4","SRJN","GRD","PSN","LTW"
"P","HUK","G5","SMTA","PDG","PNS","LTW"
"L","AKU","G4","SRJN","GRD","GRD","LTW"
"P","EKO","G4","SRJN","GRD","GRD","LTW"
"P","HUK","G3","SMTA","PDG","PS","LTW"
"P","AKU","G2","SD","LL","LL","LTW"
"L","KOM","G7","SRJN","PNS","PSN","LTW"
"L","EKO","G2","SMTA","LL","PS","LTW"
"L","EKO","G2","SMP","LL","PSN","LTW"
"P","KOM","G3","SRJN","PS","LL","LTW"
"P","AKU","G4","SMTA","PNS","PDG","LTW"
"L","HUK","G3","SD","PDG","PDG","LTW"
"P","AKU","G2","SMTA","PDG","PDG","LTW"
"P","HUK","G4","SRJN","PNS","PNS","LTW"
"L","AKU","G5","SRJN","PS","PS","LTW"
"L","KOM","G3","SMTA","PDG","PDG","LTW"
"P","AKU","G3","SMTA","LL","PNS","LTW"
"P","AKU","G3","SMTA","LL","PS","LTW"
"L","AKU","G5","SRJN","LL","LL","LTW"
"P","AKU","G3","SMTA","LL","GRD","LTW"
"P","HUK","G3","SMP","LL","LL","LTW"
"P","HUK","G2","SMTA","PS","PS","LTW"
"L","AKU","G4","SRJN","GRD","GRD","LTW"
"P","AKU","G3","SRJN","GRD","PNS","LTW"
"P","HUK","G3","SRJN","PDG","LL","LTW"
"P","HUK","G4","SMTA","LL","LL","LTW"
"P","EKO","G4","SMTA","PDG","GRD","LTW"
"P","HUK","G2","SD","LL","PS","LTW"
"P","HUK","G4","SRJN","GRD","PS","LTW"
"P","HUK","G3","SMTA","PSN","PSN","LTW"
"L","EKO","G7","LL","LL","PDG","LTW"
"P","EKO","G2","LL","PDG","BPN","LTW"
"P","HUK","G4","SMP","LL","PDG","LTW"
"P","HUK","G4","SRJN","PNS","PSN","LTW"
"P","AKU","G3","SMTA","GRD","LL","LTW"
"P","HUK","G3","SMTA","PDG","LL","LTW"
"P","HUK","G3","SMTA","PDG","PNS","LTW"
"P","AKU","G4","SRJN","PNS","PS","LTW"
"P","HUK","G4","SRJN","PNS","PS","LTW"
"P","EKO","G2","LL","PDG","BPN","LTW"
"L","HUK","G4","SRJN","GRD","PNS","LTW"
"P","HUK","G3","SMTA","LL","PS","LTW"
"P","EKO","G2","SMTA","LL","PDG","LTW"
"P","KOM","G2","SMP","LL","BPN","LTW"
"P","EKO","G3","SMTA","LL","PSN","LTW"
"L","AKU","G5","SRJN","GRD","PNS","LTW"
"L","EKO","G4","SMTA","LL","GRD","LTW"
"P","EKO","G4","SRJN","PNS","PNS","LTW"
"L","EKO","G3","SRJN","GRD","PSN","LTW"
"P","HUK","G3","SMTA","LL","PDG","LTW"
"P","AKU","G4","SRJN","LL","PS","LTW"
"P","EKO","G2","SD","LL","PDG","LTW"
"P","HUK","G1","SMP","LL","PDG","LTW"
"L","HUK","G4","SRJN","PDG","GRD","LTW"
"L","HUK","G3","SMTA","LL","PDG","LTW"
"P","AKU","G4","SRJN","GRD","PNS","LTW"
"L","EKO","G4","SRJN","PNS","PNS","LTW"
"L","AKU","G7","SRJN","LL","LL","LTW"
"P","AKU","G4","LL","PNS","PNS","LTW"
"L","HUK","G1","SMTA","LL","PSN","LTW"
"P","KOM","G4","SRJN","GRD","GRD","LTW"
"L","EKO","G3","SRJN","PDG","PS","LTW"
"P","EKO","G4","SRJN","GRD","PSN","LTW"
"L","EKO","G3","SRJN","PDG","PDG","LTW"
"P","EKO","G3","SRJN","LL","PS","LTW"
"P","AKU","G1","SMP","LL","BPN","LTW"
"P","HUK","G3","SRJN","LL","PNS","LTW"
"L","AKU","G3","SRJN","LL","PS","LTW"
"P","AKU","G2","SD","PDG","LL","LTW"
"P","AKU","G3","SRJN","GRD","GRD","LTW"
"P","HUK","G4","SRJN","PNS","PS","LTW"
"P","EKO","G3","SMP","LL","PSN","LTW"
"P","AKU","G1","SD","BPN","BPN","LTW"
"P","HUK","G3","SMTA","PDG","PS","LTW"
"P","EKO","G4","SRJN","GRD","PNS","LTW"
"P","EKO","G4","SMTA","LL","PNS","LTW"
"P","AKU","G4","SRJN","GRD","GRD","LTW"
"P","KOM","G4","SRJN","PDG","LL","LTW"
"P","AKU","G2","SD","BPN","BPN","LTW"
"P","EKO","G3","SMTA","LL","PDG","LTW"
"P","HUK","G1","SD","BPN","BPN","LTW"
"P","KOM","G6","SMTA","LL","PDG","LTW"
"P","EKO","G2","SMTA","LL","PS","LTW"
"P","AKU","G4","SRJN","PS","LL","LTW"
"P","EKO","G4","SMTA","GRD","LL","LTW"
"P","HUK","G4","SRJN","LL","PSN","LTW"
"P","HUK","G2","SMP","LL","PSN","LTW"
"P","EKO","G4","SRJN","LL","GRD","LTW"
"P","AKU","G3","SMTA","LL","PNS","LTW"
