@relation data_uji_sosial_lulus_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"L","KOM","G4","SRJN","GRD","GRD","LLW_2"
"L","KOM","G5","SMTA","PS","PS","LLW_2"
"L","HUK","G4","SRJN","LL","GRD","LLW_2"
"L","HUK","G2","SD","PDG","PDG","LLW_2"
"L","AKU","G4","SRJN","GRD","PNS","LLW_2"
"L","KOM","G4","SRJN","GRD","PNS","LLW_2"
"P","KOM","G3","SRJN","LL","GRD","LLW_2"
"L","HUK","G7","SRJN","LL","PDG","LLW_2"
"P","KOM","G3","SMTA","PDG","GRD","LLW_2"
"L","HUK","G6","SRJN","LL","PNS","LLW_2"
"L","HUK","G4","SRJN","PDG","GRD","LLW_2"
"L","EKO","G3","SMTA","LL","BPN","LLW_2"
"P","KOM","G4","SRJN","LL","LL","LLW_2"
"L","KOM","G2","SMTA","LL","PS","LLW_2"
"L","AKU","G4","SD","PDG","PDG","LLW_2"
"P","EKO","G3","SMTA","PSN","PSN","LLW_2"
"P","KOM","G3","SRJN","LL","GRD","LLW_2"
"P","KOM","G2","SD","LL","PS","LLW_2"
"L","KOM","G4","SRJN","PDG","GRD","LLW_2"
"L","EKO","G4","SRJN","GRD","GRD","LLW_2"
"L","HUK","G3","SMTA","LL","PNS","LLW_2"
"L","KOM","G2","SRJN","PS","PS","LLW_2"
"P","AKU","G4","SMTA","LL","PDG","LLW_2"
"L","HUK","G3","SRJN","PS","PS","LLW_2"
"L","AKU","G2","LL","PDG","BPN","LLW_2"
"P","KOM","G5","SRJN","GRD","PDG","LLW_2"
"P","EKO","G4","SD","PDG","PDG","LLW_2"
"L","KOM","G3","SRJN","LL","PDG","LLW_2"
"P","AKU","G3","SRJN","PNS","GRD","LLW_2"
"L","HUK","G4","SMTA","LL","LL","LLW_2"
"L","KOM","G5","SMTA","LL","PS","LLW_2"
"P","HUK","G2","SMP","LL","PSN","LLW_2"
"L","KOM","G7","SRJN","LL","PDG","LLW_2"
"L","HUK","G2","LL","PDG","LL","LLW_2"
"L","HUK","G3","SMTA","LL","GRD","LLW_2"
"L","HUK","G3","SMTA","LL","PNS","LLW_2"
"L","HUK","G3","SMTA","LL","LL","LLW_2"
"P","EKO","G2","SMP","PDG","PDG","LLW_2"
"P","KOM","G3","SMTA","PDG","PDG","LLW_2"
"L","KOM","G4","SMTA","LL","PSN","LLW_2"
"L","EKO","G4","SMP","PDG","PNS","LLW_2"
"L","EKO","G3","SMTA","LL","PNS","LLW_2"
"L","HUK","G4","SRJN","GRD","LL","LLW_2"
"P","KOM","G3","SMTA","PSN","PS","LLW_2"
"L","KOM","G2","SMTA","LL","BPN","LLW_2"
"L","AKU","G5","SMTA","LL","PS","LLW_2"
"L","KOM","G4","SRJN","GRD","LL","LLW_2"
"L","KOM","G3","SMP","LL","PS","LLW_2"
"L","KOM","G4","SRJN","GRD","PSN","LLW_2"
"P","KOM","G3","SRJN","GRD","PNS","LLW_2"
"P","KOM","G3","SRJN","LL","PDG","LLW_2"
"L","EKO","G5","SMTA","PS","PNS","LLW_2"
"P","HUK","G4","SRJN","PSN","PNS","LLW_2"
"L","KOM","G2","SRJN","GRD","PS","LLW_2"
"L","HUK","G2","SMTA","LL","PSN","LLW_2"
"P","EKO","G4","SMTA","PDG","PDG","LLW_2"
"P","HUK","G4","SMTA","LL","PDG","LLW_2"
"P","EKO","G3","SMTA","PSN","PSN","LLW_2"
"L","HUK","G5","SRJN","PNS","PNS","LLW_2"
"L","HUK","G4","SMTA","PNS","PNS","LLW_2"
"L","EKO","G1","SMP","LL","BPN","LLW_2"
"L","HUK","G4","SRJN","PS","PS","LLW_2"
"L","HUK","G3","SRJN","LL","PSN","LLW_2"
"L","AKU","G3","SRJN","PNS","PS","LLW_2"
"P","KOM","G4","SRJN","LL","PNS","LLW_2"
"P","EKO","G3","SMP","PS","PS","LC"
"P","KOM","G4","SRJN","GRD","GRD","LC"
"L","HUK","G4","SRJN","LL","PSN","LC"
"P","EKO","G7","SRJN","PS","GRD","LC"
"P","EKO","G4","LL","PNS","BPN","LC"
"P","HUK","G7","SRJN","LL","LL","LC"
"P","AKU","G2","SD","LL","BPN","LC"
"L","HUK","G4","SRJN","LL","PNS","LC"
"L","KOM","G5","SMTA","LL","PDG","LC"
"P","KOM","G7","SMTA","LL","PNS","LC"
"P","AKU","G4","SRJN","LL","PS","LC"
"L","AKU","G4","SRJN","LL","PNS","LC"
"P","KOM","G6","SRJN","LL","PS","LC"
"P","HUK","G3","SRJN","LL","PNS","LC"
"P","HUK","G4","SRJN","PDG","PSN","LC"
