,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
84,P,FISIKA,G3,SRJN,LL,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
85,L,FISIKA,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
86,L,FISIKA,G3,SRJN,GRD,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
87,P,FISIKA,G2,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
88,P,FISIKA,G1,SD,BPN,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
89,P,FISIKA,G2,LL,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
90,L,FISIKA,G2,SD,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
91,P,FISIKA,G3,SD,LL,PNS,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LTW
92,L,FISIKA,G2,LL,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
93,P,FISIKA,G2,SD,LL,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
94,L,FISIKA,G3,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
95,L,FISIKA,G2,SMTA,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
96,L,FISIKA,G1,LL,BPN,BPN,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
97,P,FISIKA,G3,SMTA,GRD,PSN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
98,P,FISIKA,G2,SRJN,GRD,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
99,P,FISIKA,G2,SRJN,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
100,P,FISIKA,G4,SMTA,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
101,P,FISIKA,G1,SD,LL,BPN,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
102,P,FISIKA,G2,SMTA,PDG,PSN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
103,P,FISIKA,G3,SMTA,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
104,P,FISIKA,G3,SMTA,PDG,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
105,P,FISIKA,G1,SD,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
106,P,FISIKA,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
107,L,FISIKA,G2,SD,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
108,P,FISIKA,G3,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LTW
109,P,FISIKA,G3,SRJN,PNS,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LTW
110,L,FISIKA,G2,SD,BPN,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
111,L,FISIKA,G2,LL,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
112,P,FISIKA,G2,SMTA,PDG,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
113,P,FISIKA,G3,SD,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
114,L,FISIKA,G2,LL,PDG,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
115,P,FISIKA,G1,SD,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
116,P,FISIKA,G3,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
117,L,FISIKA,G2,SMTA,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
118,L,FISIKA,G1,SD,BPN,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LTW
119,P,FISIKA,G1,SMP,LL,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
120,P,FISIKA,G2,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
