@relation data_uji_mipa_ipk_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"P","MTK","G2","SD","PDG","PDG","IPK_SM"
"P","FISIKA","G2","SMTA","PS","PSN","IPK_SM"
"L","FISIKA","G1","SD","LL","PDG","IPK_SM"
"L","BIO","G4","SRJN","PNS","PDG","IPK_SM"
"P","MTK","G2","SMTA","LL","PSN","IPK_SM"
"L","MTK","G2","SD","PDG","PDG","IPK_SM"
"L","BIO","G2","SMTA","GRD","GRD","IPK_SM"
"P","BIO","G3","SD","PDG","PDG","IPK_SM"
"L","IF","G4","SRJN","LL","GRD","IPK_SM"
"P","MTK","G5","SRJN","LL","PS","IPK_SM"
"P","BIO","G4","SRJN","PNS","PNS","IPK_SM"
"P","BIO","G2","SMP","PDG","PDG","IPK_SM"
"L","IF","G4","SMTA","LL","PSN","IPK_SM"
"L","BIO","G4","SRJN","GRD","PS","IPK_SM"
"P","MTK","G2","SMTA","PDG","PDG","IPK_SM"
"L","BIO","G3","SRJN","GRD","GRD","IPK_SM"
"P","FISIKA","G3","SMTA","LL","LL","IPK_SM"
"P","FISIKA","G3","SMTA","LL","PNS","IPK_SM"
"P","FISIKA","G2","SMTA","LL","BPN","IPK_SM"
"P","IF","G2","SMTA","LL","PDG","IPK_SM"
"P","FISIKA","G4","SMTA","PDG","GRD","IPK_SM"
"P","IF","G4","SRJN","GRD","PNS","IPK_SM"
"L","IF","G3","SMTA","PDG","PNS","IPK_SM"
"P","BIO","G3","SMP","LL","PNS","IPK_SM"
"P","MTK","G4","SRJN","PDG","PNS","IPK_SM"
"L","FISIKA","G5","SRJN","GRD","LL","IPK_SM"
"P","FISIKA","G3","SRJN","LL","GRD","IPK_SM"
"P","FISIKA","G1","SD","BPN","BPN","IPK_SM"
"L","MTK","G4","SRJN","GRD","GRD","IPK_SM"
"P","MTK","G2","SD","LL","LL","IPK_SM"
"L","MTK","G7","SRJN","GRD","GRD","IPK_SM"
"P","BIO","G2","SMTA","PDG","PDG","IPK_SM"
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"P","IF","G2","SD","LL","PNS","IPK_SM"
"P","BIO","G3","SMTA","LL","PS","IPK_SM"
"P","MTK","G3","SD","LL","PSN","IPK_SM"
"P","BIO","G1","SD","LL","PDG","IPK_SM"
"P","MTK","G3","SMTA","LL","PNS","IPK_SM"
"P","BIO","G3","SRJN","GRD","GRD","IPK_SM"
"P","MTK","G2","SMTA","LL","PDG","IPK_SM"
"L","FISIKA","G2","SMP","LL","BPN","IPK_SM"
"L","MTK","G4","SRJN","PNS","GRD","IPK_SM"
"P","BIO","G3","SRJN","PDG","LL","IPK_SM"
"P","MTK","G3","LL","LL","PDG","IPK_SM"
"L","MTK","G3","SRJN","PDG","PNS","IPK_SM"
"P","BIO","G2","SMP","BPN","PSN","IPK_SM"
"P","BIO","G4","SRJN","GRD","GRD","IPK_SM"
"P","BIO","G2","SMTA","GRD","BPN","IPK_SM"
"L","MTK","G2","LL","LL","PDG","IPK_SM"
"P","MTK","G3","SMP","PS","PNS","IPK_SM"
"P","MTK","G7","SRJN","PS","PS","IPK_SM"
"P","IF","G2","SRJN","LL","PS","IPK_SM"
"P","BIO","G3","SRJN","PDG","GRD","IPK_SM"
"P","BIO","G3","SMP","LL","PS","IPK_SM"
"L","IF","G3","SMTA","LL","BPN","IPK_SM"
"L","IF","G4","SMTA","LL","PDG","IPK_SM"
"P","FISIKA","G4","SMTA","PDG","PNS","IPK_SM"
"P","BIO","G1","SD","LL","PS","IPK_SM"
"P","BIO","G2","SMTA","LL","PDG","IPK_SM"
"P","FISIKA","G4","SMTA","LL","PDG","IPK_SM"
"P","MTK","G2","SMTA","LL","BPN","IPK_SM"
"P","FISIKA","G2","SD","BPN","PDG","IPK_SM"
"P","MTK","G3","SRJN","PNS","PNS","IPK_SM"
"L","MTK","G3","SMP","BPN","PS","IPK_SM"
"L","MTK","G7","SRJN","LL","PS","IPK_SM"
"P","MTK","G4","LL","LL","GRD","IPK_SM"
"P","BIO","G4","SRJN","GRD","BPN","IPK_SM"
"P","BIO","G3","SMP","PDG","PS","IPK_SM"
"P","MTK","G2","SD","LL","BPN","IPK_SM"
"L","BIO","G3","SMTA","PNS","PNS","IPK_SM"
"P","FISIKA","G3","SMTA","GRD","BPN","IPK_SM"
"P","MTK","G3","SRJN","PDG","PDG","IPK_SM"
"P","BIO","G2","SMP","LL","PS","IPK_SM"
"P","MTK","G3","SRJN","GRD","PSN","IPK_SM"
"L","BIO","G3","SRJN","GRD","PDG","IPK_SM"
"L","IF","G5","SRJN","GRD","GRD","IPK_SM"
"P","BIO","G1","LL","BPN","BPN","IPK_SM"
"P","FISIKA","G3","SRJN","GRD","GRD","IPK_SM"
"P","FISIKA","G4","SRJN","GRD","PS","IPK_SM"
"L","FISIKA","G3","SD","BPN","GRD","IPK_SM"
"L","MTK","G3","SRJN","PDG","PNS","IPK_SM"
"P","MTK","G3","SRJN","GRD","PDG","IPK_SM"
"P","BIO","G6","SMTA","LL","PS","IPK_SM"
"P","BIO","G5","SRJN","PS","PSN","IPK_SM"
"L","IF","G1","SD","BPN","BPN","IPK_SM"
"P","MTK","G3","SMTA","PDG","PNS","IPK_SM"
"P","MTK","G3","SMTA","LL","GRD","IPK_SM"
"P","IF","G1","LL","LL","BPN","IPK_SM"
"P","FISIKA","G3","SMTA","LL","PDG","IPK_SM"
"P","FISIKA","G3","SMTA","LL","PDG","IPK_SM"
"P","BIO","G4","SMTA","LL","LL","IPK_SM"
"P","MTK","G4","SMTA","LL","GRD","IPK_SM"
"L","IF","G3","SMTA","LL","GRD","IPK_SM"
"P","BIO","G2","SMTA","GRD","BPN","IPK_SM"
"P","BIO","G3","SD","PDG","PDG","IPK_SM"
"P","FISIKA","G3","SRJN","GRD","PSN","IPK_SM"
"P","BIO","G2","SMP","PDG","PNS","IPK_M"
"P","MTK","G1","SD","PDG","BPN","IPK_M"
"P","MTK","G5","SMTA","PDG","PDG","IPK_M"
"P","FISIKA","G1","SRJN","LL","PDG","IPK_M"
"P","MTK","G3","SMTA","LL","GRD","IPK_M"
"P","FISIKA","G3","SMTA","LL","PDG","IPK_M"
"P","FISIKA","G3","SMP","PDG","PDG","IPK_M"
"P","FISIKA","G2","SD","BPN","BPN","IPK_M"
"P","MTK","G4","SMTA","PNS","GRD","IPK_M"
"L","MTK","G2","SD","PS","PS","IPK_M"
"P","MTK","G4","SRJN","GRD","PDG","IPK_M"
"P","FISIKA","G2","SMTA","LL","GRD","IPK_M"
"L","BIO","G2","SMTA","LL","BPN","IPK_M"
"P","BIO","G2","SD","LL","PDG","IPK_M"
"P","MTK","G1","SMP","PS","PS","IPK_M"
"L","FISIKA","G4","SRJN","GRD","PNS","IPK_M"
"L","FISIKA","G2","LL","PDG","PDG","IPK_M"
"L","FISIKA","G3","SMTA","LL","PNS","IPK_M"
"P","FISIKA","G3","SMTA","PDG","PNS","IPK_M"
"P","MTK","G4","SMTA","LL","PNS","IPK_M"
"P","FISIKA","G1","SD","LL","PDG","IPK_M"
"P","BIO","G1","SMP","LL","PDG","IPK_M"
"L","IF","G5","SMTA","LL","PDG","IPK_M"
"L","BIO","G2","SMTA","PDG","PSN","IPK_M"
"L","FISIKA","G1","SMTA","LL","PDG","IPK_M"
"L","MTK","G2","SD","BPN","BPN","IPK_M"
"L","BIO","G5","SRJN","GRD","PNS","IPK_M"
"P","FISIKA","G1","SD","LL","LL","IPK_M"
"P","FISIKA","G3","LL","GRD","PNS","IPK_M"
"P","FISIKA","G3","SMTA","PDG","PDG","IPK_M"
"L","MTK","G4","SD","PDG","PNS","IPK_M"
"P","MTK","G3","SRJN","PDG","GRD","IPK_M"
"L","FISIKA","G3","SMP","BPN","BPN","IPK_M"
"P","MTK","G3","SRJN","GRD","GRD","IPK_M"
"P","MTK","G4","SRJN","GRD","PDG","IPK_M"
"L","FISIKA","G2","SMTA","BPN","BPN","IPK_M"
"P","MTK","G2","SMTA","BPN","BPN","IPK_M"
"P","MTK","G2","SMP","LL","PSN","IPK_M"
"P","FISIKA","G4","SMTA","LL","PNS","IPK_M"
"P","FISIKA","G4","SMTA","PDG","GRD","IPK_M"
"L","FISIKA","G2","SMP","LL","PSN","IPK_M"
"P","FISIKA","G4","SMTA","LL","PNS","IPK_M"
"L","FISIKA","G3","SMTA","LL","PNS","IPK_M"
"P","MTK","G2","SMTA","LL","PNS","IPK_M"
"P","FISIKA","G1","SMP","LL","LL","IPK_M"
"L","IF","G7","SMTA","PDG","PDG","IPK_M"
"P","MTK","G5","SMTA","PDG","PNS","IPK_M"
"L","IF","G3","SMTA","PNS","PDG","IPK_M"
"L","FISIKA","G2","SD","LL","PS","IPK_M"
"P","MTK","G3","SMTA","LL","PNS","IPK_M"
"P","FISIKA","G3","SD","LL","GRD","IPK_M"
"L","BIO","G3","SD","LL","PDG","IPK_M"
"P","BIO","G4","SMTA","LL","LL","IPK_M"
"P","FISIKA","G3","SRJN","GRD","GRD","IPK_M"
"L","IF","G3","LL","LL","LL","IPK_M"
"P","FISIKA","G2","SMTA","PDG","PS","IPK_M"
"L","MTK","G2","SMTA","LL","PDG","IPK_M"
"L","FISIKA","G4","SRJN","GRD","PNS","IPK_M"
"L","FISIKA","G1","LL","PDG","PDG","IPK_M"
"P","BIO","G3","SRJN","GRD","LL","IPK_M"
"L","MTK","G3","SRJN","GRD","PDG","IPK_M"
"L","BIO","G3","SRJN","LL","PDG","IPK_M"
"P","MTK","G4","SRJN","GRD","PNS","IPK_M"
"P","MTK","G3","SMTA","LL","LL","IPK_M"
"P","FISIKA","G3","SD","PDG","PS","IPK_M"
"L","MTK","G3","SRJN","LL","PSN","IPK_M"
"P","BIO","G3","SMTA","LL","PSN","IPK_M"
"P","FISIKA","G1","SMP","PDG","PDG","IPK_M"
"L","FISIKA","G3","SMTA","LL","GRD","IPK_M"
"P","BIO","G3","SRJN","GRD","PNS","IPK_M"
"P","MTK","G3","SMTA","PDG","PDG","IPK_M"
"P","IF","G4","SRJN","LL","PDG","IPK_M"
"P","FISIKA","G2","SMP","LL","PS","IPK_M"
"L","FISIKA","G1","SMP","BPN","PSN","IPK_CUM"
"L","FISIKA","G3","SMTA","PDG","PDG","IPK_CUM"
"P","BIO","G4","SRJN","PNS","PDG","IPK_CUM"
"P","BIO","G2","SMTA","LL","PS","IPK_CUM"
"P","FISIKA","G3","SRJN","PNS","GRD","IPK_CUM"
"P","MTK","G3","SRJN","GRD","GRD","IPK_CUM"
"P","BIO","G4","SRJN","GRD","PS","IPK_CUM"
"P","MTK","G3","SMTA","PDG","PDG","IPK_CUM"
"P","BIO","G2","SMTA","PDG","PDG","IPK_CUM"
"P","BIO","G1","LL","LL","BPN","IPK_CUM"
"P","BIO","G3","SMTA","LL","PNS","IPK_CUM"
"P","IF","G4","SRJN","PNS","PS","IPK_CUM"
"P","IF","G3","SMTA","LL","GRD","IPK_CUM"
"P","IF","G3","SMTA","LL","PS","IPK_CUM"
"L","BIO","G3","SMP","PDG","PDG","IPK_CUM"
"P","BIO","G4","SRJN","GRD","LL","IPK_CUM"
"P","IF","G4","SRJN","PNS","PNS","IPK_CUM"
"P","FISIKA","G3","SRJN","GRD","BPN","IPK_CUM"
"L","IF","G3","SRJN","GRD","BPN","IPK_CUM"
"P","IF","G5","SRJN","PNS","PS","IPK_CUM"
"P","IF","G3","SRJN","GRD","PSN","IPK_CUM"
"P","IF","G2","SMP","LL","PDG","IPK_CUM"
"P","IF","G4","SMTA","GRD","GRD","IPK_CUM"
"P","IF","G4","SRJN","PNS","PNS","IPK_CUM"
"L","IF","G3","SMTA","PS","PDG","IPK_CUM"
"P","BIO","G4","SRJN","GRD","GRD","IPK_CUM"
"P","BIO","G2","SMTA","LL","LL","IPK_CUM"
"L","IF","G4","SRJN","GRD","GRD","IPK_CUM"
"P","BIO","G3","SMP","LL","PSN","IPK_CUM"
"P","BIO","G4","SRJN","GRD","GRD","IPK_CUM"
"P","BIO","G3","SRJN","PNS","LL","IPK_CUM"
"L","IF","G3","SRJN","LL","PS","IPK_CUM"
"P","MTK","G2","SD","LL","PS","IPK_CUM"
"P","FISIKA","G2","SMP","BPN","BPN","IPK_CUM"
"P","MTK","G4","SMTA","LL","GRD","IPK_CUM"
"P","BIO","G3","SMP","LL","BPN","IPK_CUM"
"L","IF","G4","SMTA","LL","PDG","IPK_CUM"
"L","MTK","G3","SD","LL","GRD","IPK_CUM"
"P","IF","G3","SD","PDG","PDG","IPK_CUM"
"P","BIO","G3","SRJN","PNS","LL","IPK_CUM"
"P","BIO","G3","SRJN","LL","PDG","IPK_CUM"
"P","BIO","G4","SRJN","GRD","GRD","IPK_CUM"
"P","BIO","G1","SD","BPN","BPN","IPK_CUM"
"P","BIO","G3","SMTA","LL","GRD","IPK_CUM"
"P","BIO","G2","SMP","LL","PDG","IPK_CUM"
"P","IF","G3","SMP","LL","PSN","IPK_CUM"
"L","IF","G3","SD","LL","PSN","IPK_CUM"
"P","IF","G4","SRJN","GRD","GRD","IPK_CUM"
"P","BIO","G2","SMTA","PDG","PDG","IPK_CUM"
"P","FISIKA","G2","LL","BPN","BPN","IPK_KM"
"L","IF","G5","SMTA","PDG","PDG","IPK_KM"
"P","MTK","G4","SRJN","GRD","GRD","IPK_KM"
"P","FISIKA","G2","SRJN","GRD","PNS","IPK_KM"
"P","FISIKA","G1","SD","PDG","PDG","IPK_KM"
"P","MTK","G2","SMP","BPN","BPN","IPK_KM"
"L","BIO","G4","SD","LL","PDG","IPK_KM"
"L","IF","G2","SMTA","PDG","PDG","IPK_KM"
"P","FISIKA","G2","SRJN","PDG","PS","IPK_KM"
"P","FISIKA","G4","SRJN","GRD","PNS","IPK_KM"
"L","FISIKA","G3","SRJN","PDG","PSN","IPK_KM"
"P","FISIKA","G2","SMTA","LL","PDG","IPK_KM"
"P","MTK","G3","SRJN","PNS","PSN","IPK_KM"
"L","IF","G3","SRJN","PNS","PNS","IPK_KM"
"P","FISIKA","G3","SD","PDG","PDG","IPK_KM"
"L","MTK","G3","SD","BPN","BPN","IPK_KM"
"L","FISIKA","G3","SMTA","LL","PS","IPK_KM"
"P","MTK","G4","SMTA","PS","PDG","IPK_KM"
"P","FISIKA","G2","SD","LL","LL","IPK_KM"
"L","BIO","G3","SRJN","GRD","PNS","IPK_KM"
"P","MTK","G3","SD","PDG","PDG","IPK_KM"
"P","FISIKA","G3","SD","PDG","PDG","IPK_KM"
"L","FISIKA","G4","SMTA","PDG","PS","IPK_KM"
