,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
5351,L,HUK,G6,SRJN,PNS,GRD,IPS1_CUM,IPS2_SM,IPK_SM-LLW
5374,P,HUK,G3,SMTA,LL,GRD,IPS1_KM,IPS2_KM,IPK_SM-LLW
2064,P,EKO,G2,SMTA,LL,PSN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
6161,L,HUK,G4,SRJN,PNS,GRD,IPS1_M,IPS2_KM,IPK_SM-LLW
2186,L,EKO,G4,SMTA,PNS,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
3100,L,KOM,G2,SD,LL,PDG,IPS1_M,IPS2_M,IPK_M-LLW
3228,P,KOM,G2,SMTA,LL,PDG,IPS1_M,IPS2_SM,IPK_KM-LLW
1911,L,EKO,G3,SD,LL,PDG,IPS1_SM,IPS2_M,IPK_KM-LLW
6293,P,HUK,G4,SMP,PDG,GRD,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
848,P,AKU,G4,SRJN,PS,PS,IPS1_M,IPS2_M,IPK_SM-LLW
2199,P,EKO,G4,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
3297,L,KOM,G4,SRJN,PDG,GRD,IPS1_SM,IPS2_SM,IPK_KM-LLW
6086,L,HUK,G3,SRJN,PSN,PSN,IPS1_KM,IPS2_KM,IPK_SM-LLW
5635,L,HUK,G3,SRJN,GRD,GRD,IPS1_M,IPS2_SM,IPK_SM-LLW
3445,P,KOM,G2,SMTA,PSN,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
5577,P,HUK,G4,SRJN,GRD,GRD,IPS1_M,IPS2_KM,IPK_SM-LTW
5709,P,HUK,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_M,IPK_CUM-LTW
3275,P,KOM,G3,SRJN,GRD,PSN,IPS1_SM,IPS2_CUM,IPK_SM-LLW
3151,P,KOM,G3,SMP,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LLW
6334,L,HUK,G4,SRJN,GRD,ABRI,IPS1_KM,IPS2_KM,IPK_SM-LLW
1195,P,AKU,G4,SRJN,LL,GRD,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
5839,P,HUK,G4,SRJN,PNS,ABRI,IPS1_M,IPS2_KM,IPK_M-LTW
6074,P,HUK,G3,SRJN,LL,PNS,IPS1_KM,IPS2_KM,IPK_SM-LTW
727,P,AKU,G6,SMTA,LL,PNS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
5787,L,HUK,G5,SMTA,LL,PS,IPS1_M,IPS2_KM,IPK_SM-LLW
5849,P,HUK,G4,SMTA,LL,PSN,IPS1_M,IPS2_KM,IPK_SM-LLW
3271,P,KOM,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LLW
2004,L,EKO,G5,SRJN,PDG,PNS,IPS1_SM,IPS2_M,IPK_SM-LLW
681,P,AKU,G2,SMTA,PDG,LL,IPS1_M,IPS2_M,IPK_KM-LLW
1773,L,EKO,G3,SMP,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LLW
5718,P,HUK,G4,SMTA,PS,PS,IPS1_SM,IPS2_M,IPK_CUM-LTW
903,P,AKU,G3,SRJN,LL,PS,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
5957,L,HUK,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,IPK_SM-LLW
1804,L,EKO,G1,SMTA,PDG,PDG,IPS1_KM,IPS2_KM,IPK_KM-LLW
3135,P,KOM,G3,SRJN,PNS,GRD,IPS1_SM,IPS2_M,IPK_SM-LLW
2020,P,EKO,G3,SMTA,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LTW
3334,P,KOM,G4,SMTA,LL,PNS,IPS1_SM,IPS2_CUM,IPK_SM-LTW
827,P,AKU,G3,SD,PDG,PS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
2284,P,EKO,G3,SMTA,GRD,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
3371,P,KOM,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_KM-LLW
6336,L,HUK,G5,SRJN,PDG,PDG,IPS1_KM,IPS2_KM,IPK_M-LLW
5387,P,HUK,G3,SRJN,PDG,PDG,IPS1_KM,IPS2_SM,IPK_SM-LTW
854,P,AKU,G1,SMTA,LL,PSN,IPS1_CUM,IPS2_SM,IPK_KM-LLW
2309,P,EKO,G5,LL,PSN,GRD,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
724,L,AKU,G3,SMP,LL,PSN,IPS1_SM,IPS2_M,IPK_SM-LLW
1132,L,AKU,G4,SMTA,LL,PDG,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
6394,P,HUK,G3,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LTW
2109,L,EKO,G3,SRJN,GRD,PSN,IPS1_SM,IPS2_SM,IPK_CUM-LTW
5636,P,HUK,G2,SMTA,LL,PS,IPS1_KM,IPS2_KM,IPK_SM-LLW
5680,L,HUK,G6,SMTA,LL,PS,IPS1_KM,IPS2_M,IPK_M-LLW
2283,P,EKO,G3,SD,PDG,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
3222,P,KOM,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_SM-LLW
6389,P,HUK,G3,SMTA,PDG,PSN,IPS1_M,IPS2_CUM,IPK_SM-LTW
3326,P,KOM,G4,SRJN,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
717,P,AKU,G4,SRJN,GRD,LL,IPS1_SM,IPS2_SM,IPK_SM-LTW
6148,P,HUK,G4,SRJN,PS,GRD,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
5743,L,HUK,G6,SRJN,LL,PNS,IPS1_KM,IPS2_KM,IPK_SM-LLW
725,P,AKU,G4,SRJN,LL,PS,IPS1_SM,IPS2_M,IPK_SM-LTW
2086,L,EKO,G4,SRJN,GRD,PSN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
5461,P,HUK,G3,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
1050,P,AKU,G4,SRJN,GRD,LL,IPS1_CUM,IPS2_CUM,IPK_CUM-LC
6333,P,HUK,G4,SMTA,LL,PNS,IPS1_SM,IPS2_SM,IPK_CUM-LTW
3140,P,KOM,G4,SRJN,LL,PS,IPS1_SM,IPS2_M,IPK_SM-LLW
2084,P,EKO,G4,SRJN,PNS,PS,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
