,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,STATUS_LULUS
94,P,FISIKA,G2,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
95,P,FISIKA,G1,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
96,P,FISIKA,G2,LL,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
97,L,FISIKA,G2,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
98,P,FISIKA,G3,SD,LL,PNS,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
99,L,FISIKA,G2,LL,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
100,P,FISIKA,G2,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
101,L,FISIKA,G3,SRJN,GRD,PSN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
102,L,FISIKA,G2,SMTA,PDG,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
103,L,FISIKA,G1,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
104,P,FISIKA,G3,SMTA,GRD,PSN,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
105,P,FISIKA,G2,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
106,P,FISIKA,G2,SRJN,PDG,PDG,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_1
107,P,FISIKA,G4,SMTA,PDG,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
108,P,FISIKA,G2,SRJN,GRD,PDG,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_1
109,P,FISIKA,G4,SRJN,GRD,PNS,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LLW_1
110,P,FISIKA,G1,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LLW_1
111,P,FISIKA,G2,SMTA,PDG,PSN,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LLW_1
112,P,FISIKA,G3,SMTA,GRD,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
113,P,FISIKA,G1,SD,LL,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
114,L,FISIKA,G2,SD,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LLW_2
115,P,FISIKA,G3,SMTA,LL,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LTW
116,P,FISIKA,G3,SRJN,PNS,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,LTW
117,L,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LTW
118,L,FISIKA,G2,LL,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LLW_1
119,L,FISIKA,G3,SRJN,PDG,LL,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_2
120,P,FISIKA,G3,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
121,L,FISIKA,G3,SD,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_KM,LLW_2
122,P,FISIKA,G1,SD,LL,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LLW_1
123,P,FISIKA,G3,SMTA,LL,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
124,P,FISIKA,G1,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
125,L,FISIKA,G2,SMTA,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
126,P,FISIKA,G1,SMP,LL,LL,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
127,P,FISIKA,G2,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
128,L,FISIKA,G1,SMTA,LL,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
129,P,FISIKA,G3,SMTA,LL,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LLW_1
130,P,FISIKA,G3,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
131,L,FISIKA,G4,SRJN,GRD,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
132,P,FISIKA,G3,SMTA,PS,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
133,L,FISIKA,G2,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
134,P,FISIKA,G1,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
135,L,FISIKA,G2,SRJN,GRD,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
136,P,FISIKA,G1,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
137,P,FISIKA,G4,SMP,BPN,GRD,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_1
138,P,FISIKA,G2,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LTW
139,P,FISIKA,G1,SMP,LL,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
140,L,FISIKA,G4,SRJN,GRD,LL,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,LTW
141,P,FISIKA,G4,SRJN,PDG,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LTW
142,P,FISIKA,G1,SMTA,PDG,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
143,L,FISIKA,G2,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
144,L,FISIKA,G3,SMTA,PSN,PSN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
145,P,FISIKA,G4,SMTA,LL,PNS,SKS1_B,SKS2_C,IPS1_KM,IPS2_KM,LLW_1
146,L,FISIKA,G2,SMP,PDG,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
147,P,FISIKA,G2,SD,LL,PS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
148,L,FISIKA,G4,SMTA,LL,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
149,P,FISIKA,G2,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
150,P,FISIKA,G4,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_KM,LLW_1
151,L,FISIKA,G3,SMP,LL,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
152,P,FISIKA,G1,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
153,P,FISIKA,G5,SRJN,LL,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
154,P,FISIKA,G1,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
155,L,FISIKA,G3,LL,BPN,PNS,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
156,P,FISIKA,G1,SRJN,LL,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
157,L,FISIKA,G2,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
158,P,FISIKA,G2,SMTA,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,LTW
159,L,FISIKA,G2,LL,BPN,BPN,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
160,P,FISIKA,G2,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LTW
161,L,FISIKA,G2,SMP,PDG,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LTW
162,P,FISIKA,G3,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
163,L,FISIKA,G3,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_M,LTW
164,L,FISIKA,G5,SRJN,GRD,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
165,P,FISIKA,G2,SMTA,PDG,PSN,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LLW_1
166,P,FISIKA,G3,SRJN,GRD,PSN,SKS1_B,SKS2_B,IPS1_M,IPS2_M,LLW_1
