,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
131,L,AKU,G4,SRJN,PS,LL,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,IPK_CUM
132,L,AKU,G4,SMTA,PSN,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_C,IPK_SM
133,P,AKU,G4,SD,PDG,PS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
134,P,AKU,G3,SMTA,LL,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
135,P,AKU,G4,SRJN,PDG,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
136,P,AKU,G3,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
137,P,AKU,G4,SRJN,PS,PNS,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
138,P,AKU,G2,SMTA,LL,LL,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
139,P,AKU,G2,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_SM
140,P,AKU,G4,SRJN,PNS,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
141,P,AKU,G3,SRJN,LL,PS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
142,P,AKU,G4,SRJN,LL,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
143,L,AKU,G3,SRJN,GRD,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
144,P,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
145,L,AKU,G2,SMP,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
146,P,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,IPK_SM
147,L,AKU,G4,SRJN,PS,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,IPK_SM
148,P,AKU,G2,SMP,BPN,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
149,P,AKU,G3,SRJN,GRD,PS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,IPK_CUM
150,L,AKU,G3,SRJN,PSN,PSN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_CUM
