,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,IPK_TERAKHIR
3117,P,KOM,G3,SD,LL,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
5750,L,HUK,G4,SRJN,GRD,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,IPK_SM
2024,P,EKO,G4,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
999,P,AKU,G4,SMTA,LL,LL,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,IPK_SM
6279,L,HUK,G3,SMTA,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
741,P,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
1827,L,EKO,G3,SMTA,PSN,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
6135,P,HUK,G3,SMP,PDG,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
3463,P,KOM,G3,SMTA,LL,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,IPK_SM
3149,L,KOM,G4,SD,PDG,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
3206,P,KOM,G3,SMP,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_KM
5537,L,HUK,G3,SRJN,LL,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,IPK_SM
6084,L,HUK,G6,SRJN,PNS,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
5530,L,HUK,G4,SRJN,LL,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_K,IPK_SM
2189,L,EKO,G4,SMTA,LL,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_SM
698,P,AKU,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
1953,L,EKO,G2,SMTA,LL,PDG,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,IPK_SM
5450,P,HUK,G3,SRJN,GRD,PSN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,IPK_SM
6282,P,HUK,G4,SMTA,GRD,PNS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,IPK_CUM
5559,P,HUK,G4,SRJN,PNS,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,IPK_M
1162,L,AKU,G3,SRJN,PDG,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,IPK_CUM
