,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
772,P,KOM,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
773,L,KOM,G2,SMTA,GRD,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
774,P,KOM,G3,SMTA,LL,PSN,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
775,L,KOM,G3,SMTA,LL,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
776,L,KOM,G3,SMTA,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
777,L,KOM,G3,SMTA,PDG,PDG,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LLW
778,P,KOM,G2,SRJN,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
779,L,KOM,G4,SMTA,PDG,PNS,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_C,LLW
780,P,KOM,G4,SMTA,PNS,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
781,P,KOM,G3,SD,LL,PDG,IPS1_KM,IPS2_SM,SKS1_SB,SKS2_B,LLW
782,L,KOM,G6,SRJN,LL,LL,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
783,P,KOM,G2,SMP,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
784,P,KOM,G3,SMP,LL,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
785,L,KOM,G3,SD,LL,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
786,L,KOM,G2,SMTA,GRD,BPN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
787,P,KOM,G5,SRJN,PNS,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
788,P,KOM,G3,SMP,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
789,L,KOM,G2,SD,LL,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
790,P,KOM,G3,SRJN,PNS,GRD,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
791,L,KOM,G4,SRJN,GRD,LL,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
792,L,KOM,G3,SMTA,LL,PSN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
793,L,KOM,G2,SMP,LL,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
794,L,KOM,G7,SRJN,PNS,PSN,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
