@relation data_mipa_ipk_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"P","FISIKA","G2","SRJN","PDG","PDG","IPK_KM"
"P","FISIKA","G4","SMTA","PDG","GRD","IPK_M"
"P","FISIKA","G2","SRJN","GRD","PDG","IPK_M"
"P","FISIKA","G4","SRJN","GRD","PNS","IPK_M"
"P","FISIKA","G1","SD","LL","BPN","IPK_SM"
"P","FISIKA","G2","SMTA","PDG","PSN","IPK_SM"
"P","FISIKA","G3","SMTA","GRD","PNS","IPK_M"
"P","FISIKA","G3","SMTA","PDG","PSN","IPK_SM"
"L","FISIKA","G3","SRJN","GRD","GRD","IPK_SM"
"L","FISIKA","G2","SD","BPN","PDG","IPK_SM"
"L","FISIKA","G2","LL","PDG","PDG","IPK_SM"
"L","FISIKA","G3","SRJN","PDG","LL","IPK_KM"
"P","FISIKA","G2","SMTA","PDG","LL","IPK_SM"
"P","FISIKA","G3","SD","PDG","PDG","IPK_M"
"L","FISIKA","G2","LL","PDG","BPN","IPK_KM"
"L","FISIKA","G3","SD","LL","PS","IPK_SM"
"P","FISIKA","G1","SD","LL","PDG","IPK_SM"
"P","FISIKA","G3","SMTA","LL","PDG","IPK_M"
