,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,IPK_TERAKHIR
28,P,AKU,G2,SD,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
29,P,AKU,G3,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
30,L,AKU,G4,SMTA,PS,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
31,P,AKU,G4,SMTA,PNS,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_SM
32,P,AKU,G3,SMP,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
33,P,AKU,G5,SMTA,LL,PS,SKS1_SB,SKS2_SB,IPS1_M,IPS2_KM,IPK_SM
34,P,AKU,G2,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
35,L,AKU,G3,SRJN,PSN,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,IPK_SM
36,L,AKU,G4,SRJN,LL,PNS,SKS1_SB,SKS2_B,IPS1_SM,IPS2_M,IPK_SM
37,P,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
38,L,AKU,G4,SRJN,LL,PS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
39,L,AKU,G3,SMTA,PS,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_M,IPK_SM
40,L,AKU,G2,SMTA,LL,PSN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_M,IPK_SM
41,L,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,IPK_SM
42,L,AKU,G3,SMP,LL,PSN,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_M,IPK_SM
43,P,AKU,G4,SRJN,LL,PS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_M,IPK_SM
44,L,AKU,G3,SMP,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
45,P,AKU,G6,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
46,P,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
47,P,AKU,G4,SMTA,LL,PS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
48,P,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
49,P,AKU,G3,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
50,P,AKU,G2,SD,PDG,PDG,SKS1_SB,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
51,L,AKU,G3,SMTA,LL,PSN,SKS1_SB,SKS2_B,IPS1_SM,IPS2_KM,IPK_M
52,P,AKU,G3,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
53,P,AKU,G3,SRJN,PNS,GRD,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_SM
54,P,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
55,L,AKU,G4,SRJN,GRD,BPN,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
56,L,AKU,G7,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_KM
57,P,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,IPK_SM
58,L,AKU,G4,SMTA,PNS,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_KM
59,P,AKU,G3,SRJN,PSN,PNS,SKS1_SB,SKS2_SB,IPS1_M,IPS2_M,IPK_SM
60,L,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
61,L,AKU,G4,SD,PDG,PDG,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,IPK_SM
62,P,AKU,G4,SRJN,PNS,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_M,IPK_SM
63,L,AKU,G5,SRJN,PNS,PNS,SKS1_SB,SKS2_B,IPS1_M,IPS2_KM,IPK_SM
64,P,AKU,G4,SRJN,PNS,PNS,SKS1_SB,SKS2_B,IPS1_CUM,IPS2_SM,IPK_SM
65,P,AKU,G4,SMTA,PS,LL,SKS1_SB,SKS2_B,IPS1_SM,IPS2_KM,IPK_SM
66,L,AKU,G7,SMTA,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,IPK_SM
67,L,AKU,G5,SRJN,LL,LL,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,IPK_SM
68,P,AKU,G7,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,IPK_SM
69,P,AKU,G4,SMTA,PDG,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,IPK_SM
70,P,AKU,G3,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
71,L,AKU,G4,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,IPK_SM
72,P,AKU,G4,SMTA,LL,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_SM
73,P,AKU,G5,SRJN,PDG,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_CUM,IPK_SM
74,L,AKU,G3,SMP,PDG,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_KM,IPK_SM
75,P,AKU,G5,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
76,L,AKU,G4,SMTA,LL,PSN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_SM
77,L,AKU,G6,SMTA,PS,PNS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,IPK_SM
78,L,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
79,L,AKU,G4,SRJN,PDG,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
80,P,AKU,G3,SMTA,LL,GRD,SKS1_SB,SKS2_K,IPS1_KM,IPS2_CUM,IPK_CUM
81,P,AKU,G4,SMTA,LL,PDG,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
82,L,AKU,G4,SMTA,PSN,PSN,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
83,L,AKU,G3,SMTA,PS,LL,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
84,P,AKU,G3,SRJN,PDG,LL,SKS1_SB,SKS2_B,IPS1_SM,IPS2_M,IPK_SM
85,L,AKU,G5,SMTA,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
86,P,AKU,G3,SMTA,GRD,LL,SKS1_SB,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
87,L,AKU,G2,SMTA,LL,PS,SKS1_SB,SKS2_SB,IPS1_M,IPS2_KM,IPK_SM
88,P,AKU,G4,SMTA,PNS,PSN,SKS1_SB,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
89,L,AKU,G3,SRJN,GRD,PSN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_SM
90,L,AKU,G3,SD,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_M
91,P,AKU,G4,SRJN,GRD,LL,SKS1_SB,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
92,L,AKU,G3,LL,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_M,IPK_SM
93,P,AKU,G3,SMTA,PSN,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_SM,IPK_SM
94,L,AKU,G4,SMP,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
95,P,AKU,G3,SD,PDG,PS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
96,P,AKU,G4,SRJN,PNS,PDG,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,IPK_SM
97,L,AKU,G3,SMTA,PS,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_SM
98,L,AKU,G2,LL,PDG,BPN,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,IPK_SM
99,P,AKU,G2,SRJN,PS,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,IPK_SM
100,P,AKU,G5,SMTA,LL,PS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
101,L,AKU,G5,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,IPK_SM
102,P,AKU,G3,SRJN,GRD,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
103,L,AKU,G4,SRJN,PSN,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_M,IPK_SM
104,P,AKU,G3,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_SM,IPK_SM
105,L,AKU,G3,SD,LL,PNS,SKS1_SB,SKS2_B,IPS1_SM,IPS2_M,IPK_SM
106,P,AKU,G3,SRJN,PDG,BPN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_SM
107,P,AKU,G3,SRJN,LL,PSN,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
108,P,AKU,G2,SD,LL,BPN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
109,P,AKU,G4,SRJN,PS,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,IPK_SM
110,P,AKU,G4,SRJN,PNS,PS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
111,L,AKU,G4,SRJN,PSN,PSN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
112,L,AKU,G7,SRJN,GRD,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,IPK_SM
113,P,AKU,G1,SMTA,LL,PSN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_KM
114,P,AKU,G3,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
115,P,AKU,G4,SRJN,GRD,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_SM
116,L,AKU,G4,SMTA,PNS,GRD,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,IPK_SM
117,P,AKU,G6,SRJN,PNS,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,IPK_SM
118,P,AKU,G2,LL,LL,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
119,P,AKU,G4,SMP,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
120,P,AKU,G3,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
121,L,AKU,G4,SRJN,GRD,PS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,IPK_SM
122,P,AKU,G2,SMP,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
123,P,AKU,G4,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_SM
124,L,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_B,IPS1_M,IPS2_KM,IPK_SM
125,P,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
126,P,AKU,G4,SRJN,PNS,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
127,P,AKU,G4,SMTA,PDG,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
128,P,AKU,G3,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
129,P,AKU,G2,SD,PDG,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
130,P,AKU,G5,SRJN,GRD,PSN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_SM
131,L,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
132,P,AKU,G2,SMP,PDG,LL,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_M,IPK_SM
133,P,AKU,G4,SRJN,PNS,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
134,P,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
135,L,AKU,G3,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,IPK_SM
136,L,AKU,G4,SMTA,PSN,PS,SKS1_SB,SKS2_C,IPS1_KM,IPS2_KM,IPK_SM
137,P,AKU,G4,SD,PDG,PS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
138,P,AKU,G3,SMTA,LL,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
139,P,AKU,G4,SRJN,PDG,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
140,P,AKU,G3,SRJN,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
141,P,AKU,G2,SMTA,LL,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
142,L,AKU,G3,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
143,L,AKU,G4,SMP,BPN,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
144,P,AKU,G4,SRJN,LL,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
145,P,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_SM
146,P,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_SM
147,L,AKU,G4,SRJN,PS,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
148,L,AKU,G4,SRJN,PS,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
149,P,AKU,G2,SMP,BPN,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
150,P,AKU,G3,SRJN,GRD,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
151,L,AKU,G3,SRJN,PSN,PSN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
152,P,AKU,G4,SMTA,PDG,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
153,P,AKU,G3,SMTA,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,IPK_SM
154,P,AKU,G2,SMP,BPN,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
155,P,AKU,G4,SRJN,GRD,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
156,L,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
157,P,AKU,G2,LL,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
158,L,AKU,G3,SMTA,LL,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_SM
159,P,AKU,G3,SMP,LL,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
160,P,AKU,G2,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,IPK_SM
161,L,AKU,G3,SRJN,LL,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,IPK_SM
162,P,AKU,G4,SMTA,LL,PSN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
163,P,AKU,G2,SD,LL,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
164,P,AKU,G5,SRJN,GRD,PSN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
165,P,AKU,G4,SD,LL,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
166,L,AKU,G4,SMTA,PSN,PNS,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,IPK_SM
167,P,AKU,G3,SRJN,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_SM
168,L,AKU,G4,SRJN,GRD,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
169,L,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
170,L,AKU,G3,SMP,PSN,PSN,SKS1_B,SKS2_SB,IPS1_M,IPS2_SM,IPK_SM
171,L,AKU,G3,SRJN,PDG,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
172,L,AKU,G4,SRJN,LL,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
173,L,AKU,G3,SMTA,PS,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
174,P,AKU,G5,SRJN,PNS,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
175,L,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
176,P,AKU,G4,SRJN,PNS,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
177,P,AKU,G6,SRJN,LL,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
178,L,AKU,G4,SRJN,LL,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_KM,IPK_SM
179,P,AKU,G4,SMTA,PS,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
180,P,AKU,G5,SRJN,LL,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_SM
181,P,AKU,G3,SMTA,LL,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
182,P,AKU,G2,SD,LL,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
183,L,AKU,G3,SRJN,PSN,PSN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
184,L,AKU,G4,SMTA,PNS,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
185,L,AKU,G3,SMTA,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
186,P,AKU,G5,SRJN,PDG,PNS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_SM
187,L,AKU,G1,SMTA,PDG,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
188,P,AKU,G3,SMTA,PDG,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
189,P,AKU,G4,SD,BPN,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
190,P,AKU,G4,SRJN,PDG,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
191,P,AKU,G3,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
192,P,AKU,G4,SRJN,PDG,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
193,L,AKU,G4,SMP,LL,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
194,L,AKU,G6,SRJN,PNS,PNS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_SM
195,L,AKU,G4,SRJN,LL,LL,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
196,L,AKU,G6,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
197,P,AKU,G4,SRJN,GRD,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
198,L,AKU,G4,SRJN,GRD,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_M,IPK_SM
199,L,AKU,G4,SMTA,PNS,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
200,L,AKU,G4,SRJN,PNS,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_M,IPK_SM
201,L,AKU,G1,SRJN,GRD,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
202,L,AKU,G2,SRJN,LL,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_SM
203,P,AKU,G2,SMTA,LL,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
204,L,AKU,G5,SRJN,PNS,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
205,P,AKU,G2,SMTA,PNS,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
206,P,AKU,G3,LL,LL,PSN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
207,L,AKU,G2,SD,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
208,L,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_SM
209,P,AKU,G5,SRJN,LL,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
210,L,AKU,G3,SMP,LL,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
211,P,AKU,G4,SMTA,LL,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_SM
212,L,AKU,G4,SRJN,PS,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
213,L,AKU,G2,SMTA,LL,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
214,L,AKU,G3,SRJN,LL,PS,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
215,P,AKU,G3,SMP,PS,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
216,L,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
217,L,AKU,G2,SMTA,LL,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_SM
218,L,AKU,G2,LL,LL,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_M,IPK_SM
219,L,AKU,G6,SMTA,PDG,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
220,P,AKU,G2,SMTA,LL,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
221,L,AKU,G7,SMTA,PDG,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
