@relation data_uji_mipa_lulus_random
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute STATUS_LULUS{LC,LLW_1,LLW_2,LTW}
@data
"P","FISIKA","G1","SD","BPN","BPN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","LTW"
"P","BIO","G2","LL","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G2","SMP","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"L","MTK","G2","SD","BPN","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LLW_1"
"P","BIO","G4","SRJN","GRD","GRD","SKS1_B","SKS2_SB","IPS1_SM","IPS2_M","LLW_2"
"L","BIO","G2","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","IF","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_M","LLW_2"
"P","MTK","G1","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","FISIKA","G4","SRJN","GRD","PNS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","FISIKA","G2","SMP","LL","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","LTW"
"P","BIO","G2","SMP","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","LLW_1"
"L","IF","G3","SMP","PDG","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LLW_2"
"P","BIO","G3","SD","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","LLW_1"
"P","MTK","G2","SMTA","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_1"
"P","MTK","G2","SMP","PDG","PDG","SKS1_B","SKS2_B","IPS1_CUM","IPS2_SM","LTW"
"L","IF","G3","SMP","PNS","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","LLW_2"
"P","FISIKA","G3","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","LTW"
"L","MTK","G4","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","LLW_1"
"P","MTK","G3","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","MTK","G3","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LTW"
"P","BIO","G2","SMP","PDG","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","LLW_2"
"P","BIO","G3","SMTA","PS","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","LLW_1"
"P","BIO","G2","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","LLW_1"
