,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
739,P,AKU,G3,SMTA,LL,PS,IPK_SM
1197,P,AKU,G3,SMTA,LL,PDG,IPK_SM
1078,L,AKU,G2,SMTA,LL,BPN,IPK_SM
3294,P,KOM,G3,SMP,PDG,PDG,IPK_SM
6026,L,HUK,G4,SRJN,LL,PSN,IPK_SM
5668,L,HUK,G4,SMTA,LL,PS,IPK_SM
1061,L,AKU,G6,SRJN,LL,PDG,IPK_SM
5655,L,HUK,G4,SRJN,GRD,ABRI,IPK_SM
6197,P,HUK,G4,SRJN,PNS,PNS,IPK_SM
823,L,AKU,G3,LL,PDG,PDG,IPK_SM
3189,L,KOM,G3,SMTA,LL,PNS,IPK_SM
3337,P,KOM,G7,SRJN,PNS,PS,IPK_SM
5893,P,HUK,G2,LL,LL,PDG,IPK_SM
2046,L,EKO,G3,SRJN,LL,LL,IPK_SM
6159,P,HUK,G6,SRJN,LL,PNS,IPK_SM
6386,P,HUK,G3,SRJN,LL,PNS,IPK_SM
697,P,AKU,G2,SD,PDG,PDG,IPK_SM
3458,P,KOM,G4,SRJN,LL,PS,IPK_SM
1156,L,AKU,G7,SRJN,PS,LL,IPK_SM
5862,L,HUK,G3,SRJN,GRD,PNS,IPK_SM
5783,P,HUK,G4,SRJN,PNS,PNS,IPK_SM
3174,L,KOM,G4,SRJN,GRD,GRD,IPK_SM
6086,L,HUK,G3,SRJN,PSN,PSN,IPK_SM
2091,L,EKO,G4,SMTA,LL,PS,IPK_SM
5809,L,HUK,G3,SRJN,LL,PNS,IPK_SM
3179,P,KOM,G7,SRJN,PNS,PNS,IPK_SM
5814,P,HUK,G3,SRJN,GRD,PNS,IPK_SM
5738,P,HUK,G4,SRJN,PDG,PNS,IPK_SM
3110,P,KOM,G3,SMTA,GRD,PNS,IPK_SM
3181,P,KOM,G3,SRJN,PNS,PNS,IPK_SM
5439,L,HUK,G3,LL,PDG,LL,IPK_SM
1110,L,AKU,G4,SMTA,PSN,PSN,IPK_SM
930,P,AKU,G5,SRJN,GRD,GRD,IPK_SM
3086,P,KOM,G3,SRJN,LL,PDG,IPK_SM
1986,L,EKO,G4,SRJN,LL,PNS,IPK_SM
3463,P,KOM,G3,SMTA,LL,PDG,IPK_SM
5551,P,HUK,G4,SMTA,PDG,PNS,IPK_SM
6030,L,HUK,G5,SRJN,PNS,ABRI,IPK_SM
2133,P,EKO,G4,SRJN,GRD,PSN,IPK_SM
1993,L,EKO,G3,SMTA,LL,PSN,IPK_SM
1093,L,AKU,G4,SMTA,PS,PSN,IPK_SM
5361,L,HUK,G3,SRJN,LL,PDG,IPK_SM
5355,L,HUK,G4,SRJN,PNS,GRD,IPK_SM
5798,L,HUK,G6,SRJN,PNS,PNS,IPK_SM
5611,L,HUK,G3,SRJN,PNS,PNS,IPK_SM
5449,L,HUK,G3,SMTA,LL,PNS,IPK_SM
2254,P,EKO,G2,SMTA,PDG,PSN,IPK_SM
3327,L,KOM,G4,SRJN,GRD,PSN,IPK_SM
678,L,AKU,G4,SMTA,LL,PNS,IPK_SM
3133,P,KOM,G2,SMTA,LL,PS,IPK_SM
5806,L,HUK,G3,SMTA,LL,PS,IPK_SM
5845,L,HUK,G4,SMTA,LL,PNS,IPK_SM
6156,P,HUK,G4,SRJN,LL,GRD,IPK_SM
770,P,AKU,G4,SRJN,PNS,PNS,IPK_SM
5500,L,HUK,G4,SRJN,GRD,PS,IPK_SM
5479,L,HUK,G3,SD,PDG,PDG,IPK_SM
5560,P,HUK,G3,SRJN,GRD,PSN,IPK_SM
5530,L,HUK,G4,SRJN,LL,PNS,IPK_SM
5882,L,HUK,G3,SMTA,PNS,PSN,IPK_SM
5640,P,HUK,G7,SRJN,PDG,PDG,IPK_SM
2176,P,EKO,G2,SMTA,LL,PS,IPK_SM
3418,P,KOM,G2,SMTA,PDG,PDG,IPK_SM
6177,L,HUK,G4,SRJN,PDG,PDG,IPK_SM
2277,L,EKO,G3,SRJN,GRD,PNS,IPK_SM
6165,L,HUK,G4,SMTA,PNS,PSN,IPK_SM
5491,L,HUK,G3,SMP,PDG,PDG,IPK_SM
6101,P,HUK,G1,SRJN,PNS,PSN,IPK_SM
2189,L,EKO,G4,SMTA,LL,LL,IPK_SM
5904,L,HUK,G4,SRJN,GRD,PS,IPK_SM
3158,L,KOM,G4,SMTA,LL,PSN,IPK_SM
2074,P,EKO,G3,SMTA,LL,PDG,IPK_SM
5438,L,HUK,G2,SMTA,LL,PS,IPK_SM
