@relation data_uji_mipa_sosial_lulus
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IP_S1 real
@attribute IP_S2 real
@attribute STATUS_LULUS{LC,LLW,LTW}
@data
"P","EKO","G3","SD","LL","BPN",3.67,3.5,"LTW"
"P","EKO","G2","SRJN","PNS","PNS",3.0,3.46,"LTW"
"L","AKU","G4","SRJN","GRD","GRD",3.86,3.91,"LTW"
"L","HUK","G3","SMTA","LL","ABRI",3.5,3.42,"LTW"
"P","AKU","G4","SRJN","GRD","PDG",3.09,3.0,"LTW"
"P","EKO","G3","SD","PDG","PDG",3.5,3.33,"LTW"
"P","EKO","G4","SMTA","LL","PS",3.75,3.42,"LTW"
"P","AKU","G1","SD","BPN","BPN",3.62,3.91,"LTW"
"L","HUK","G3","SRJN","GRD","GRD",3.4,3.41,"LTW"
"P","HUK","G3","SRJN","PDG","PDG",3.6,3.55,"LTW"
"P","AKU","G4","SMTA","LL","LL",3.14,3.57,"LTW"
"L","AKU","G4","SRJN","LL","PS",3.76,3.17,"LTW"
"P","EKO","G4","SMTA","LL","PS",3.32,3.67,"LTW"
"L","HUK","G3","SMTA","PDG","PDG",3.2,3.09,"LTW"
"L","HUK","G4","SMTA","LL","GRD",3.0,3.18,"LTW"
"P","HUK","G2","SMTA","LL","PDG",3.1,3.0,"LTW"
"L","HUK","G1","SMP","LL","PSN",3.0,3.05,"LTW"
"P","HUK","G4","SMTA","PNS","LL",2.8,2.8,"LTW"
"P","AKU","G4","SRJN","GRD","PNS",3.42,3.04,"LTW"
"P","EKO","G5","SRJN","GRD","PS",3.5,3.17,"LTW"
"P","HUK","G4","SMTA","LL","PNS",2.8,2.7,"LTW"
"P","AKU","G7","SRJN","PS","PS",3.18,3.54,"LTW"
"P","HUK","G1","SMP","LL","PDG",2.65,3.4,"LTW"
"P","AKU","G4","SRJN","PDG","PNS",3.24,3.83,"LTW"
"L","HUK","G3","SMTA","LL","PNS",3.0,2.7,"LTW"
"L","AKU","G3","SRJN","PDG","ABRI",3.52,3.46,"LTW"
"P","AKU","G4","SRJN","LL","PS",3.59,3.5,"LTW"
"L","AKU","G3","SRJN","LL","PS",3.36,3.91,"LTW"
"L","AKU","G4","SRJN","GRD","PSN",3.05,2.55,"LTW"
"L","EKO","G3","SMTA","BPN","BPN",3.54,3.21,"LTW"
"P","EKO","G2","SMP","BPN","BPN",2.96,2.76,"LTW"
"P","HUK","G2","SMTA","PS","PS",3.1,3.15,"LTW"
"L","EKO","G4","SRJN","LL","GRD",3.54,3.54,"LTW"
"P","AKU","G3","SRJN","LL","LL",3.09,3.46,"LTW"
"P","HUK","G5","SRJN","GRD","ABRI",3.5,3.59,"LTW"
"P","EKO","G5","SMTA","LL","PNS",3.23,3.83,"LTW"
"P","HUK","G2","SMTA","BPN","LL",3.5,3.68,"LTW"
"L","EKO","G3","SRJN","GRD","PSN",3.0,3.62,"LTW"
"P","KOM","G4","SMTA","LL","BPN",3.59,3.55,"LTW"
"P","EKO","G2","SMTA","LL","PS",3.33,3.17,"LTW"
"P","AKU","G2","SMP","PDG","LL",3.29,3.0,"LTW"
"P","HUK","G3","SRJN","GRD","PNS",3.4,3.32,"LTW"
"P","AKU","G2","SMP","LL","BPN",3.76,3.78,"LTW"
"P","EKO","G4","SMTA","LL","ABRI",3.62,3.21,"LTW"
"L","HUK","G3","SRJN","PNS","BPN",2.9,3.05,"LTW"
"P","HUK","G1","SMTA","BPN","BPN",3.8,2.96,"LTW"
"L","EKO","G4","SMTA","PDG","PS",3.62,3.92,"LTW"
"P","HUK","G4","SMTA","LL","PS",4.0,3.54,"LTW"
"L","HUK","G4","SMP","PDG","PNS",2.3,2.85,"LTW"
"P","AKU","G2","SD","PDG","PDG",3.73,3.77,"LTW"
"P","KOM","G4","SRJN","GRD","PNS",2.95,3.35,"LTW"
"P","HUK","G2","LL","PDG","PDG",3.5,3.46,"LTW"
"P","HUK","G2","SMP","PDG","PDG",4.0,3.54,"LTW"
"P","HUK","G1","SD","BPN","BPN",3.1,3.18,"LTW"
"L","KOM","G3","SRJN","LL","PNS",3.18,3.59,"LTW"
"P","EKO","G4","SRJN","LL","PDG",3.21,3.12,"LTW"
"P","EKO","G2","SD","LL","PS",3.77,3.83,"LTW"
"P","HUK","G4","SRJN","LL","PNS",3.2,3.0,"LTW"
"P","HUK","G4","SD","LL","PDG",3.1,3.36,"LTW"
"P","HUK","G3","SMTA","PDG","PS",2.8,3.4,"LTW"
"P","KOM","G4","SRJN","PNS","PNS",3.41,3.45,"LTW"
"P","AKU","G5","SRJN","GRD","GRD",3.79,3.35,"LTW"
"L","AKU","G7","SMTA","LL","PS",3.59,3.23,"LTW"
"L","HUK","G2","SMTA","PSN","LL",2.6,2.75,"LTW"
"P","AKU","G3","SRJN","GRD","GRD",3.08,3.09,"LTW"
"P","AKU","G4","SRJN","PSN","PSN",3.36,3.23,"LTW"
"P","EKO","G4","SMTA","LL","PDG",3.75,3.62,"LTW"
"L","EKO","G3","SMTA","BPN","PS",2.75,2.85,"LTW"
"P","EKO","G3","SMP","LL","PS",3.09,3.54,"LTW"
"P","HUK","G4","SMTA","LL","PDG",2.5,2.3,"LTW"
"L","EKO","G2","SMTA","BPN","BPN",3.36,3.33,"LTW"
"L","HUK","G3","SMTA","PS","PDG",3.1,3.46,"LTW"
"P","AKU","G5","SMTA","LL","PNS",3.75,3.87,"LTW"
"P","HUK","G4","SRJN","GRD","GRD",3.1,3.41,"LTW"
"L","HUK","G1","SRJN","LL","LL",3.1,2.92,"LTW"
"P","EKO","G3","SRJN","PS","PS",3.36,3.92,"LTW"
"L","HUK","G2","SMTA","LL","PDG",3.0,3.1,"LTW"
"P","HUK","G4","SRJN","GRD","PDG",2.8,3.1,"LTW"
"P","HUK","G5","SMTA","PNS","PNS",3.1,3.3,"LTW"
"L","HUK","G4","SMTA","LL","PSN",2.8,2.7,"LTW"
"P","HUK","G3","SMTA","LL","PDG",3.8,3.27,"LTW"
"L","AKU","G4","SMTA","LL","PNS",3.21,2.74,"LTW"
"P","EKO","G4","SD","PDG","PDG",2.75,3.33,"LTW"
"L","KOM","G4","SRJN","LL","LL",3.23,3.14,"LTW"
"P","EKO","G3","SMTA","LL","PSN",3.67,3.58,"LTW"
"L","HUK","G4","SRJN","GRD","GRD",3.4,3.27,"LTW"
"L","HUK","G4","SRJN","PNS","PNS",3.1,2.45,"LTW"
"P","AKU","G5","SRJN","PNS","ABRI",3.76,3.52,"LTW"
"P","AKU","G3","SD","BPN","BPN",3.19,3.7,"LTW"
"P","HUK","G4","SMTA","LL","PSN",2.8,2.9,"LTW"
"P","HUK","G3","SMP","PDG","PSN",3.6,3.21,"LTW"
"P","HUK","G5","SMTA","PNS","PNS",3.2,3.14,"LTW"
"P","HUK","G3","SRJN","PS","PS",3.4,3.09,"LTW"
"P","HUK","G4","SMTA","GRD","GRD",2.7,2.65,"LTW"
"P","HUK","G4","SMP","LL","PSN",2.7,2.5,"LTW"
"P","EKO","G4","SRJN","GRD","PS",3.71,3.88,"LTW"
"L","AKU","G2","SMTA","PDG","PDG",3.86,3.78,"LTW"
"L","AKU","G7","SRJN","GRD","PS",3.45,3.73,"LTW"
"P","KOM","G4","SD","LL","PDG",3.5,3.09,"LTW"
"L","EKO","G3","SMTA","LL","PDG",3.33,3.46,"LTW"
"P","EKO","G2","SMTA","LL","PDG",3.54,3.54,"LTW"
"P","HUK","G3","SMTA","PDG","LL",2.5,3.1,"LTW"
"L","AKU","G3","SRJN","GRD","GRD",3.76,3.5,"LTW"
"P","EKO","G4","SMTA","PS","PDG",3.54,3.83,"LTW"
"P","AKU","G4","SMTA","PS","PDG",4.0,3.77,"LTW"
"P","AKU","G3","SMP","PDG","PDG",3.46,3.38,"LTW"
"P","AKU","G4","SMTA","PS","PNS",3.19,3.22,"LTW"
"P","AKU","G3","SMTA","LL","PDG",3.75,3.58,"LTW"
"P","HUK","G2","SD","BPN","BPN",3.75,3.75,"LTW"
"L","HUK","G4","SMTA","LL","PNS",2.8,3.0,"LTW"
"P","HUK","G3","SMTA","LL","PSN",2.9,3.15,"LTW"
"L","AKU","G1","SMTA","PDG","LL",3.62,3.58,"LTW"
"L","AKU","G4","SRJN","GRD","PNS",3.1,3.65,"LTW"
"L","HUK","G4","SRJN","PDG","GRD",2.6,2.6,"LTW"
"P","EKO","G4","SRJN","GRD","PSN",3.54,3.21,"LTW"
"P","AKU","G1","SD","LL","LL",3.59,3.61,"LTW"
"L","AKU","G4","SMTA","PSN","PSN",3.59,3.48,"LTW"
"P","HUK","G3","SRJN","LL","PNS",2.6,3.15,"LTW"
"P","EKO","G2","SD","BPN","BPN",3.12,3.5,"LTW"
"P","EKO","G7","SRJN","GRD","GRD",3.09,3.7,"LTW"
"P","KOM","G4","SRJN","LL","GRD",2.95,2.85,"LTW"
"P","EKO","G5","SRJN","GRD","GRD",3.38,3.25,"LTW"
"P","EKO","G4","SMTA","LL","PNS",3.54,3.58,"LTW"
"P","HUK","G4","SMTA","PDG","PNS",2.3,2.9,"LTW"
"P","HUK","G2","SRJN","PS","LL",3.5,3.41,"LTW"
"P","AKU","G6","SRJN","PNS","PNS",3.33,3.67,"LTW"
"P","HUK","G4","SMTA","PDG","PDG",3.3,3.42,"LTW"
"L","EKO","G3","SMTA","LL","PSN",3.33,3.33,"LTW"
"P","HUK","G3","SMTA","PDG","LL",2.4,2.39,"LTW"
"L","HUK","G4","SMTA","PNS","PDG",2.6,2.95,"LTW"
"P","EKO","G3","SD","LL","PDG",3.36,3.79,"LTW"
"L","KOM","G7","SRJN","LL","PDG",4.0,3.68,"LTW"
"P","HUK","G3","SMTA","LL","GRD",3.5,3.55,"LTW"
"P","EKO","G2","SRJN","PNS","LL",3.46,3.46,"LTW"
"P","AKU","G5","SRJN","PNS","GRD",3.67,3.57,"LTW"
"P","EKO","G2","SMTA","PS","LL",2.67,2.9,"LTW"
"L","HUK","G3","SRJN","LL","GRD",2.8,3.25,"LTW"
"L","AKU","G5","SRJN","GRD","PSN",2.95,3.4,"LTW"
"P","AKU","G4","SMP","PDG","PDG",3.62,3.78,"LTW"
"L","EKO","G3","SRJN","LL","PS",3.21,2.96,"LTW"
"P","HUK","G3","SMTA","LL","PNS",3.1,2.92,"LTW"
"P","EKO","G4","SRJN","LL","PNS",3.23,3.79,"LTW"
"P","AKU","G4","SMTA","LL","PS",3.54,4.0,"LTW"
"L","AKU","G2","SMTA","LL","PS",3.46,3.43,"LTW"
"P","HUK","G4","SRJN","LL","PSN",3.5,3.55,"LTW"
"P","EKO","G2","SMP","BPN","BPN",3.64,4.0,"LTW"
"L","EKO","G3","SMTA","LL","PNS",2.96,3.12,"LTW"
"L","EKO","G3","SMTA","LL","PS",2.62,2.81,"LTW"
"P","EKO","G4","SRJN","LL","PS",3.54,3.67,"LTW"
"L","AKU","G7","SRJN","LL","LL",3.67,3.91,"LTW"
"P","EKO","G3","SMTA","LL","PNS",3.33,3.12,"LTW"
"P","EKO","G4","SRJN","GRD","GRD",3.23,3.79,"LTW"
"P","AKU","G4","SRJN","GRD","LL",2.77,2.7,"LTW"
"P","EKO","G3","SMP","LL","PSN",3.21,3.38,"LTW"
"P","HUK","G2","SMTA","PS","PS",3.38,3.0,"LTW"
"P","HUK","G3","SRJN","PNS","PNS",3.2,3.05,"LTW"
"P","EKO","G2","SD","LL","PDG",3.33,3.21,"LTW"
"P","AKU","G3","SMTA","LL","PS",3.86,3.73,"LTW"
"P","HUK","G4","SMTA","LL","PNS",2.67,3.5,"LTW"
"P","EKO","G3","SRJN","LL","PS",3.68,3.77,"LTW"
"L","HUK","G4","SRJN","PS","PNS",3.3,3.36,"LTW"
"P","AKU","G4","SRJN","LL","ABRI",3.62,3.91,"LTW"
"P","AKU","G6","SRJN","LL","PS",3.23,3.5,"LTW"
"P","HUK","G4","SRJN","GRD","GRD",3.7,3.79,"LTW"
"P","EKO","G3","SRJN","GRD","GRD",3.5,3.42,"LTW"
"P","HUK","G4","SMP","LL","PDG",2.6,2.9,"LTW"
"L","AKU","G7","SRJN","PS","LL",3.09,2.95,"LTW"
"P","HUK","G4","SMTA","PNS","PSN",2.4,2.9,"LTW"
"P","EKO","G1","LL","BPN","PDG",3.05,3.59,"LTW"
"P","AKU","G4","SRJN","PNS","PDG",3.88,3.74,"LTW"
"L","HUK","G3","SRJN","GRD","GRD",2.62,3.4,"LTW"
"L","EKO","G7","SMTA","PS","PS",3.33,3.71,"LTW"
"P","HUK","G4","SRJN","PNS","PNS",3.2,3.14,"LTW"
"P","HUK","G4","SMTA","LL","PNS",2.8,2.5,"LTW"
"P","AKU","G4","SMP","PDG","PSN",3.48,3.26,"LTW"
"P","AKU","G5","SRJN","PDG","GRD",3.33,3.76,"LTW"
"P","AKU","G2","SMP","BPN","BPN",3.57,3.91,"LTW"
"P","AKU","G4","SRJN","GRD","PNS",3.42,3.25,"LTW"
"P","HUK","G2","SMTA","LL","PSN",2.75,3.15,"LTW"
"L","EKO","G1","SD","BPN","BPN",3.54,3.71,"LTW"
"L","AKU","G4","SRJN","PDG","PNS",3.38,3.71,"LTW"
"P","HUK","G4","SRJN","PSN","GRD",2.7,3.05,"LTW"
"P","AKU","G3","SRJN","PNS","GRD",3.42,3.58,"LTW"
"P","EKO","G4","SRJN","PS","PS",3.33,3.25,"LC"
"P","EKO","G4","SRJN","PNS","PS",3.09,3.25,"LC"
"P","AKU","G4","SMTA","LL","LL",3.75,3.08,"LC"
"P","KOM","G4","SMTA","PNS","LL",3.77,3.55,"LC"
"L","EKO","G3","SMTA","LL","PNS",2.83,3.19,"LC"
"P","HUK","G4","SRJN","PDG","PSN",3.5,3.54,"LC"
"L","KOM","G4","SMTA","LL","PS",3.14,3.05,"LC"
"P","EKO","G4","SRJN","GRD","PNS",3.42,3.54,"LC"
"P","HUK","G3","SRJN","LL","PNS",3.4,3.32,"LC"
"P","EKO","G2","SD","BPN","BPN",3.25,3.42,"LC"
"P","HUK","G5","SMTA","PDG","PNS",3.4,2.65,"LC"
"P","EKO","G4","SMTA","LL","PNS",3.0,2.79,"LC"
"P","AKU","G4","SMTA","PNS","PNS",3.71,3.35,"LC"
"P","HUK","G3","SRJN","PDG","PDG",3.2,2.91,"LC"
"P","KOM","G2","SMTA","LL","LL",3.36,3.68,"LC"
