@relation data_uji_mipa_sosial_lulus
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{ABRI,BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IP_S1 real
@attribute IP_S2 real
@attribute STATUS_LULUS{LC,LLW,LTW}
@data
"P","HUK","G3","SMTA","PDG","PDG",2.4,2.6,"LLW"
"L","HUK","G2","SMTA","PDG","PDG",2.1,2.78,"LLW"
"L","HUK","G6","SRJN","PDG","PS",2.7,2.95,"LLW"
"P","HUK","G4","SRJN","PNS","PNS",3.4,3.1,"LLW"
"L","HUK","G4","SRJN","LL","GRD",2.5,2.15,"LLW"
"P","EKO","G4","SRJN","GRD","GRD",3.08,3.08,"LLW"
"L","EKO","G3","SMTA","LL","PS",3.54,2.96,"LLW"
"L","KOM","G1","SMTA","LL","PS",2.27,2.5,"LLW"
"L","KOM","G3","SMTA","LL","PNS",3.32,2.82,"LLW"
"P","KOM","G3","SMTA","GRD","PS",3.48,3.61,"LLW"
"P","KOM","G3","SRJN","PNS","BPN",3.14,3.41,"LLW"
"L","EKO","G3","SMTA","LL","PNS",3.58,3.46,"LLW"
"L","HUK","G4","SMP","LL","PS",2.3,2.2,"LLW"
"P","KOM","G5","SMTA","LL","PS",2.43,2.55,"LLW"
"P","KOM","G4","SRJN","PDG","PNS",3.68,3.27,"LLW"
"L","HUK","G7","SRJN","LL","PS",2.7,2.3,"LLW"
"L","HUK","G2","SMTA","LL","PS",1.5,1.25,"LLW"
"L","KOM","G3","SMP","PDG","PDG",2.64,3.1,"LLW"
"P","HUK","G4","SD","PDG","PNS",2.5,2.45,"LLW"
"L","HUK","G3","SMTA","PDG","PS",2.4,2.75,"LLW"
"L","EKO","G3","SRJN","LL","PSN",1.21,1.75,"LLW"
"P","AKU","G3","SMTA","LL","PSN",3.57,3.38,"LLW"
"P","KOM","G3","SMTA","PDG","LL",3.36,3.59,"LLW"
"P","HUK","G4","SRJN","GRD","GRD",2.4,2.4,"LLW"
"P","HUK","G4","SRJN","GRD","GRD",2.76,3.1,"LLW"
"L","HUK","G4","SMTA","PDG","PDG",2.3,2.19,"LLW"
"P","HUK","G6","SRJN","GRD","PS",3.2,2.65,"LLW"
"P","HUK","G4","SRJN","PSN","PSN",3.1,3.33,"LLW"
"P","EKO","G3","SD","PDG","PSN",2.96,2.86,"LLW"
"L","AKU","G4","SMTA","PNS","PS",2.38,1.9,"LLW"
"L","AKU","G2","SMTA","PDG","PDG",3.0,3.09,"LLW"
"P","KOM","G7","SRJN","PNS","PS",3.18,3.32,"LLW"
"L","HUK","G1","SRJN","LL","BPN",2.0,2.22,"LLW"
"L","HUK","G2","SRJN","GRD","PS",1.9,2.72,"LLW"
"L","HUK","G7","SMTA","LL","LL",2.6,3.3,"LLW"
"L","EKO","G5","SMTA","PS","PNS",1.75,1.52,"LLW"
"P","HUK","G4","SRJN","PS","PNS",2.0,2.94,"LLW"
"L","HUK","G4","SMTA","PDG","PNS",2.7,2.6,"LLW"
"L","HUK","G4","SRJN","GRD","PS",2.2,2.11,"LLW"
"L","HUK","G3","SMTA","PNS","PSN",2.3,2.85,"LLW"
"P","KOM","G3","SMTA","LL","PS",2.95,3.42,"LLW"
"L","HUK","G4","SMTA","LL","PDG",2.4,2.8,"LLW"
"L","HUK","G4","SMTA","LL","PSN",2.4,2.55,"LLW"
"L","HUK","G3","SMP","LL","PDG",3.5,3.25,"LLW"
"P","KOM","G3","SMTA","PS","PS",2.48,3.29,"LLW"
"P","EKO","G3","SRJN","PNS","GRD",3.62,2.79,"LLW"
"L","EKO","G4","SMTA","LL","PNS",2.96,3.14,"LLW"
"L","HUK","G5","SRJN","LL","PNS",3.9,3.0,"LLW"
"L","HUK","G2","LL","BPN","BPN",2.6,2.65,"LLW"
"P","HUK","G2","SMTA","PDG","PDG",2.5,1.7,"LLW"
"P","KOM","G4","SRJN","PNS","PDG",3.32,3.32,"LLW"
"L","EKO","G4","SRJN","GRD","PNS",2.5,2.57,"LLW"
"P","AKU","G6","SRJN","PNS","PNS",3.04,2.61,"LLW"
"L","HUK","G5","SMTA","PDG","PDG",2.7,2.9,"LLW"
"P","KOM","G2","SRJN","PDG","BPN",3.0,2.95,"LLW"
"P","HUK","G3","SMTA","LL","PSN",3.0,2.79,"LLW"
"L","EKO","G4","SRJN","GRD","PNS",3.29,2.55,"LLW"
"P","KOM","G5","SRJN","GRD","PDG",3.0,3.09,"LLW"
"L","HUK","G3","SMTA","PNS","GRD",3.3,2.92,"LLW"
"L","AKU","G4","SRJN","GRD","GRD",3.52,3.83,"LLW"
"P","HUK","G2","SMTA","PDG","PDG",2.4,2.45,"LLW"
"P","AKU","G3","SMP","LL","ABRI",3.46,2.71,"LLW"
"P","KOM","G1","SRJN","PDG","PDG",3.0,2.6,"LLW"
"P","EKO","G4","SRJN","PDG","PNS",2.67,2.67,"LLW"
"L","HUK","G3","SMTA","LL","LL",1.53,2.06,"LLW"
"L","EKO","G3","SMTA","LL","PSN",3.46,2.83,"LLW"
"L","HUK","G3","SMTA","LL","PNS",2.9,2.05,"LLW"
"L","AKU","G1","SMTA","LL","LL",3.09,3.59,"LLW"
"P","HUK","G7","SRJN","PS","PS",3.25,2.79,"LLW"
"P","HUK","G2","SMTA","PNS","LL",1.8,2.2,"LLW"
"L","KOM","G1","SRJN","LL","PS",3.14,2.96,"LLW"
"L","KOM","G4","SRJN","GRD","LL",3.0,2.92,"LLW"
"L","EKO","G2","SD","LL","PDG",2.91,3.3,"LLW"
"P","HUK","G2","SMTA","LL","PSN",1.8,2.25,"LLW"
"P","AKU","G5","SRJN","PNS","PNS",3.18,3.23,"LLW"
"L","HUK","G4","SRJN","PNS","PNS",1.8,2.0,"LLW"
"P","KOM","G4","SRJN","GRD","GRD",3.09,3.14,"LLW"
"L","EKO","G4","SRJN","PS","PDG",3.23,3.25,"LLW"
"L","EKO","G3","SRJN","PS","PDG",3.21,3.21,"LLW"
"P","KOM","G2","SMP","PDG","PS",3.18,3.23,"LLW"
"L","KOM","G3","SMTA","LL","PSN",2.85,2.43,"LLW"
"L","HUK","G4","SMTA","PDG","PS",2.4,2.61,"LLW"
"P","HUK","G3","SRJN","PDG","PS",3.1,2.82,"LLW"
"P","HUK","G3","SMTA","LL","PSN",2.2,2.35,"LLW"
"L","HUK","G4","SRJN","GRD","PSN",1.9,2.19,"LLW"
"P","EKO","G3","SD","LL","PDG",2.71,2.6,"LLW"
"P","KOM","G1","SMP","LL","BPN",3.45,3.36,"LLW"
"P","HUK","G3","SRJN","PDG","PNS",2.45,2.5,"LLW"
"L","AKU","G6","SRJN","GRD","GRD",3.05,3.35,"LLW"
"L","KOM","G4","SRJN","PNS","PSN",3.05,3.18,"LLW"
"L","KOM","G2","SMTA","GRD","PNS",2.83,2.95,"LLW"
"L","HUK","G3","SMTA","LL","GRD",2.6,1.75,"LLW"
"P","HUK","G2","SMP","LL","PSN",2.5,2.48,"LLW"
"P","KOM","G3","SMTA","LL","PDG",2.95,3.1,"LLW"
"L","HUK","G4","SMTA","PNS","PS",1.8,1.31,"LLW"
"P","KOM","G2","SD","LL","PS",3.41,3.14,"LLW"
"P","KOM","G4","SRJN","GRD","GRD",3.05,2.95,"LLW"
"P","HUK","G7","SRJN","PDG","PDG",2.9,2.9,"LLW"
"L","HUK","G4","SRJN","GRD","PNS",2.6,2.25,"LLW"
"L","HUK","G2","SMTA","LL","PSN",2.1,2.05,"LLW"
"L","HUK","G3","SMTA","LL","PDG",1.9,2.5,"LLW"
"P","KOM","G4","SRJN","GRD","PS",3.05,2.71,"LLW"
"L","EKO","G3","SRJN","GRD","PNS",3.17,2.55,"LLW"
"P","HUK","G4","SRJN","GRD","GRD",2.8,3.15,"LLW"
"P","EKO","G3","SMTA","PDG","GRD",3.54,3.33,"LLW"
"L","EKO","G3","SMP","PDG","PDG",3.17,3.46,"LLW"
"P","KOM","G3","SMTA","PNS","GRD",3.09,2.46,"LLW"
"P","KOM","G4","SMTA","ABRI","ABRI",3.23,3.32,"LLW"
"L","HUK","G5","SRJN","PNS","ABRI",2.3,2.85,"LLW"
