,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,IPK_TERAKHIR
293,L,FISIKA,G3,SMTA,LL,GRD,18.0,19.0,2.22,2.42,IPK_M
1727,P,BIO,G3,SRJN,LL,PDG,22.0,23.0,3.45,3.17,IPK_CUM
1536,P,BIO,G3,SMTA,PDG,GRD,21.0,23.0,3.81,3.78,IPK_CUM
1836,P,IF,G3,SRJN,PNS,LL,19.0,18.0,3.11,2.83,IPK_SM
458,P,FISIKA,G2,SRJN,GRD,GRD,19.0,22.0,3.0,3.23,IPK_SM
1573,P,BIO,G4,SMTA,LL,LL,21.0,21.0,2.1,2.9,IPK_M
961,P,MTK,G2,SMTA,LL,PS,21.0,18.0,3.24,3.67,IPK_SM
1930,L,IF,G4,SRJN,GRD,GRD,19.0,20.0,3.37,3.1,IPK_SM
755,P,MTK,G4,SMTA,LL,LL,21.0,18.0,2.43,2.72,IPK_SM
1985,L,IF,G3,SMP,PNS,GRD,19.0,20.0,3.11,3.15,IPK_SM
1902,L,IF,G3,SMTA,PS,PDG,19.0,18.0,3.26,3.67,IPK_CUM
1600,P,BIO,G4,SRJN,LL,LL,21.0,23.0,3.52,3.7,IPK_CUM
1622,P,BIO,G3,SRJN,PDG,PDG,21.0,21.0,2.95,2.81,IPK_SM
789,P,MTK,G4,SMTA,PNS,LL,21.0,18.0,2.95,2.83,IPK_SM
270,L,FISIKA,G4,SMTA,PDG,PS,18.0,19.0,2.39,2.0,IPK_KM
195,P,FISIKA,G1,SD,LL,LL,18.0,19.0,2.39,2.58,IPK_M
1171,L,MTK,G3,SD,PDG,BPN,21.0,19.0,2.71,2.63,IPK_SM
1004,L,MTK,G3,SRJN,LL,PSN,21.0,18.0,2.33,2.22,IPK_M
1434,L,BIO,G2,SD,BPN,BPN,21.0,21.0,2.62,2.81,IPK_SM
796,P,MTK,G1,SMTA,LL,PS,21.0,18.0,2.67,2.22,IPK_SM
908,P,MTK,G4,SMP,PDG,PDG,21.0,18.0,3.24,2.83,IPK_SM
1471,P,BIO,G2,SMTA,PDG,PDG,21.0,21.0,3.0,3.29,IPK_CUM
2061,L,IF,G5,SRJN,LL,PS,20.0,20.0,3.15,3.45,IPK_SM
1533,P,BIO,G5,SRJN,PDG,PNS,21.0,21.0,2.33,2.76,IPK_SM
297,P,FISIKA,G2,SD,LL,PDG,18.0,19.0,3.33,2.95,IPK_M
