,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,STATUS_LULUS
61,L,AKU,G5,SRJN,LL,LL,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,LLW_2
62,L,AKU,G5,SRJN,PNS,PSN,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_M,LTW
63,P,AKU,G5,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
64,L,AKU,G7,SRJN,PNS,LL,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
65,P,AKU,G7,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,LTW
66,P,AKU,G4,SMTA,PDG,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,LTW
67,P,AKU,G3,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
68,L,AKU,G4,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,LTW
69,P,AKU,G4,SMTA,LL,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LC
70,P,AKU,G5,SRJN,PDG,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_CUM,LTW
71,L,AKU,G3,SMP,PDG,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_KM,LLW_1
72,P,AKU,G5,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
73,L,AKU,G4,SMTA,LL,PSN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
74,L,AKU,G6,SMTA,PS,PNS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,LTW
75,L,AKU,G6,SMTA,LL,LL,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,LTW
76,L,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LLW_2
77,P,AKU,G4,SMTA,PNS,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,LLW_1
78,L,AKU,G3,SMTA,PS,LL,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,LC
79,P,AKU,G3,SRJN,PDG,LL,SKS1_SB,SKS2_B,IPS1_SM,IPS2_M,LLW_2
80,P,AKU,G3,SMTA,GRD,LL,SKS1_SB,SKS2_B,IPS1_CUM,IPS2_SM,LLW_1
81,L,AKU,G2,SMTA,LL,PS,SKS1_SB,SKS2_SB,IPS1_M,IPS2_KM,LLW_2
82,L,AKU,G3,SRJN,LL,PSN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
83,P,AKU,G4,SMTA,PNS,PSN,SKS1_SB,SKS2_B,IPS1_CUM,IPS2_CUM,LTW
84,L,AKU,G3,SRJN,GRD,PSN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
85,P,AKU,G3,SRJN,LL,PSN,SKS1_SB,SKS2_B,IPS1_SM,IPS2_M,LLW_1
86,P,AKU,G3,SRJN,LL,PDG,SKS1_SB,SKS2_B,IPS1_CUM,IPS2_SM,LTW
87,L,AKU,G3,SD,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
88,P,AKU,G4,SRJN,GRD,LL,SKS1_SB,SKS2_B,IPS1_CUM,IPS2_CUM,LLW_2
89,L,AKU,G3,LL,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_M,LLW_2
90,P,AKU,G3,SMTA,PSN,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_SM,LLW_1
91,P,AKU,G4,SRJN,PNS,PDG,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,LLW_1
92,L,AKU,G3,SMTA,PS,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
93,P,AKU,G2,SRJN,PS,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,LLW_1
94,P,AKU,G5,SMTA,LL,PS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
95,L,AKU,G4,SRJN,PSN,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_M,LLW_1
96,P,AKU,G3,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_M,IPS2_SM,LTW
97,P,AKU,G3,SMTA,LL,PDG,SKS1_SB,SKS2_B,IPS1_M,IPS2_SM,LLW_1
98,L,AKU,G3,SD,LL,PNS,SKS1_SB,SKS2_B,IPS1_SM,IPS2_M,LLW_2
99,P,AKU,G3,SRJN,PDG,BPN,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
100,P,AKU,G3,SRJN,LL,PSN,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
101,P,AKU,G2,SD,LL,BPN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
102,P,AKU,G4,SRJN,PNS,PS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LC
103,L,AKU,G4,SRJN,PSN,PSN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
104,L,AKU,G7,SRJN,GRD,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,LLW_2
105,P,AKU,G6,SMTA,PNS,PNS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,LLW_1
106,P,AKU,G4,SMTA,LL,PNS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_1
107,P,AKU,G1,SMTA,LL,PSN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LLW_2
108,P,AKU,G3,SMTA,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
109,P,AKU,G3,LL,PDG,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
110,P,AKU,G3,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
111,P,AKU,G3,SMP,LL,LL,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,LLW_1
112,P,AKU,G4,SRJN,GRD,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
113,L,AKU,G4,SMTA,PNS,GRD,SKS1_SB,SKS2_B,IPS1_KM,IPS2_KM,LLW_2
114,P,AKU,G2,LL,LL,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
115,P,AKU,G3,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LLW_1
116,L,AKU,G4,SRJN,GRD,PS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,LLW_1
117,P,AKU,G2,SMP,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
118,P,AKU,G3,SRJN,PNS,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_KM,LTW
119,L,AKU,G4,SRJN,GRD,PNS,SKS1_SB,SKS2_B,IPS1_M,IPS2_KM,LTW
120,P,AKU,G4,SRJN,GRD,GRD,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
121,P,AKU,G4,SMTA,PDG,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
122,P,AKU,G3,SRJN,PNS,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
123,P,AKU,G5,SRJN,GRD,PSN,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LLW_1
124,P,AKU,G4,SRJN,PNS,PDG,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
125,L,AKU,G7,SRJN,LL,PNS,SKS1_SB,SKS2_B,IPS1_M,IPS2_M,LLW_1
126,L,AKU,G3,SMTA,LL,PS,SKS1_SB,SKS2_B,IPS1_KM,IPS2_M,LTW
127,L,AKU,G4,SRJN,PS,LL,SKS1_SB,SKS2_B,IPS1_M,IPS2_SM,LLW_1
128,L,AKU,G4,SMTA,PSN,PS,SKS1_SB,SKS2_C,IPS1_KM,IPS2_KM,LLW_2
129,P,AKU,G4,SD,PDG,PS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
130,P,AKU,G4,SRJN,PDG,GRD,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,LTW
131,P,AKU,G3,SRJN,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
132,P,AKU,G4,SRJN,PS,PNS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
133,P,AKU,G2,SRJN,LL,PDG,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
134,P,AKU,G4,SRJN,PNS,PSN,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,LLW_2
135,P,AKU,G3,SRJN,LL,PS,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
136,L,AKU,G3,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
137,P,AKU,G4,SRJN,LL,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
138,L,AKU,G3,SRJN,GRD,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
139,L,AKU,G2,SMP,LL,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
140,P,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,LLW_2
141,P,AKU,G5,SMTA,PNS,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LTW
142,L,AKU,G4,SRJN,PS,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
143,L,AKU,G4,SRJN,PS,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
144,P,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
145,P,AKU,G2,SMP,BPN,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LLW_1
146,P,AKU,G3,SRJN,GRD,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
147,P,AKU,G4,SRJN,PDG,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
148,P,AKU,G2,SMP,BPN,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
149,P,AKU,G4,SRJN,GRD,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
150,P,AKU,G2,LL,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
151,L,AKU,G3,SMTA,LL,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
152,P,AKU,G3,SMP,LL,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
153,P,AKU,G5,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
154,L,AKU,G3,SRJN,LL,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_M,LLW_1
155,P,AKU,G4,SMTA,LL,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
156,P,AKU,G4,SMTA,LL,PSN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
157,L,AKU,G5,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
158,P,AKU,G4,SD,LL,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
159,P,AKU,G3,SRJN,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
160,L,AKU,G4,SRJN,GRD,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
161,P,AKU,G3,SMTA,GRD,LL,SKS1_B,SKS2_SB,IPS1_M,IPS2_SM,LLW_1
162,P,AKU,G3,SMTA,PDG,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
163,L,AKU,G3,SMP,PSN,PSN,SKS1_B,SKS2_SB,IPS1_M,IPS2_SM,LTW
164,L,AKU,G3,SRJN,PDG,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
165,P,AKU,G6,SRJN,PNS,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
166,L,AKU,G4,SRJN,LL,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
167,L,AKU,G3,SMTA,PS,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
168,P,AKU,G5,SRJN,PNS,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
169,L,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
170,P,AKU,G4,SMTA,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,LLW_1
171,P,AKU,G5,SRJN,LL,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
172,L,AKU,G3,SMTA,LL,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
173,P,AKU,G3,SMTA,LL,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
174,L,AKU,G3,SRJN,PSN,PSN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,LTW
175,P,AKU,G3,SMTA,LL,PSN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,LLW_1
176,P,AKU,G5,SRJN,PDG,PNS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LTW
177,L,AKU,G1,SMTA,PDG,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
178,P,AKU,G4,SMTA,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LLW_1
179,P,AKU,G3,SMTA,PDG,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
180,P,AKU,G4,SD,BPN,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
181,P,AKU,G4,SRJN,PDG,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
182,P,AKU,G3,SMTA,LL,PNS,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
183,P,AKU,G4,SRJN,PDG,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,LTW
184,P,AKU,G4,SMP,LL,PSN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
185,L,AKU,G4,SMP,LL,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
186,L,AKU,G6,SRJN,PNS,PNS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LLW_1
187,L,AKU,G3,SRJN,PSN,PSN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,LTW
188,L,AKU,G6,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
189,L,AKU,G3,SMP,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
190,L,AKU,G4,SRJN,GRD,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_M,LLW_1
191,L,AKU,G4,SMTA,PNS,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,LLW_1
192,L,AKU,G4,SRJN,PNS,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_M,LLW_1
193,L,AKU,G1,SRJN,GRD,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
194,L,AKU,G2,SRJN,LL,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LLW_1
195,P,AKU,G2,SMTA,LL,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
196,L,AKU,G5,SRJN,PNS,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
197,P,AKU,G2,SMTA,PNS,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
198,P,AKU,G3,LL,LL,PSN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_2
199,L,AKU,G2,SD,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
200,L,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
201,P,AKU,G5,SRJN,LL,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
202,L,AKU,G3,SMP,LL,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
203,P,AKU,G4,SMTA,LL,LL,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
204,L,AKU,G4,SRJN,PS,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
205,L,AKU,G2,SMTA,LL,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LLW_1
206,P,AKU,G3,SMP,PS,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LLW_1
207,P,AKU,G4,SRJN,PS,GRD,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LTW
208,P,AKU,G2,SRJN,PDG,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LLW_1
209,L,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
210,L,AKU,G2,SMTA,LL,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_2
211,L,AKU,G6,SMTA,PDG,PS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,LLW_1
212,L,AKU,G7,SMTA,PDG,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LLW_1
213,P,AKU,G4,SMP,LL,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
214,P,AKU,G3,SRJN,GRD,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
215,P,AKU,G4,SRJN,LL,LL,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
216,P,AKU,G5,SRJN,PNS,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
217,L,AKU,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LLW_1
218,P,AKU,G3,SMTA,LL,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
219,L,AKU,G5,SMTA,LL,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,LLW_1
220,L,AKU,G2,SMTA,LL,PSN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LLW_1
221,P,AKU,G3,SMTA,PDG,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
222,L,AKU,G6,SRJN,GRD,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
223,L,AKU,G4,SRJN,GRD,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
224,L,AKU,G3,SRJN,LL,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LLW_1
225,P,AKU,G3,SD,BPN,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LTW
226,L,AKU,G5,SRJN,GRD,PSN,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,LLW_1
227,P,AKU,G3,SMP,BPN,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,LTW
228,P,AKU,G4,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LTW
229,P,AKU,G3,SRJN,PNS,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,LLW_1
230,L,AKU,G5,SMTA,LL,PNS,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,LLW_1
231,L,AKU,G3,SMP,LL,PSN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_M,LLW_1
