@relation data_sosial_ipk_over
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","AKU","G2","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","AKU","G4","SMTA","LL","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"L","AKU","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","IPK_SM"
"L","AKU","G4","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","AKU","G4","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","AKU","G3","SMP","LL","PS","SKS1_SB","SKS2_K","IPS1_KM","IPS2_KM","IPK_KM"
"P","AKU","G2","SMTA","PDG","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","IPK_KM"
"P","AKU","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_SM"
"P","AKU","G4","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","IPK_SM"
"L","AKU","G3","SRJN","GRD","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","AKU","G1","SMP","PDG","BPN","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","AKU","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_CUM"
"P","AKU","G4","SMTA","LL","GRD","SKS1_SB","SKS2_B","IPS1_SM","IPS2_CUM","IPK_SM"
"L","AKU","G5","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_CUM"
"P","AKU","G2","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_CUM"
"P","AKU","G3","SRJN","PNS","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","IPK_SM"
"L","AKU","G7","SD","LL","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_CUM","IPK_SM"
"P","AKU","G4","SMTA","LL","PNS","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"P","AKU","G2","SD","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","AKU","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_CUM"
"L","AKU","G4","SMTA","PS","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","AKU","G4","SMTA","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_SM"
"P","AKU","G3","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_CUM"
"P","AKU","G5","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_M","IPS2_KM","IPK_SM"
"P","AKU","G2","SMTA","LL","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_CUM"
"L","AKU","G3","SRJN","PSN","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_KM","IPK_SM"
"L","AKU","G4","SRJN","LL","PNS","SKS1_SB","SKS2_B","IPS1_SM","IPS2_M","IPK_SM"
"P","AKU","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
