,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
246,P,FISIKA,G4,SMTA,LL,GRD,LLW
247,P,FISIKA,G3,SMTA,PS,GRD,LLW
248,P,FISIKA,G2,SD,LL,LL,LLW
249,P,FISIKA,G4,SMTA,BPN,GRD,LTW
250,P,FISIKA,G4,SMTA,PNS,ABRI,LLW
251,P,FISIKA,G5,SRJN,PNS,GRD,LLW
252,P,FISIKA,G7,SRJN,GRD,PS,LTW
253,L,FISIKA,G4,SMTA,LL,GRD,LLW
254,P,FISIKA,G3,SMTA,LL,PDG,LLW
255,P,FISIKA,G2,SMTA,PS,PSN,LLW
256,L,FISIKA,G3,SMP,PDG,PS,LLW
257,P,FISIKA,G2,SMTA,LL,PDG,LLW
258,P,FISIKA,G4,SRJN,GRD,PNS,LLW
259,L,FISIKA,G6,SMTA,LL,PNS,LLW
260,L,FISIKA,G4,SD,BPN,PSN,LTW
261,P,FISIKA,G4,SMTA,PDG,PNS,LTW
262,P,FISIKA,G2,SRJN,GRD,GRD,LTW
263,L,FISIKA,G4,SRJN,GRD,PDG,LLW
264,L,FISIKA,G3,SRJN,PDG,PDG,LLW
265,P,FISIKA,G4,SMTA,LL,GRD,LLW
266,P,FISIKA,G4,SMTA,LL,PS,LLW
267,P,FISIKA,G3,SMTA,LL,LL,LTW
268,P,FISIKA,G4,SMTA,PDG,GRD,LLW
269,P,FISIKA,G2,SD,BPN,BPN,LLW
270,P,FISIKA,G4,SMTA,LL,BPN,LLW
271,P,FISIKA,G2,SD,BPN,BPN,LC
272,P,FISIKA,G3,SD,PDG,PDG,LLW
273,P,FISIKA,G3,SMTA,LL,PS,LTW
274,L,FISIKA,G4,SRJN,PNS,PS,LLW
275,L,FISIKA,G5,SRJN,GRD,LL,LLW
276,P,FISIKA,G2,SMP,LL,BPN,LTW
277,L,FISIKA,G3,SMTA,PDG,PDG,LTW
278,L,FISIKA,G3,SD,LL,BPN,LTW
279,P,MTK,G2,SMTA,PS,PS,LTW
280,P,MTK,G2,SMP,PDG,PDG,LLW
281,P,MTK,G1,LL,LL,PDG,LLW
282,L,MTK,G1,LL,BPN,BPN,LTW
283,P,MTK,G3,SMTA,LL,PNS,LLW
284,L,MTK,G2,SD,LL,PNS,LLW
285,P,MTK,G2,SD,LL,PS,LTW
286,P,MTK,G3,SRJN,GRD,GRD,LLW
287,P,MTK,G2,SMTA,LL,GRD,LLW
288,P,MTK,G2,SMTA,PDG,PDG,LC
289,P,MTK,G3,SRJN,GRD,PDG,LLW
290,P,MTK,G2,SD,BPN,BPN,LLW
291,P,MTK,G3,SRJN,PDG,GRD,LLW
292,L,MTK,G3,SRJN,GRD,GRD,LTW
293,P,MTK,G3,SRJN,PNS,PNS,LLW
294,P,MTK,G3,SMTA,PS,GRD,LLW
295,L,MTK,G3,SMTA,GRD,GRD,LTW
296,P,MTK,G3,SRJN,GRD,PS,LLW
297,P,MTK,G2,SRJN,GRD,BPN,LLW
298,L,MTK,G3,SD,LL,GRD,LTW
299,L,MTK,G2,LL,LL,PSN,LTW
300,P,MTK,G2,SRJN,GRD,GRD,LTW
301,P,MTK,G3,SRJN,GRD,PDG,LLW
302,P,MTK,G2,SMTA,PDG,LL,LLW
303,P,MTK,G2,SMP,LL,PSN,LLW
304,L,MTK,G1,SD,PDG,PDG,LC
305,P,MTK,G3,SRJN,GRD,GRD,LLW
306,P,MTK,G3,SRJN,GRD,PNS,LTW
307,P,MTK,G3,SMP,LL,GRD,LLW
308,L,MTK,G3,SRJN,GRD,PS,LLW
309,L,MTK,G1,LL,PDG,BPN,LTW
310,P,MTK,G2,SMP,PDG,LL,LLW
311,L,MTK,G4,SRJN,GRD,GRD,LLW
312,P,MTK,G3,LL,PDG,GRD,LLW
313,P,MTK,G3,SMTA,LL,PNS,LLW
314,P,MTK,G1,SMP,PS,PS,LLW
315,P,MTK,G3,SMP,LL,PS,LLW
316,P,MTK,G3,SMTA,PDG,PNS,LLW
317,L,MTK,G3,SMP,LL,PS,LLW
