,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,SKS_S1,SKS_S2,IP_S1,IP_S2,IPK_TERAKHIR
2464,P,IF,G4,SRJN,PNS,PNS,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2465,P,MTK,G1,SMP,LL,PDG,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2466,P,MTK,G3,SRJN,GRD,PS,SKS1_B,SKS2_C,IPS1_CUM,IPS2_CUM,IPK_CUM
2467,P,MTK,G3,SMTA,PS,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2468,L,IF,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2469,P,IF,G4,LL,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2470,P,BIO,G7,SMTA,LL,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2471,P,MTK,G2,SD,BPN,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2472,L,IF,G3,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2473,P,BIO,G2,SD,BPN,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2474,P,IF,G5,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2475,P,BIO,G2,SRJN,GRD,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_SM,IPK_CUM
2476,P,IF,G3,SRJN,PSN,PSN,SKS1_B,SKS2_B,IPS1_M,IPS2_CUM,IPK_CUM
2477,P,MTK,G3,SRJN,GRD,PS,SKS1_B,SKS2_C,IPS1_CUM,IPS2_CUM,IPK_CUM
2478,L,IF,G3,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2479,P,IF,G3,SRJN,GRD,PSN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2480,P,IF,G5,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2481,P,MTK,G1,SMP,LL,PDG,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2482,P,IF,G4,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2483,L,FISIKA,G3,SRJN,PDG,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2484,P,IF,G2,SMP,PDG,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2485,L,IF,G4,SRJN,LL,PNS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2486,L,FISIKA,G3,SD,BPN,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2487,P,FISIKA,G2,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2488,L,BIO,G2,SRJN,LL,PSN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,IPK_CUM
2489,P,BIO,G2,LL,LL,BPN,SKS1_SB,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2490,L,IF,G4,SRJN,GRD,PNS,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2491,P,BIO,G2,SMP,PDG,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2492,P,IF,G4,LL,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2493,P,FISIKA,G3,SMP,LL,PNS,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
2494,P,IF,G4,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2495,L,IF,G2,SMTA,LL,PSN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2496,L,IF,G1,SD,LL,LL,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2497,P,BIO,G3,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2498,P,FISIKA,G3,SRJN,PNS,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2499,P,BIO,G4,SMTA,LL,PSN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2500,L,IF,G5,SMTA,PS,LL,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2501,P,BIO,G2,SRJN,GRD,PDG,SKS1_B,SKS2_B,IPS1_KM,IPS2_SM,IPK_CUM
2502,P,IF,G4,LL,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2503,P,BIO,G3,SMTA,LL,PSN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,IPK_CUM
2504,P,FISIKA,G2,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2505,L,FISIKA,G3,SRJN,PDG,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2506,P,FISIKA,G2,SD,BPN,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2507,L,IF,G4,SMTA,LL,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2508,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2509,P,IF,G5,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2510,P,IF,G5,SRJN,PS,PNS,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2511,P,IF,G2,SMP,BPN,BPN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2512,P,BIO,G3,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2513,P,FISIKA,G2,SMP,LL,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2514,L,IF,G4,SRJN,LL,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_M,IPK_CUM
2515,L,IF,G1,SD,LL,LL,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2516,P,FISIKA,G4,SRJN,GRD,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2517,P,IF,G4,SRJN,GRD,PNS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2518,P,IF,G1,SMTA,LL,BPN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2519,P,IF,G5,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2520,P,BIO,G2,SMP,LL,BPN,SKS1_SB,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2521,P,BIO,G2,SMP,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2522,L,FISIKA,G3,SD,LL,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2523,P,FISIKA,G4,SRJN,GRD,PNS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2524,L,FISIKA,G3,SD,LL,BPN,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2525,P,FISIKA,G1,SMTA,PS,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2526,P,MTK,G3,SMTA,PDG,PDG,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2527,P,IF,G4,SMTA,PNS,PS,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2528,L,IF,G2,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2529,P,BIO,G2,SMTA,BPN,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2530,L,IF,G4,SRJN,GRD,LL,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2531,P,BIO,G3,SMTA,LL,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2532,P,BIO,G6,SMP,LL,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2533,P,FISIKA,G4,SMTA,BPN,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2534,P,BIO,G3,SMTA,PDG,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2535,P,BIO,G3,SMTA,LL,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2536,P,BIO,G4,SRJN,LL,GRD,SKS1_SB,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2537,P,IF,G3,SRJN,GRD,LL,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2538,P,MTK,G2,LL,LL,BPN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2539,L,IF,G3,SD,LL,BPN,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2540,P,IF,G4,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2541,P,BIO,G3,SMTA,LL,PS,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2542,P,FISIKA,G3,SMTA,LL,PNS,SKS1_B,SKS2_B,IPS1_M,IPS2_CUM,IPK_CUM
2543,L,IF,G2,SD,PDG,PDG,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2544,P,BIO,G2,SD,BPN,BPN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_CUM,IPK_CUM
2545,P,IF,G3,SRJN,GRD,LL,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2546,P,FISIKA,G4,SRJN,GRD,GRD,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2547,L,BIO,G2,SRJN,LL,PSN,SKS1_B,SKS2_B,IPS1_M,IPS2_SM,IPK_CUM
2548,P,MTK,G3,SRJN,GRD,PS,SKS1_B,SKS2_C,IPS1_CUM,IPS2_CUM,IPK_CUM
2549,P,IF,G4,SMTA,LL,GRD,SKS1_B,SKS2_B,IPS1_SM,IPS2_SM,IPK_CUM
2550,P,BIO,G3,SMTA,LL,PSN,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2551,P,FISIKA,G3,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_SM,IPK_CUM
2552,P,IF,G3,SRJN,GRD,LL,SKS1_B,SKS2_B,IPS1_SM,IPS2_CUM,IPK_CUM
2553,P,BIO,G2,SMP,PDG,PDG,SKS1_B,SKS2_SB,IPS1_SM,IPS2_SM,IPK_CUM
2554,P,IF,G4,SRJN,GRD,GRD,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2555,P,IF,G3,SMTA,PDG,PSN,SKS1_B,SKS2_B,IPS1_CUM,IPS2_CUM,IPK_CUM
2556,P,BIO,G2,SRJN,PDG,PDG,SKS1_B,SKS2_SB,IPS1_CUM,IPS2_CUM,IPK_CUM
2557,P,BIO,G1,SMTA,PDG,LL,SKS1_SB,SKS2_SB,IPS1_CUM,IPS2_SM,IPK_CUM
