@relation data_uji_sosial_ipk_dem
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"P","AKU","G4","SRJN","PDG","PDG","IPK_CUM"
"P","HUK","G3","SMTA","PNS","LL","IPK_CUM"
"P","KOM","G3","SMTA","LL","PSN","IPK_CUM"
"P","HUK","G3","SD","PDG","LL","IPK_CUM"
"L","EKO","G5","SRJN","PS","PSN","IPK_CUM"
"L","AKU","G4","SRJN","LL","PS","IPK_CUM"
"P","HUK","G2","SRJN","PNS","GRD","IPK_CUM"
"L","HUK","G4","SMTA","PNS","LL","IPK_CUM"
"P","AKU","G3","SRJN","PNS","GRD","IPK_CUM"
"P","HUK","G1","LL","LL","BPN","IPK_CUM"
"P","AKU","G3","SRJN","GRD","GRD","IPK_CUM"
"P","EKO","G2","SRJN","PSN","PDG","IPK_CUM"
"P","KOM","G3","SRJN","PNS","PNS","IPK_CUM"
"P","EKO","G5","SRJN","LL","PDG","IPK_CUM"
"P","EKO","G3","SMTA","PDG","PSN","IPK_CUM"
"P","HUK","G1","SMTA","BPN","BPN","IPK_CUM"
"P","EKO","G4","SMTA","LL","LL","IPK_CUM"
"P","HUK","G3","SMTA","LL","LL","IPK_CUM"
"L","AKU","G3","SMTA","LL","PSN","IPK_CUM"
"P","EKO","G3","SRJN","LL","PS","IPK_CUM"
"P","HUK","G3","SMP","LL","PDG","IPK_CUM"
"P","KOM","G4","SMTA","PNS","PS","IPK_CUM"
"L","KOM","G3","SD","LL","PSN","IPK_CUM"
"P","HUK","G3","SMTA","GRD","GRD","IPK_CUM"
"P","EKO","G3","SRJN","GRD","GRD","IPK_CUM"
"L","EKO","G3","SMTA","LL","PSN","IPK_KM"
"P","KOM","G4","SMP","LL","PDG","IPK_KM"
"L","EKO","G3","SMTA","LL","PSN","IPK_KM"
"P","KOM","G2","SRJN","LL","BPN","IPK_KM"
"P","KOM","G4","SRJN","GRD","PSN","IPK_KM"
"P","EKO","G3","SRJN","PNS","GRD","IPK_KM"
"P","KOM","G4","SRJN","PDG","PDG","IPK_KM"
"P","HUK","G4","SRJN","PDG","PNS","IPK_KM"
"L","AKU","G4","SRJN","PNS","PNS","IPK_KM"
"L","EKO","G3","SRJN","GRD","BPN","IPK_KM"
"L","KOM","G7","SMTA","PDG","PDG","IPK_KM"
"P","KOM","G6","SRJN","LL","LL","IPK_KM"
"P","KOM","G5","SMTA","LL","GRD","IPK_KM"
"L","KOM","G3","SRJN","LL","PDG","IPK_KM"
"L","HUK","G6","SRJN","PDG","GRD","IPK_KM"
"L","AKU","G4","SRJN","PDG","PDG","IPK_KM"
"L","EKO","G4","SRJN","GRD","GRD","IPK_KM"
"P","KOM","G3","SRJN","GRD","PSN","IPK_KM"
"L","KOM","G5","SMTA","PS","PS","IPK_KM"
"L","HUK","G3","SRJN","PNS","PDG","IPK_KM"
"P","KOM","G2","SMP","PDG","PDG","IPK_KM"
"L","KOM","G5","SRJN","PSN","PS","IPK_KM"
"L","EKO","G3","SRJN","GRD","GRD","IPK_KM"
"P","KOM","G4","SMP","PDG","PDG","IPK_KM"
"P","KOM","G3","SMTA","PSN","PS","IPK_KM"
"L","HUK","G3","SRJN","PNS","PNS","IPK_KM"
"P","AKU","G2","SMTA","LL","PS","IPK_KM"
"P","KOM","G4","SMTA","PS","PNS","IPK_KM"
"P","EKO","G3","LL","PDG","LL","IPK_KM"
"L","KOM","G4","SMTA","PDG","PDG","IPK_KM"
"P","KOM","G2","SMTA","LL","PDG","IPK_KM"
"L","HUK","G3","LL","PDG","PDG","IPK_KM"
"L","EKO","G7","SMTA","PNS","PS","IPK_KM"
"L","EKO","G1","SD","PDG","PDG","IPK_KM"
"P","KOM","G3","SRJN","GRD","GRD","IPK_KM"
"L","KOM","G5","SRJN","GRD","GRD","IPK_KM"
"P","EKO","G6","SRJN","LL","PNS","IPK_KM"
"L","HUK","G5","SMTA","LL","LL","IPK_KM"
"P","KOM","G3","SMP","LL","PSN","IPK_KM"
"P","KOM","G3","SMTA","LL","BPN","IPK_KM"
"L","KOM","G3","SRJN","GRD","LL","IPK_KM"
"P","KOM","G3","SRJN","PS","PS","IPK_KM"
"L","EKO","G3","SMP","PDG","BPN","IPK_KM"
"L","EKO","G2","SMP","PDG","LL","IPK_KM"
"L","EKO","G3","SD","LL","PDG","IPK_KM"
"L","EKO","G3","SMTA","LL","PNS","IPK_KM"
"P","AKU","G2","SD","LL","BPN","IPK_KM"
"L","HUK","G3","SMTA","LL","PS","IPK_M"
"L","HUK","G7","SMTA","PDG","PDG","IPK_M"
"P","HUK","G2","SMTA","PNS","LL","IPK_M"
"P","AKU","G4","SRJN","PDG","PNS","IPK_M"
"P","HUK","G5","SRJN","PDG","PDG","IPK_M"
"L","AKU","G7","SRJN","PNS","LL","IPK_M"
"L","HUK","G4","SMTA","LL","PDG","IPK_M"
"L","HUK","G4","SMTA","LL","PNS","IPK_M"
"L","HUK","G3","SMTA","LL","LL","IPK_M"
"L","HUK","G4","SMTA","PDG","PDG","IPK_M"
"P","HUK","G7","SRJN","PDG","PSN","IPK_M"
"L","HUK","G4","SRJN","GRD","GRD","IPK_M"
"L","EKO","G2","SMTA","PDG","LL","IPK_M"
"L","HUK","G3","SD","BPN","BPN","IPK_M"
"P","HUK","G4","SRJN","PSN","PNS","IPK_M"
"L","HUK","G3","SMTA","PDG","PNS","IPK_M"
"L","AKU","G7","SRJN","LL","PNS","IPK_M"
"L","HUK","G5","SRJN","PS","PNS","IPK_M"
"L","HUK","G4","SMP","LL","PS","IPK_M"
"L","HUK","G3","SMTA","LL","PNS","IPK_M"
"L","HUK","G4","SMP","PDG","GRD","IPK_M"
"L","HUK","G5","SRJN","PS","PDG","IPK_M"
"L","HUK","G5","SRJN","GRD","PNS","IPK_M"
"L","HUK","G5","SRJN","PDG","GRD","IPK_M"
"P","HUK","G4","SRJN","PNS","LL","IPK_M"
"L","KOM","G3","SMTA","LL","PSN","IPK_M"
"L","KOM","G7","SMTA","PDG","PDG","IPK_M"
"L","HUK","G4","SRJN","PS","PSN","IPK_M"
"P","KOM","G5","SMTA","PDG","PDG","IPK_M"
"P","HUK","G4","SRJN","PSN","PSN","IPK_M"
"L","AKU","G2","SRJN","PS","PDG","IPK_M"
"P","HUK","G4","SRJN","GRD","PSN","IPK_M"
"L","HUK","G4","SRJN","GRD","GRD","IPK_M"
"L","HUK","G5","SRJN","PNS","PNS","IPK_M"
"L","HUK","G1","SMTA","LL","LL","IPK_M"
"L","KOM","G3","SMTA","LL","PSN","IPK_M"
