,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
6165,L,HUK,G4,SMTA,PNS,PSN,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
5158,L,HUK,G3,SRJN,PSN,PSN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
3294,P,KOM,G3,SMP,PDG,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5689,L,HUK,G2,SMTA,LL,GRD,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
1896,L,EKO,G4,SRJN,GRD,PNS,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_B,LLW
5489,P,HUK,G1,SMTA,LL,PSN,IPS1_M,IPS2_KM,SKS1_B,SKS2_SB,LLW
1107,L,AKU,G4,SRJN,GRD,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
920,P,AKU,G4,SRJN,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
5662,P,HUK,G3,SRJN,PSN,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_C,LLW
5409,L,HUK,G4,SRJN,LL,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
6010,P,HUK,G3,SMTA,LL,PNS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
1186,P,AKU,G5,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
1938,L,EKO,G5,SMTA,PS,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
743,L,AKU,G3,SMTA,LL,PSN,IPS1_SM,IPS2_KM,SKS1_SB,SKS2_B,LLW
1877,P,EKO,G4,SRJN,PDG,GRD,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LTW
1074,P,AKU,G2,SMP,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
1022,L,AKU,G5,SMTA,LL,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
840,L,AKU,G3,SD,LL,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_B,LLW
2183,L,EKO,G2,SRJN,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
3116,P,KOM,G2,SMTA,LL,PDG,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
2204,L,EKO,G3,SMP,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5386,P,HUK,G3,SMTA,PDG,LL,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LTW
853,P,AKU,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_B,LLW
5897,P,HUK,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_B,LTW
3328,L,KOM,G5,SRJN,LL,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LTW
5940,P,HUK,G4,SRJN,PDG,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
894,L,AKU,G4,SMTA,PSN,PS,IPS1_KM,IPS2_KM,SKS1_SB,SKS2_C,LLW
3178,P,KOM,G4,SMTA,LL,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
1056,P,AKU,G4,SRJN,GRD,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
