,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
452,P,MTK,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
453,P,MTK,G4,SMTA,PNS,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LTW
454,P,MTK,G2,SMTA,LL,PSN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
455,L,MTK,G2,SD,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LC
456,P,MTK,G3,SMTA,PS,PNS,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LTW
457,P,MTK,G4,SRJN,GRD,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
458,P,MTK,G4,SRJN,PDG,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
459,P,MTK,G2,SMTA,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
460,P,MTK,G3,SMP,PDG,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
461,P,MTK,G3,SMTA,LL,PS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
462,P,MTK,G3,SMTA,PNS,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LTW
463,P,MTK,G3,SRJN,GRD,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LTW
464,L,MTK,G3,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
465,L,MTK,G3,SMTA,LL,PNS,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LLW
466,P,MTK,G2,LL,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LC
467,P,MTK,G5,SRJN,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
468,P,MTK,G2,SRJN,PDG,PDG,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
469,P,MTK,G1,SMP,LL,PDG,IPS1_SM,IPS2_KM,SKS1_B,SKS2_B,LTW
470,L,MTK,G6,SRJN,PS,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
471,P,MTK,G4,SRJN,GRD,GRD,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
472,P,MTK,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
473,P,MTK,G3,SD,PDG,BPN,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_B,LLW
474,P,MTK,G3,SMP,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
475,P,MTK,G4,SMTA,LL,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
476,P,MTK,G3,SMTA,LL,GRD,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
477,L,MTK,G4,LL,PS,PDG,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
478,P,MTK,G2,SMTA,LL,PS,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_B,LLW
479,P,MTK,G2,SMTA,LL,BPN,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
480,P,MTK,G3,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LTW
481,P,MTK,G3,SMP,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
482,L,MTK,G4,SD,PDG,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
483,L,MTK,G4,SMTA,LL,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
484,P,MTK,G4,SMTA,BPN,GRD,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
485,P,MTK,G1,SD,PDG,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
486,L,MTK,G1,SD,BPN,BPN,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
487,P,MTK,G3,SMTA,LL,PNS,IPS1_M,IPS2_KM,SKS1_B,SKS2_B,LLW
488,P,MTK,G7,SRJN,PS,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
489,L,MTK,G4,SMTA,PS,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
490,P,MTK,G2,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
491,P,MTK,G4,SRJN,PDG,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
492,P,MTK,G3,SMTA,LL,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
493,P,MTK,G2,SD,PDG,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LTW
494,P,MTK,G5,SMTA,PDG,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
495,P,MTK,G4,SMTA,LL,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
496,P,MTK,G6,SMTA,LL,LL,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
497,P,MTK,G4,SRJN,GRD,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
498,P,MTK,G3,SD,PDG,BPN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_B,LLW
499,P,MTK,G3,SMP,LL,BPN,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
500,P,MTK,G4,SMTA,LL,ABRI,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
501,L,MTK,G3,SMP,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_B,LLW
502,P,MTK,G3,SMTA,PDG,LL,IPS1_M,IPS2_SM,SKS1_B,SKS2_B,LLW
503,P,MTK,G5,SRJN,GRD,PDG,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
